지역,시행계획연도,시수,군수,구수,시군구수,행정구역기준일
서울,2021,0,0,25,25,2020-12-31
서울,2022,0,0,25,25,2021-12-31
서울,2023,0,0,25,25,2022-12-31
서울,2024,0,0,25,25,2023-12-31
서울,2025,0,0,25,25,2024-12-31
부산,2021,0,1,15,16,2020-12-31
부산,2022,0,1,15,16,2021-12-31
부산,2023,0,1,15,16,2022-12-31
부산,2024,0,1,15,16,2023-12-31
부산,2025,0,1,15,16,2024-12-31
대구,2021,0,1,7,8,2020-12-31
대구,2022,0,1,7,8,2021-12-31
대구,2023,0,1,7,8,2022-12-31
대구,2024,0,2,7,9,2023-12-31
대구,2025,0,2,7,9,2024-12-31
인천,2021,0,2,8,10,2020-12-31
인천,2022,0,2,8,10,2021-12-31
인천,2023,0,2,8,10,2022-12-31
인천,2024,0,2,8,10,2023-12-31
인천,2025,0,2,8,10,2024-12-31
광주,2021,0,0,5,5,2020-12-31
광주,2022,0,0,5,5,2021-12-31
광주,2023,0,0,5,5,2022-12-31
광주,2024,0,0,5,5,2023-12-31
광주,2025,0,0,5,5,2024-12-31
대전,2021,0,0,5,5,2020-12-31
대전,2022,0,0,5,5,2021-12-31
대전,2023,0,0,5,5,2022-12-31
대전,2024,0,0,5,5,2023-12-31
대전,2025,0,0,5,5,2024-12-31
울산,2021,0,1,4,5,2020-12-31
울산,2022,0,1,4,5,2021-12-31
울산,2023,0,1,4,5,2022-12-31
울산,2024,0,1,4,5,2023-12-31
울산,2025,0,1,4,5,2024-12-31
세종,2021,1,0,0,1,2020-12-31
세종,2022,1,0,0,1,2021-12-31
세종,2023,1,0,0,1,2022-12-31
세종,2024,1,0,0,1,2023-12-31
세종,2025,1,0,0,1,2024-12-31
경기,2021,28,3,0,31,2020-12-31
경기,2022,28,3,0,31,2021-12-31
경기,2023,28,3,0,31,2022-12-31
경기,2024,28,3,0,31,2023-12-31
경기,2025,28,3,0,31,2024-12-31
강원,2021,7,11,0,18,2020-12-31
강원,2022,7,11,0,18,2021-12-31
강원,2023,7,11,0,18,2022-12-31
강원,2024,7,11,0,18,2023-12-31
강원,2025,7,11,0,18,2024-12-31
충북,2021,3,8,0,11,2020-12-31
충북,2022,3,8,0,11,2021-12-31
충북,2023,3,8,0,11,2022-12-31
충북,2024,3,8,0,11,2023-12-31
충북,2025,3,8,0,11,2024-12-31
충남,2021,8,7,0,15,2020-12-31
충남,2022,8,7,0,15,2021-12-31
충남,2023,8,7,0,15,2022-12-31
충남,2024,8,7,0,15,2023-12-31
충남,2025,8,7,0,15,2024-12-31
전북,2021,6,8,0,14,2020-12-31
전북,2022,6,8,0,14,2021-12-31
전북,2023,6,8,0,14,2022-12-31
전북,2024,6,8,0,14,2023-12-31
전북,2025,6,8,0,14,2024-12-31
전남,2021,5,17,0,22,2020-12-31
전남,2022,5,17,0,22,2021-12-31
전남,2023,5,17,0,22,2022-12-31
전남,2024,5,17,0,22,2023-12-31
전남,2025,5,17,0,22,2024-12-31
경북,2021,10,13,0,23,2020-12-31
경북,2022,10,13,0,23,2021-12-31
경북,2023,10,13,0,23,2022-12-31
경북,2024,10,12,0,22,2023-12-31
경북,2025,10,12,0,22,2024-12-31
경남,2021,8,10,0,18,2020-12-31
경남,2022,8,10,0,18,2021-12-31
경남,2023,8,10,0,18,2022-12-31
경남,2024,8,10,0,18,2023-12-31
경남,2025,8,10,0,18,2024-12-31
제주,2021,2,0,0,2,2020-12-31
제주,2022,2,0,0,2,2021-12-31
제주,2023,2,0,0,2,2022-12-31
제주,2024,2,0,0,2,2023-12-31
제주,2025,2,0,0,2,2024-12-31
