지역,연도,전체_인구1인당_실질예산_3개년평균,합계출산율_t+1,합계출산율_t+2,세부영역수,log1p_전체_3개년평균예산,군집_2개,군집_3개
강원,2016,,1.123,1.067,11,,2,3
강원,2017,,1.067,1.082,11,,2,3
강원,2018,364324.63293880376,1.082,1.036,11,12.805803342692103,2,3
강원,2019,439729.2681380926,1.036,0.979,11,12.99391679095771,2,3
강원,2020,408885.50667174574,0.979,0.968,11,12.921192906717387,2,3
강원,2021,483697.3641885216,0.968,0.893,11,13.089216776933373,2,3
강원,2022,497654.59427619993,0.893,0.889,11,13.117663538997943,2,3
강원,2023,646293.6488448642,0.889,,11,13.37901079153988,2,3
강원,2024,683082.1475596023,,,11,13.434371869883634,2,3
경기,2016,,1.069,1.002,11,,1,1
경기,2017,,1.002,0.943,11,,1,1
경기,2018,296610.37033507717,0.943,0.878,11,12.600178043538088,1,1
경기,2019,357441.5029256162,0.878,0.853,11,12.786729797204213,1,1
경기,2020,431781.8411281523,0.853,0.839,11,12.975678058265284,1,1
경기,2021,453942.1869591054,0.839,0.766,11,13.02572733033637,1,1
경기,2022,414908.38510813843,0.766,0.789,11,12.935815426234177,1,1
경기,2023,380899.8261810927,0.789,,11,12.850294321487953,1,1
경기,2024,403316.9940167765,,,11,12.907480596818239,1,1
경남,2016,,1.227,1.122,11,,1,1
경남,2017,,1.122,1.046,11,,1,1
경남,2018,261872.695475283,1.046,0.945,11,12.475617588167498,1,1
경남,2019,373432.8176659203,0.945,0.903,11,12.83049607284989,1,1
경남,2020,465001.5856271566,0.903,0.838,11,13.049798245042544,1,1
경남,2021,565850.1684485426,0.838,0.799,11,13.24608636933592,1,1
경남,2022,551302.6626856615,0.799,0.82,11,13.22004104828083,1,1
경남,2023,558444.0970263954,0.82,,11,13.232911588319714,1,1
경남,2024,540154.7488530165,,,11,13.19961280075619,1,1
경북,2016,,1.256,1.167,11,,2,3
경북,2017,,1.167,1.089,11,,2,3
경북,2018,386156.97335118114,1.089,1.003,11,12.864001822110485,2,3
경북,2019,421994.86945701344,1.003,0.966,11,12.95275080495369,2,3
경북,2020,446500.52412465395,0.966,0.93,11,13.009198092785931,2,3
경북,2021,437220.8576233359,0.93,0.86,11,12.98819602859873,2,3
경북,2022,488312.88815146114,0.86,0.897,11,13.098713691487315,2,3
경북,2023,507374.70723673614,0.897,,11,13.13700704805348,2,3
경북,2024,560185.7760678402,,,11,13.236025535795573,2,3
광주,2016,,1.053,0.972,11,,2,3
광주,2017,,0.972,0.913,11,,2,3
광주,2018,307433.7205537344,0.913,0.811,11,12.636018052809646,2,3
광주,2019,368819.2329985104,0.811,0.896,11,12.818064630869355,2,3
광주,2020,301310.2214021139,0.896,0.844,11,12.615898967711018,2,3
광주,2021,252044.41177841774,0.844,0.706,11,12.437364555728417,2,3
광주,2022,158600.53153914874,0.706,0.699,11,11.974150244751321,2,3
광주,2023,201271.04921532044,0.699,,11,12.21241275059777,2,3
광주,2024,220857.97353406754,,,11,12.305279648003921,2,3
대구,2016,,1.067,0.987,11,,1,1
대구,2017,,0.987,0.932,11,,1,1
대구,2018,163305.21035068965,0.932,0.807,11,12.003382308551954,1,1
대구,2019,273179.01299421565,0.807,0.785,11,12.517886245123378,1,1
대구,2020,360604.2033023554,0.785,0.757,11,12.795539019215623,1,1
대구,2021,403281.8207945311,0.757,0.702,11,12.90739338336241,1,1
대구,2022,444924.5296949823,0.702,0.754,11,13.00566219814393,1,1
대구,2023,497716.76490077423,0.754,,11,13.11778845820355,1,1
대구,2024,540468.7123580399,,,11,13.200193878150953,1,1
대전,2016,,1.075,0.952,11,,2,2
대전,2017,,0.952,0.883,11,,2,2
대전,2018,429618.2621457755,0.883,0.805,11,12.970654658568682,2,2
