지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
강원,2018,1-1. 고용여건,50.90431493157741,50.733167507063655,2019.0,-0.1711474245137552,2020,2021.0,1.4145096560272616,2.3399908857255936,0.925481229698332,False,True,하락 후 비중 증가
강원,2019,1-1. 고용여건,50.733167507063655,17.85045562488118,2020.0,-32.88271188218248,2021,2022.0,2.3399908857255936,3.803994682398384,1.4640037966727903,False,True,하락 후 비중 증가
경기,2018,1-1. 고용여건,64.24411321518893,60.98292079828625,2019.0,-3.2611924169026807,2020,2021.0,0.4733135083301505,0.7387579421731713,0.2654444338430207,True,True,하락 후 비중 증가
경기,2019,1-1. 고용여건,60.98292079828625,36.4286269524752,2020.0,-24.554293845811053,2021,2022.0,0.7387579421731713,0.846190216852106,0.1074322746789347,False,True,하락 후 비중 증가
경남,2017,1-1. 고용여건,63.31837975092025,62.62292498277899,2018.0,-0.6954547681412606,2019,2020.0,2.0088658118752427,2.6411471698169464,0.6322813579417037,False,True,하락 후 비중 증가
경남,2018,1-1. 고용여건,62.62292498277899,61.28970695891622,2019.0,-1.33321802386277,2020,2021.0,2.6411471698169464,2.793627327323027,0.1524801575060808,False,True,하락 후 비중 증가
경남,2019,1-1. 고용여건,61.28970695891622,40.94228636433678,2020.0,-20.34742059457944,2021,2022.0,2.793627327323027,1.0644572000490626,-1.7291701272739646,False,False,하락 후 비중 비증가
경북,2017,1-1. 고용여건,66.35533187676613,59.13290707805685,2018.0,-7.222424798709277,2019,2020.0,0.510424184268775,0.3654614725694186,-0.1449627116993564,False,False,하락 후 비중 비증가
경북,2018,1-1. 고용여건,59.13290707805685,54.63965938969621,2019.0,-4.49324768836064,2020,2021.0,0.3654614725694186,0.4721996923716982,0.1067382198022796,False,True,하락 후 비중 증가
경북,2019,1-1. 고용여건,54.63965938969621,42.018043356963815,2020.0,-12.621616032732398,2021,2022.0,0.4721996923716982,0.844076022017359,0.3718763296456608,False,True,하락 후 비중 증가
광주,2016,1-1. 고용여건,45.139930320521344,43.30903830219649,2017.0,-1.8308920183248532,2018,2019.0,0.1545088160723843,3.4302394513381538,3.2757306352657696,False,True,하락 후 비중 증가
광주,2019,1-1. 고용여건,50.35357623956299,32.551209901850314,2020.0,-17.802366337712677,2021,2022.0,2.9648070420108503,1.443231497455299,-1.5215755445555512,False,False,하락 후 비중 비증가
광주,2021,1-1. 고용여건,41.966403114875035,41.49283031064778,2022.0,-0.4735728042272527,2023,2024.0,1.7305072793578704,0.8945371267960647,-0.8359701525618057,False,False,하락 후 비중 비증가
대구,2017,1-1. 고용여건,43.8237068441426,34.854586514359895,2018.0,-8.969120329782704,2019,2020.0,1.3324665411026004,1.2531491988168704,-0.07931734228573,False,False,하락 후 비중 비증가
대구,2019,1-1. 고용여건,43.762554712648466,28.074666220261825,2020.0,-15.68788849238664,2021,2022.0,0.9158016094338796,3.7356521105122824,2.819850501078403,False,True,하락 후 비중 증가
대구,2021,1-1. 고용여건,47.01627168834379,44.52673850806789,2022.0,-2.489533180275899,2023,2024.0,6.11407964302456,3.636541730651349,-2.477537912373211,False,False,하락 후 비중 비증가
대전,2017,1-1. 고용여건,63.4871989489427,52.007516544713525,2018.0,-11.479682404229171,2019,2020.0,0.0186837311411088,1.9096758888592351,1.8909921577181263,False,True,하락 후 비중 증가
대전,2019,1-1. 고용여건,62.0470591022824,43.694723102326115,2020.0,-18.35233599995628,2021,2022.0,1.819812480614651,0.9126977542344052,-0.9071147263802456,False,False,하락 후 비중 비증가
부산,2019,1-1. 고용여건,57.14759518905328,28.03034654147526,2020.0,-29.117248647578016,2021,2022.0,2.045676533803641,1.7822849805333754,-0.2633915532702657,False,False,하락 후 비중 비증가
부산,2021,1-1. 고용여건,49.54690374883625,17.91692799418812,2022.0,-31.62997575464813,2023,2024.0,1.601804058947353,0.7952069512383009,-0.8065971077090521,False,False,하락 후 비중 비증가
서울,2019,1-1. 고용여건,63.94418440830728,38.81939133648364,2020.0,-25.12479307182364,2021,2022.0,2.073902138531446,1.996679953612996,-0.0772221849184497,False,False,하락 후 비중 비증가
세종,2019,1-1. 고용여건,68.9567020168363,42.096361147250725,2020.0,-26.860340869585578,2021,2022.0,0.6650861135490637,1.5749399940512836,0.90985388050222,False,True,하락 후 비중 증가
세종,2021,1-1. 고용여건,67.39463520493493,60.98034326904357,2022.0,-6.414291935891356,2023,2024.0,1.0299793062084517,0.5178796112255876,-0.5120996949828641,False,False,하락 후 비중 비증가
울산,2017,1-1. 고용여건,61.32604617463638,56.79554768228354,2018.0,-4.530498492352841,2019,2020.0,2.431380903260528,0.4326146795796839,-1.998766223680844,False,False,하락 후 비중 비증가
울산,2018,1-1. 고용여건,56.79554768228354,56.34786275481655,2019.0,-0.4476849274669874,2020,2021.0,0.4326146795796839,0.9209035388057808,0.4882888592260969,False,True,하락 후 비중 증가
울산,2019,1-1. 고용여건,56.34786275481655,31.720440056670853,2020.0,-24.6274226981457,2021,2022.0,0.9209035388057808,1.0255770669839015,0.1046735281781207,False,True,하락 후 비중 증가
인천,2018,1-1. 고용여건,56.60203659825561,51.77890835789267,2019.0,-4.823128240362941,2020,2021.0,0.5130006264053385,1.0272216925019502,0.5142210660966117,False,True,하락 후 비중 증가
인천,2019,1-1. 고용여건,51.77890835789267,31.612206263804257,2020.0,-20.16670209408841,2021,2022.0,1.0272216925019502,0.9596247535766208,-0.0675969389253293,True,False,하락 후 비중 비증가
전남,2016,1-1. 고용여건,34.359471316463186,34.117370892018776,2017.0,-0.2421004244444091,2018,2019.0,0.0604535472757665,1.4202791477935586,1.359825600517792,False,True,하락 후 비중 증가
전남,2019,1-1. 고용여건,39.45009124717041,21.18397408830136,2020.0,-18.266117158869054,2021,2022.0,1.473307143850768,0.29137224205048,-1.181934901800288,False,False,하락 후 비중 비증가
전남,2021,1-1. 고용여건,31.603016743557134,31.114019053499728,2022.0,-0.4889976900574062,2023,2024.0,1.2787551218231608,1.4915137615553695,0.2127586397322087,False,True,하락 후 비중 증가
전북,2016,1-1. 고용여건,44.60891934686857,38.96284001900104,2017.0,-5.646079327867525,2018,2019.0,0.0200707632506166,0.1732503910838129,0.1531796278331963,False,True,하락 후 비중 증가
전북,2017,1-1. 고용여건,38.96284001900104,33.85894673231954,2018.0,-5.1038932866815045,2019,2020.0,0.1732503910838129,0.0863059421789822,-0.0869444489048307,False,False,하락 후 비중 비증가
전북,2019,1-1. 고용여건,35.05819993737266,25.313380504572745,2020.0,-9.744819432799918,2021,2022.0,2.915421046133919,2.710151637178456,-0.2052694089554632,False,False,하락 후 비중 비증가
전북,2021,1-1. 고용여건,47.86505723723836,33.040973014917476,2022.0,-14.824084222320884,2023,2024.0,2.1976619465080014,1.462232926788799,-0.7354290197192024,False,False,하락 후 비중 비증가
제주,2017,1-1. 고용여건,53.876566358163245,51.332216167545056,2018.0,-2.5443501906181893,2019,2020.0,0.4151882568913849,0.1757630689334182,-0.2394251879579667,False,False,하락 후 비중 비증가
제주,2018,1-1. 고용여건,51.332216167545056,47.16003071741051,2019.0,-4.172185450134549,2020,2021.0,0.1757630689334182,1.19160158634179,1.0158385174083715,False,True,하락 후 비중 증가
