모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,구조환경1점당_예산변화율_pct,FDR_q값,FDR_0.05_유의
1-1. 고용여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,0.02088984772630044,0.03504524037230497,0.5960823068803648,0.5594594435460576,-0.053402743051431514,0.0951824385040324,119,17,7,95.0,16.0,True,True,True,2.1109567901872004,0.7203522251116327,False
1-2. 주거안정성,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.05664669397368121,0.04070170109869936,-1.3917524930055412,0.1830442621832566,-0.14293044582013353,0.02963705787277112,119,17,7,95.0,16.0,True,True,True,-5.507214089485349,0.40269737680316453,False
1-3. 경제적 여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,0.018972794099404777,0.012171796435899766,1.5587505262120551,0.13861387558469873,-0.006830261666101518,0.04477584986491107,119,17,7,95.0,16.0,True,True,True,1.9153921239963099,0.40269737680316453,False
2-1. 돌봄 여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,0.02962560605091713,0.020738595229292882,1.4285252073906871,0.17237156371713644,-0.014338251874065476,0.07358946397589974,119,17,7,95.0,16.0,True,True,True,3.0068810222020796,0.40269737680316453,False
2-2. 여가 인프라,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.019098783207281728,0.03522624107029922,-0.5421748851706106,0.5951692808715947,-0.09377507832385445,0.055577511909291,119,17,7,95.0,16.0,True,True,True,-1.8917557014438626,0.7203522251116327,False
2-3. 가사수행 격차,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.01286607101357206,0.01673658446782785,-0.768739346926134,0.4532466701595415,-0.04834604511778447,0.022613903090640347,119,17,7,95.0,16.0,True,True,True,-1.278365694894389,0.7122447673935652,False
3-1. 의료서비스 여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.022977742284078798,0.012960026472897799,-1.7729703200938822,0.09526817872133828,-0.05045177108202259,0.004496286513864991,119,17,7,95.0,16.0,True,True,True,-2.2715764353906045,0.40269737680316453,False
3-2. 산후조리 여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.07717409490064364,0.20957559733056966,-0.36823988996636237,0.7175209177077647,-0.521454514269178,0.36710632446789077,119,17,7,95.0,16.0,True,True,True,-7.42713250649757,0.7203522251116327,False
3-3. 아동안전 수준,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,-0.09990272646247025,0.043779653764075485,-2.281944188065918,0.036517581146672105,-0.19271144647500563,-0.007094006449934881,119,17,7,95.0,16.0,True,True,True,-9.507456094651031,0.40169339261339315,False
4-1. 일·가정 양립 여건,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,0.05149024118176031,0.05193048630517165,0.9915224147753167,0.3361895761595764,-0.058597471927709865,0.16157795429123048,119,17,7,95.0,16.0,True,True,True,5.283891177842412,0.6163475562925568,False
4-2. 사회적 가치관,log1p_인구1인당_실질예산_t+2,구조환경지수_t,False,0.010123689948503371,0.027784064885545547,0.3643703680583522,0.7203522251116327,-0.048775896436271816,0.06902327633327857,119,17,7,95.0,16.0,True,True,True,1.017510786412055,0.7203522251116327,False
