모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,구조환경1점당_예산변화율_pct,FDR_q값,FDR_0.05_유의
1-1. 고용여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.017956440905758805,0.02495181108853813,0.71964479219736,0.4821242047771917,-0.034939035646000836,0.07085191745751845,136,17,8,111.0,16.0,True,True,True,1.811862709866679,0.9544932400239501,False
1-2. 주거안정성,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.042600250555473854,0.05896096313034761,0.7225161919640898,0.4804055197816304,-0.08239140763173906,0.16759190874268676,136,17,8,111.0,16.0,True,True,True,4.352066465635156,0.9544932400239501,False
1-3. 경제적 여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.016711132254561858,0.013206899501668007,1.2653334912142908,0.22386927576427293,-0.011286243985306695,0.04470850849443041,136,17,8,111.0,16.0,True,True,True,1.685154428274095,0.8208540111356675,False
2-1. 돌봄 여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.0025145857203134926,0.03146567099539754,0.0799152104743388,0.9372957210093183,-0.06418965696638229,0.06921882840700927,136,17,8,111.0,16.0,True,True,True,0.25177499426661437,0.9544932400239501,False
2-2. 여가 인프라,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,-0.002990734172090906,0.03773023698676011,-0.07926624402439832,0.9378037863891875,-0.08297526350119745,0.07699379515701564,136,17,8,111.0,16.0,True,True,True,-0.29862663817477714,0.9544932400239501,False
2-3. 가사수행 격차,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,-0.006512850433659892,0.014268919708468157,-0.4564361259804916,0.6542112886245108,-0.036761608937804134,0.023735908070484354,136,17,8,111.0,16.0,True,True,True,-0.649168779124008,0.9544932400239501,False
3-1. 의료서비스 여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,-0.0007022496413134514,0.010570337654167114,-0.06643587596623327,0.9478538842863351,-0.023110364448940282,0.021705865166313378,136,17,8,111.0,16.0,True,True,True,-0.0702003121743559,0.9544932400239501,False
3-2. 산후조리 여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.01237330440367335,0.16468574725520188,0.07513281877696018,0.9410404204055226,-0.33674488390884133,0.361491492716188,136,17,8,111.0,16.0,True,True,True,1.2450170436386017,0.9544932400239501,False
3-3. 아동안전 수준,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,-0.0700114458110076,0.05171369654108774,-1.3538279120190504,0.19460698956843375,-0.17963958515077938,0.039616693528764166,136,17,8,111.0,16.0,True,True,True,-6.761685203642444,0.8208540111356675,False
4-1. 일·가정 양립 여건,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,-0.08757103112031672,0.03422911609877439,-2.5583783953875545,0.021043610064357437,-0.16013351572576812,-0.015008546514865342,136,17,8,111.0,16.0,True,True,True,-8.384620609073126,0.2314797107079318,False
4-2. 사회적 가치관,log1p_인구1인당_실질예산_t+1,구조환경지수_t,False,0.0015213479967388019,0.026245383589798128,0.05796630830460282,0.9544932400239501,-0.0541163797553688,0.057159075748846405,136,17,8,111.0,16.0,True,True,True,0.15225058336855857,0.9544932400239501,False
