지역,구조환경연도,예산연도,세부영역,구조환경지수_t,인구1인당_실질예산_t+1_원,log1p_인구1인당_실질예산_t+1
강원,2016,2017,1-1. 고용여건,28.881160584701288,5883.351025466879,8.680051737567117
강원,2017,2018,1-1. 고용여건,50.12156114581836,0.0,0.0
강원,2018,2019,1-1. 고용여건,50.90431493157741,45715.05023096929,10.730204723778135
강원,2019,2020,1-1. 고용여건,50.733167507063655,15496.93396692476,9.648462001566642
강원,2020,2021,1-1. 고용여건,17.85045562488118,33337.4537597836,10.41446677729839
강원,2021,2022,1-1. 고용여건,27.212158718652397,34568.48702727909,10.450726694138497
강원,2022,2023,1-1. 고용여건,27.41877930715674,20790.90635504521,9.942319072417629
강원,2023,2024,1-1. 고용여건,60.259237696833715,13323.52945052136,9.497361935128819
경기,2016,2017,1-1. 고용여건,55.37239738486059,1727.6602470124103,7.4551019637786435
경기,2017,2018,1-1. 고용여건,61.85685981908782,3189.5821201281115,8.06795866192971
경기,2018,2019,1-1. 고용여건,64.24411321518893,1587.237939189754,7.370380466344634
경기,2019,2020,1-1. 고용여건,60.98292079828625,4094.1558565082473,8.317560055760273
경기,2020,2021,1-1. 고용여건,36.4286269524752,6104.2177979416465,8.716899061246972
경기,2021,2022,1-1. 고용여건,52.49267219702812,6066.558612330887,8.710711597600392
경기,2022,2023,1-1. 고용여건,54.33577944983982,7621.895458503894,8.938911557936988
경기,2023,2024,1-1. 고용여건,79.47527573542267,7074.350377536979,8.86437224461198
경남,2016,2017,1-1. 고용여건,56.58125152364736,2003.241466592451,7.603020947257742
경남,2017,2018,1-1. 고용여건,63.31837975092025,41348.74717623831,10.629821586194652
경남,2018,2019,1-1. 고용여건,62.62292498277899,19425.67757102097,9.874402532949434
경남,2019,2020,1-1. 고용여건,61.28970695891622,15511.694334532856,9.64941395704328
경남,2020,2021,1-1. 고용여건,40.94228636433678,30558.68114508012,10.327436809491736
경남,2021,2022,1-1. 고용여건,49.6961236300129,11407.8843588144,9.342147660583425
경남,2022,2023,1-1. 고용여건,53.19943112669535,31724.531341251317,10.364877040787531
경남,2023,2024,1-1. 고용여건,59.12706142095571,26650.20846368767,10.190589774295272
경북,2016,2017,1-1. 고용여건,59.240492990672905,4582.315174968853,8.430177852593783
경북,2017,2018,1-1. 고용여건,66.35533187676613,5577.087513062198,8.62660125703213
경북,2018,2019,1-1. 고용여건,59.13290707805685,4908.874888861849,8.49900373958039
경북,2019,2020,1-1. 고용여건,54.63965938969621,4186.2547181569125,8.339800599649255
경북,2020,2021,1-1. 고용여건,42.018043356963815,6405.5062186098585,8.765069349621111
경북,2021,2022,1-1. 고용여건,53.52767616797878,11517.9434756562,9.351748217861442
경북,2022,2023,1-1. 고용여건,58.85469485332767,10978.295162134866,9.303766520119177
경북,2023,2024,1-1. 고용여건,65.767847095847,5449.588051437475,8.603478781182899
광주,2016,2017,1-1. 고용여건,45.139930320521344,15920.895183035887,9.675450496473726
광주,2017,2018,1-1. 고용여건,43.30903830219649,3951.292885848643,8.28205116691335
광주,2018,2019,1-1. 고용여건,44.137161393860424,29430.872561560784,10.289833466847293
광주,2019,2020,1-1. 고용여건,50.35357623956299,43790.65281626851,10.687198503231782
광주,2020,2021,1-1. 고용여건,32.551209901850314,18887.716855049686,9.846320030980865
광주,2021,2022,1-1. 고용여건,41.966403114875035,9285.738008471311,9.136342640811842
광주,2022,2023,1-1. 고용여건,41.49283031064778,15272.361443661026,9.633865507821818
광주,2023,2024,1-1. 고용여건,55.55338563369463,7881.870632523491,8.972447409980619
대구,2016,2017,1-1. 고용여건,40.87100996500598,12550.931792231482,9.43762986038213
대구,2017,2018,1-1. 고용여건,43.8237068441426,7041.4839840729155,8.859716225565892
대구,2018,2019,1-1. 고용여건,34.854586514359895,11084.647341396194,9.313406518306182
대구,2019,2020,1-1. 고용여건,43.762554712648466,11421.89314588062,9.343374791394531
대구,2020,2021,1-1. 고용여건,28.074666220261825,9251.912184559413,9.132693611720846
대구,2021,2022,1-1. 고용여건,47.01627168834379,42165.229127416605,10.649374922002865
대구,2022,2023,1-1. 고용여건,44.52673850806789,71046.13214397895,11.171098768797568
대구,2023,2024,1-1. 고용여건,61.36710279775647,43822.86729431734,10.687933863347428
대전,2016,2017,1-1. 고용여건,50.47160005615186,6962.819376160067,8.84848336375678
대전,2017,2018,1-1. 고용여건,63.4871989489427,19401.513078189684,9.873157876774695
대전,2018,2019,1-1. 고용여건,52.007516544713525,99.67710241133724,4.611918389671564
대전,2019,2020,1-1. 고용여건,62.0470591022824,18595.15124971968,9.830709916231887
대전,2020,2021,1-1. 고용여건,43.694723102326115,18670.35644952172,9.834745887861338
대전,2021,2022,1-1. 고용여건,44.59335849451741,10012.83505963688,9.211722921777298
대전,2022,2023,1-1. 고용여건,50.48485037391577,5603.417794433514,8.631310457574742
대전,2023,2024,1-1. 고용여건,84.26858265713666,5385.0969699622765,8.591576277287134
부산,2016,2017,1-1. 고용여건,41.82288304187412,1769.1689404764174,7.478830267609984
부산,2017,2018,1-1. 고용여건,50.71485361236361,1415.4142795248065,7.2558838017492056
부산,2018,2019,1-1. 고용여건,53.0279180803099,659.741009360669,6.493361946673202
부산,2019,2020,1-1. 고용여건,57.14759518905328,2344.786385310679,7.760375970212893
부산,2020,2021,1-1. 고용여건,28.03034654147526,26821.525948829243,10.196997333938125
부산,2021,2022,1-1. 고용여건,49.54690374883625,28999.44045365828,10.275066296910456
부산,2022,2023,1-1. 고용여건,17.91692799418812,21493.667556989316,9.97556016274841
부산,2023,2024,1-1. 고용여건,55.19772297898096,11676.67401988246,9.36543409441744
서울,2016,2017,1-1. 고용여건,49.087115722773895,11899.254844923087,9.384315094410066
서울,2017,2018,1-1. 고용여건,58.35028758255264,22479.336119001993,10.020396255808748
서울,2018,2019,1-1. 고용여건,58.751202275825506,15487.9312346954,9.647880933915939
서울,2019,2020,1-1. 고용여건,63.94418440830728,7220.83069075268,8.8848637580224
서울,2020,2021,1-1. 고용여건,38.81939133648364,18284.717830561127,9.813875587705233
서울,2021,2022,1-1. 고용여건,52.70250497765867,17816.00615770318,9.787908682292215
서울,2022,2023,1-1. 고용여건,55.11131292942669,27145.58492164833,10.209006531875765
서울,2023,2024,1-1. 고용여건,83.81991873219037,24603.432467893752,10.110681887311392
세종,2016,2017,1-1. 고용여건,63.25544561978312,1326.1582985455725,7.190795317756898
세종,2017,2018,1-1. 고용여건,63.25544561978312,260.4023513177576,5.566060796244377
세종,2018,2019,1-1. 고용여건,67.20698280712473,1241.006997272409,7.124483896352279
세종,2019,2020,1-1. 고용여건,68.9567020168363,1261.7315524187989,7.1410325521888245
세종,2020,2021,1-1. 고용여건,42.096361147250725,3494.3280993274525,8.159182527036426
세종,2021,2022,1-1. 고용여건,67.39463520493493,10040.23768522771,9.214455661069017
세종,2022,2023,1-1. 고용여건,60.98034326904357,8685.052129018963,9.069473814575602
세종,2023,2024,1-1. 고용여건,87.86124102785965,4361.570062838348,8.380816626631196
울산,2016,2017,1-1. 고용여건,56.82488108913273,6858.962972111474,8.833457323053976
울산,2017,2018,1-1. 고용여건,61.32604617463638,17803.569267019582,9.787210403732626
울산,2018,2019,1-1. 고용여건,56.79554768228354,8677.797647524978,9.068638278189239
울산,2019,2020,1-1. 고용여건,56.34786275481655,5395.144615258623,8.59344001742416
울산,2020,2021,1-1. 고용여건,31.720440056670853,8940.503513753876,9.098459032299425
울산,2021,2022,1-1. 고용여건,53.06368129622833,9157.799738988157,9.122470416221066
울산,2022,2023,1-1. 고용여건,57.96781516516896,10823.022155886192,9.289523216770757
울산,2023,2024,1-1. 고용여건,67.82833841523944,11778.162905298395,9.374087394009884
인천,2016,2017,1-1. 고용여건,45.2163088033422,207.8469157382505,5.341601523001965
인천,2017,2018,1-1. 고용여건,49.25765213940235,3993.653129506424,8.292712028274677
인천,2018,2019,1-1. 고용여건,56.60203659825561,3189.187739647244,8.067835046601141
인천,2019,2020,1-1. 고용여건,51.77890835789267,5499.9895342289365,8.612683270352095
인천,2020,2021,1-1. 고용여건,31.612206263804257,12824.31505315832,9.45917623528565
인천,2021,2022,1-1. 고용여건,54.19027562379388,15220.043272230952,9.630434175205194
인천,2022,2023,1-1. 고용여건,59.63763180599904,10186.546003902213,9.228921273259385
