세부영역,구조환경_하락사례수,후행예산비중_증가건수,예산누락주의_사례수,후행예산비중_증가비율_pct,누락주의제외_하락사례수,누락주의제외_증가건수,누락주의제외_증가비율_pct
1-1. 고용여건,42,22,2,52.38095238095238,40,21,52.5
1-2. 주거안정성,67,37,0,55.223880597014926,67,37,55.223880597014926
1-3. 경제적 여건,2,0,0,0.0,2,0,0.0
2-1. 돌봄 여건,17,8,2,47.05882352941177,15,8,53.333333333333336
2-2. 여가 인프라,21,12,0,57.142857142857146,21,12,57.142857142857146
2-3. 가사수행 격차,8,3,0,37.5,8,3,37.5
3-1. 의료서비스 여건,44,22,6,50.0,38,19,50.0
3-3. 아동안전 수준,20,9,0,45.0,20,9,45.0
4-1. 일·가정 양립 여건,30,15,3,50.0,27,13,48.148148148148145
4-2. 사회적 가치관,44,19,4,43.18181818181818,40,15,37.5
3-2. 산후조리 여건,0,0,0,,0,0,
