지역,연도,세부영역,합계출산율,세부영역_재정대응지수_z_전년도,세부영역_재정대응지수_z_전전년도
강원,2016,1-1. 고용여건,1.237,,
강원,2017,1-1. 고용여건,1.123,-0.6083914330872594,
강원,2018,1-1. 고용여건,1.067,-0.0228961073346088,-0.6083914330872594
강원,2019,1-1. 고용여건,1.082,-4.9827634890310195,-0.0228961073346088
강원,2020,1-1. 고용여건,1.036,1.1485815786550353,-4.9827634890310195
강원,2021,1-1. 고용여건,0.979,0.5304630920954064,1.1485815786550353
강원,2022,1-1. 고용여건,0.968,0.9681657943652952,0.5304630920954064
강원,2023,1-1. 고용여건,0.893,0.9888850693461008,0.9681657943652952
강원,2024,1-1. 고용여건,0.889,0.6983759277167262,0.9888850693461008
강원,2016,1-2. 주거안정성,1.237,,
강원,2017,1-2. 주거안정성,1.123,-2.1430285928748103,
강원,2018,1-2. 주거안정성,1.067,0.7093040873850387,-2.1430285928748103
강원,2019,1-2. 주거안정성,1.082,1.035055627045402,0.7093040873850387
강원,2020,1-2. 주거안정성,1.036,1.2320524120306038,1.035055627045402
강원,2021,1-2. 주거안정성,0.979,1.1862722265021417,1.2320524120306038
강원,2022,1-2. 주거안정성,0.968,1.2036037248645022,1.1862722265021417
강원,2023,1-2. 주거안정성,0.893,1.1566676655074613,1.2036037248645022
강원,2024,1-2. 주거안정성,0.889,1.1921209834292334,1.1566676655074613
강원,2016,1-3. 경제적 여건,1.237,,
강원,2017,1-3. 경제적 여건,1.123,-1.69484437563809,
강원,2018,1-3. 경제적 여건,1.067,-1.522069580003651,-1.69484437563809
강원,2019,1-3. 경제적 여건,1.082,-0.1648510433382068,-1.522069580003651
강원,2020,1-3. 경제적 여건,1.036,0.4315309229243323,-0.1648510433382068
강원,2021,1-3. 경제적 여건,0.979,0.1331453254617179,0.4315309229243323
강원,2022,1-3. 경제적 여건,0.968,0.9009022977564406,0.1331453254617179
강원,2023,1-3. 경제적 여건,0.893,0.9779602944077216,0.9009022977564406
강원,2024,1-3. 경제적 여건,0.889,1.4366438964174346,0.9779602944077216
강원,2016,2-1. 돌봄 여건,1.237,,
강원,2017,2-1. 돌봄 여건,1.123,0.1114040047945294,
강원,2018,2-1. 돌봄 여건,1.067,0.4188792454119537,0.1114040047945294
강원,2019,2-1. 돌봄 여건,1.082,-0.1240789737878232,0.4188792454119537
강원,2020,2-1. 돌봄 여건,1.036,0.3241899636658584,-0.1240789737878232
강원,2021,2-1. 돌봄 여건,0.979,-0.7259267437874077,0.3241899636658584
강원,2022,2-1. 돌봄 여건,0.968,0.1467460857802928,-0.7259267437874077
강원,2023,2-1. 돌봄 여건,0.893,0.0322633475129688,0.1467460857802928
강원,2024,2-1. 돌봄 여건,0.889,0.3204384800068078,0.0322633475129688
강원,2016,2-2. 여가 인프라,1.237,,
강원,2017,2-2. 여가 인프라,1.123,-0.0451071439720142,
강원,2018,2-2. 여가 인프라,1.067,0.2305010203460262,-0.0451071439720142
강원,2019,2-2. 여가 인프라,1.082,-5.331780975465243,0.2305010203460262
강원,2020,2-2. 여가 인프라,1.036,-0.3696724994910721,-5.331780975465243
강원,2021,2-2. 여가 인프라,0.979,-0.8989332152018896,-0.3696724994910721
강원,2022,2-2. 여가 인프라,0.968,-0.815599015251547,-0.8989332152018896
강원,2023,2-2. 여가 인프라,0.893,-0.7362659400615567,-0.815599015251547
