모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차
1-1. 고용여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,-4.265621374311071,3.053018626067554,-1.397181575601919,0.18143554023167902,-10.737731738332872,2.2064889897107305,119,17,7,95.0,16.0,True,True,True
1-2. 주거안정성,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,-0.04429571876338345,4.418459623749646,-0.010025149607634683,0.9921251599615278,-9.411011689545408,9.322420252018642,119,17,7,95.0,16.0,True,True,True
1-3. 경제적 여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,0.3486637061646203,1.4979281322011588,0.23276397489929626,0.8188961006309908,-2.8268020791412125,3.524129491470453,119,17,7,95.0,16.0,True,True,True
2-1. 돌봄 여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,1.5874534902115562,0.7505720538804351,2.1149914681801287,0.050472768589846805,-0.0036881842569591594,3.178595164680072,119,17,7,95.0,16.0,True,True,True
2-2. 여가 인프라,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,1.0198531292838924,1.687030880378838,0.6045254660986852,0.5539710870634202,-2.556492573981105,4.59619883254889,119,17,7,95.0,16.0,True,True,True
2-3. 가사수행 격차,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,0.6573425965686489,2.628950084395315,0.2500399686058872,0.8057385327007858,-4.915782618729144,6.230467811866441,119,17,7,95.0,16.0,True,True,True
3-1. 의료서비스 여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,4.095723141838947,3.1009846289904024,1.3207815038968462,0.20515473691465638,-2.478070605961463,10.669516889639358,119,17,7,95.0,16.0,True,True,True
3-2. 산후조리 여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,0.9659120603297515,2.0352027917085667,0.4746023660467082,0.6414834143349218,-3.3485251228031307,5.280349243462633,119,17,7,95.0,16.0,True,True,True
3-3. 아동안전 수준,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,0.6895501928862433,7.961396765868271,0.08661171062877443,0.9320548140077396,-16.18785700028086,17.56695738605335,119,17,7,95.0,16.0,True,True,True
4-1. 일·가정 양립 여건,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,6.532050471391594,6.736818494671021,0.9696046400179249,0.34667360863402474,-7.749366755353259,20.81346769813645,119,17,7,95.0,16.0,True,True,True
4-2. 사회적 가치관,log1p_인구1인당_실질예산,직전1년_출산율하락도,False,1.313507858292664,1.9651118551778504,0.6684137876588131,0.5133977943425779,-2.852343177061371,5.479358893646699,119,17,7,95.0,16.0,True,True,True
