연도,지역,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처
2016,강원,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2328171752000,2328171.752,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경기,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9260838527000,9260838.527,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2809103333000,2809103.333,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2807859138000,2807859.138,행정안전부 지방재정365 기능별 회계별 세출예산
2016,광주,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2188594131000,2188594.131,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대구,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,3842209086000,3842209.086,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대전,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2177126449000,2177126.449,행정안전부 지방재정365 기능별 회계별 세출예산
2016,부산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,5644047813000,5644047.813,행정안전부 지방재정365 기능별 회계별 세출예산
2016,서울,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,15015285791000,15015285.791,행정안전부 지방재정365 기능별 회계별 세출예산
2016,세종,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1048827518000,1048827.518,행정안전부 지방재정365 기능별 회계별 세출예산
2016,울산,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1872538137000,1872538.137,행정안전부 지방재정365 기능별 회계별 세출예산
2016,인천,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,4873432227000,4873432.227,행정안전부 지방재정365 기능별 회계별 세출예산
2016,전남,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2359273925000,2359273.925,행정안전부 지방재정365 기능별 회계별 세출예산
2016,전북,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1835414968000,1835414.968,행정안전부 지방재정365 기능별 회계별 세출예산
