연도,지역,예산단계,포함회계,자치단체수,포함회계수,세출예산총계액_원,세출예산순계액_원,세출예산총계액_백만원,세출예산순계액_백만원,총계순계차액_백만원,원자료단위,출처
2016,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,12439345023000,9415973114000,12439345.023,9415973.114,3023371.909,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,47124571518000,36249467525000,47124571.518,36249467.525,10875103.993,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,18897926368000,14026791169000,18897926.368,14026791.169,4871135.199000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,20737266442000,15225641095000,20737266.442,15225641.095,5511625.347000001,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5917328537000,4106117093000,5917328.537,4106117.093,1811211.4439999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,10142136000000,7213154474000,10142136.0,7213154.474,2928981.5259999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,대전,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5636043167000,4016882713000,5636043.167,4016882.713,1619160.4540000004,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,부산,당초예산,일반회계+기타특별회계+공기업특별회계,17,3,14696969244000,10573185713000,14696969.244,10573185.713,4123783.5310000014,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,서울,당초예산,일반회계+기타특별회계+공기업특별회계,26,3,39210741290000,27534501217000,39210741.29,27534501.217,11676240.072999999,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,세종,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,1117265816000,1048827518000,1117265.816,1048827.518,68438.29800000018,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,울산,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5051290919000,3723980614000,5051290.919,3723980.614,1327310.3049999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,인천,당초예산,일반회계+기타특별회계+공기업특별회계,11,3,12151803113000,8960219625000,12151803.113,8960219.625,3191583.488,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,전남,당초예산,일반회계+기타특별회계+공기업특별회계,23,3,16028080727000,11703884511000,16028080.727,11703884.511,4324196.216,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,전북,당초예산,일반회계+기타특별회계+공기업특별회계,15,3,13099890400000,9478473289000,13099890.4,9478473.289,3621417.1109999996,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,제주,당초예산,일반회계+기타특별회계+공기업특별회계,1,3,4102809954000,3890498595000,4102809.954,3890498.595,212311.3589999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,충남,당초예산,일반회계+기타특별회계+공기업특별회계,16,3,13853262572000,10288195424000,13853262.572,10288195.424,3565067.148,원,행정안전부 지방재정365 기능별 회계별 세출예산
2016,충북,당초예산,일반회계+기타특별회계+공기업특별회계,12,3,9808174364000,7126733448000,9808174.364,7126733.448,2681440.916,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,강원,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,12386132413000,9521900642000,12386132.413,9521900.642,2864231.7709999997,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,경기,당초예산,일반회계+기타특별회계+공기업특별회계,32,3,50549773355000,38770100561000,50549773.355,38770100.561,11779672.794,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,경남,당초예산,일반회계+기타특별회계+공기업특별회계,19,3,18999377265000,14218184687000,18999377.265,14218184.687,4781192.578,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,경북,당초예산,일반회계+기타특별회계+공기업특별회계,24,3,20959808641000,15604746586000,20959808.641,15604746.586,5355062.055,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,광주,당초예산,일반회계+기타특별회계+공기업특별회계,6,3,5901634944000,4236416938000,5901634.944,4236416.938,1665218.006,원,행정안전부 지방재정365 기능별 회계별 세출예산
2017,대구,당초예산,일반회계+기타특별회계+공기업특별회계,9,3,10515430302000,7510292544000,10515430.302,7510292.544,3005137.7579999994,원,행정안전부 지방재정365 기능별 회계별 세출예산
