지역,세부영역,구조환경_하락사례수,후행예산비중_증가건수,예산누락주의_사례수,후행예산비중_증가비율_pct
강원,1-1. 고용여건,2,2,0,100.0
경기,1-1. 고용여건,2,2,1,100.0
경남,1-1. 고용여건,3,2,0,66.66666666666667
경북,1-1. 고용여건,3,2,0,66.66666666666667
광주,1-1. 고용여건,3,1,0,33.333333333333336
대구,1-1. 고용여건,3,1,0,33.333333333333336
대전,1-1. 고용여건,2,1,0,50.0
부산,1-1. 고용여건,2,0,0,0.0
서울,1-1. 고용여건,1,0,0,0.0
세종,1-1. 고용여건,2,1,0,50.0
울산,1-1. 고용여건,3,2,0,66.66666666666667
인천,1-1. 고용여건,2,1,1,50.0
전남,1-1. 고용여건,3,2,0,66.66666666666667
전북,1-1. 고용여건,4,1,0,25.0
제주,1-1. 고용여건,3,1,0,33.333333333333336
충남,1-1. 고용여건,2,1,0,50.0
충북,1-1. 고용여건,2,2,0,100.0
강원,1-2. 주거안정성,5,2,0,40.0
경기,1-2. 주거안정성,2,1,0,50.0
경남,1-2. 주거안정성,3,1,0,33.333333333333336
경북,1-2. 주거안정성,5,3,0,60.0
광주,1-2. 주거안정성,4,2,0,50.0
대구,1-2. 주거안정성,5,3,0,60.0
대전,1-2. 주거안정성,4,2,0,50.0
부산,1-2. 주거안정성,4,3,0,75.0
서울,1-2. 주거안정성,5,3,0,60.0
세종,1-2. 주거안정성,3,1,0,33.333333333333336
울산,1-2. 주거안정성,3,1,0,33.333333333333336
인천,1-2. 주거안정성,5,4,0,80.0
전남,1-2. 주거안정성,4,2,0,50.0
전북,1-2. 주거안정성,3,2,0,66.66666666666667
제주,1-2. 주거안정성,5,3,0,60.0
충남,1-2. 주거안정성,3,2,0,66.66666666666667
충북,1-2. 주거안정성,4,2,0,50.0
제주,1-3. 경제적 여건,2,0,0,0.0
광주,2-1. 돌봄 여건,2,1,1,50.0
대구,2-1. 돌봄 여건,1,0,0,0.0
대전,2-1. 돌봄 여건,3,1,0,33.333333333333336
부산,2-1. 돌봄 여건,1,1,0,100.0
서울,2-1. 돌봄 여건,1,1,0,100.0
세종,2-1. 돌봄 여건,4,2,0,50.0
울산,2-1. 돌봄 여건,1,1,0,100.0
인천,2-1. 돌봄 여건,1,0,0,0.0
제주,2-1. 돌봄 여건,1,1,0,100.0
충남,2-1. 돌봄 여건,1,0,1,0.0
충북,2-1. 돌봄 여건,1,0,0,0.0
경기,2-2. 여가 인프라,2,1,0,50.0
경남,2-2. 여가 인프라,2,1,0,50.0
경북,2-2. 여가 인프라,2,2,0,100.0
광주,2-2. 여가 인프라,2,1,0,50.0
부산,2-2. 여가 인프라,1,0,0,0.0
서울,2-2. 여가 인프라,1,0,0,0.0
세종,2-2. 여가 인프라,3,2,0,66.66666666666667
울산,2-2. 여가 인프라,1,1,0,100.0
전북,2-2. 여가 인프라,1,0,0,0.0
제주,2-2. 여가 인프라,3,2,0,66.66666666666667
충남,2-2. 여가 인프라,1,1,0,100.0
충북,2-2. 여가 인프라,2,1,0,50.0
경기,2-3. 가사수행 격차,2,1,0,50.0
경남,2-3. 가사수행 격차,2,1,0,50.0
부산,2-3. 가사수행 격차,2,0,0,0.0
서울,2-3. 가사수행 격차,2,1,0,50.0
강원,3-1. 의료서비스 여건,2,1,0,50.0
경기,3-1. 의료서비스 여건,2,0,1,0.0
경남,3-1. 의료서비스 여건,2,1,0,50.0
경북,3-1. 의료서비스 여건,3,1,0,33.333333333333336
광주,3-1. 의료서비스 여건,4,2,1,50.0
대구,3-1. 의료서비스 여건,1,1,0,100.0
대전,3-1. 의료서비스 여건,3,1,0,33.333333333333336
부산,3-1. 의료서비스 여건,2,1,0,50.0
서울,3-1. 의료서비스 여건,1,1,0,100.0
세종,3-1. 의료서비스 여건,2,1,0,50.0
울산,3-1. 의료서비스 여건,2,1,0,50.0
인천,3-1. 의료서비스 여건,2,1,1,50.0
전남,3-1. 의료서비스 여건,3,1,1,33.333333333333336
전북,3-1. 의료서비스 여건,4,2,0,50.0
제주,3-1. 의료서비스 여건,2,1,0,50.0
충남,3-1. 의료서비스 여건,4,3,2,75.0
충북,3-1. 의료서비스 여건,5,3,0,60.0
강원,3-3. 아동안전 수준,1,0,0,0.0
경기,3-3. 아동안전 수준,2,1,0,50.0
광주,3-3. 아동안전 수준,2,0,0,0.0
대구,3-3. 아동안전 수준,2,2,0,100.0
대전,3-3. 아동안전 수준,1,0,0,0.0
부산,3-3. 아동안전 수준,1,1,0,100.0
세종,3-3. 아동안전 수준,2,1,0,50.0
울산,3-3. 아동안전 수준,2,2,0,100.0
전남,3-3. 아동안전 수준,2,0,0,0.0
전북,3-3. 아동안전 수준,1,0,0,0.0
제주,3-3. 아동안전 수준,2,0,0,0.0
충남,3-3. 아동안전 수준,1,1,0,100.0
충북,3-3. 아동안전 수준,1,1,0,100.0
강원,4-1. 일·가정 양립 여건,2,1,0,50.0
경기,4-1. 일·가정 양립 여건,2,1,0,50.0
경남,4-1. 일·가정 양립 여건,2,1,0,50.0
경북,4-1. 일·가정 양립 여건,2,1,1,50.0
광주,4-1. 일·가정 양립 여건,2,1,1,50.0
대구,4-1. 일·가정 양립 여건,2,1,0,50.0
대전,4-1. 일·가정 양립 여건,2,1,0,50.0
부산,4-1. 일·가정 양립 여건,2,0,0,0.0
서울,4-1. 일·가정 양립 여건,2,2,0,100.0
세종,4-1. 일·가정 양립 여건,1,1,0,100.0
울산,4-1. 일·가정 양립 여건,2,1,0,50.0
인천,4-1. 일·가정 양립 여건,2,1,0,50.0
전남,4-1. 일·가정 양립 여건,1,1,1,100.0
전북,4-1. 일·가정 양립 여건,2,1,0,50.0
제주,4-1. 일·가정 양립 여건,2,0,0,0.0
충남,4-1. 일·가정 양립 여건,1,1,0,100.0
충북,4-1. 일·가정 양립 여건,1,0,0,0.0
강원,4-2. 사회적 가치관,2,1,0,50.0
경기,4-2. 사회적 가치관,2,1,1,50.0
경남,4-2. 사회적 가치관,2,1,0,50.0
경북,4-2. 사회적 가치관,4,3,0,75.0
대구,4-2. 사회적 가치관,4,1,0,25.0
대전,4-2. 사회적 가치관,2,1,0,50.0
부산,4-2. 사회적 가치관,4,1,0,25.0
서울,4-2. 사회적 가치관,2,1,0,50.0
세종,4-2. 사회적 가치관,2,0,0,0.0
울산,4-2. 사회적 가치관,2,1,0,50.0
인천,4-2. 사회적 가치관,2,1,1,50.0
전남,4-2. 사회적 가치관,4,3,2,75.0
전북,4-2. 사회적 가치관,4,2,0,50.0
제주,4-2. 사회적 가치관,4,1,0,25.0
충남,4-2. 사회적 가치관,2,0,0,0.0
충북,4-2. 사회적 가치관,2,1,0,50.0
강원,1-3. 경제적 여건,0,0,0,
강원,2-1. 돌봄 여건,0,0,0,
강원,2-2. 여가 인프라,0,0,0,
강원,2-3. 가사수행 격차,0,0,0,
강원,3-2. 산후조리 여건,0,0,0,
경기,1-3. 경제적 여건,0,0,0,
경기,2-1. 돌봄 여건,0,0,0,
경기,3-2. 산후조리 여건,0,0,0,
경남,1-3. 경제적 여건,0,0,0,
경남,2-1. 돌봄 여건,0,0,0,
경남,3-3. 아동안전 수준,0,0,0,
경남,3-2. 산후조리 여건,0,0,0,
경북,1-3. 경제적 여건,0,0,0,
경북,2-1. 돌봄 여건,0,0,0,
경북,2-3. 가사수행 격차,0,0,0,
경북,3-3. 아동안전 수준,0,0,0,
경북,3-2. 산후조리 여건,0,0,0,
광주,1-3. 경제적 여건,0,0,0,
광주,2-3. 가사수행 격차,0,0,0,
광주,4-2. 사회적 가치관,0,0,0,
광주,3-2. 산후조리 여건,0,0,0,
대구,1-3. 경제적 여건,0,0,0,
대구,2-2. 여가 인프라,0,0,0,
대구,2-3. 가사수행 격차,0,0,0,
대구,3-2. 산후조리 여건,0,0,0,
대전,1-3. 경제적 여건,0,0,0,
대전,2-2. 여가 인프라,0,0,0,
대전,2-3. 가사수행 격차,0,0,0,
대전,3-2. 산후조리 여건,0,0,0,
부산,1-3. 경제적 여건,0,0,0,
부산,3-2. 산후조리 여건,0,0,0,
서울,1-3. 경제적 여건,0,0,0,
서울,3-3. 아동안전 수준,0,0,0,
서울,3-2. 산후조리 여건,0,0,0,
세종,1-3. 경제적 여건,0,0,0,
세종,2-3. 가사수행 격차,0,0,0,
세종,3-2. 산후조리 여건,0,0,0,
울산,1-3. 경제적 여건,0,0,0,
울산,2-3. 가사수행 격차,0,0,0,
울산,3-2. 산후조리 여건,0,0,0,
인천,1-3. 경제적 여건,0,0,0,
인천,2-2. 여가 인프라,0,0,0,
인천,2-3. 가사수행 격차,0,0,0,
인천,3-3. 아동안전 수준,0,0,0,
인천,3-2. 산후조리 여건,0,0,0,
전남,1-3. 경제적 여건,0,0,0,
전남,2-1. 돌봄 여건,0,0,0,
전남,2-2. 여가 인프라,0,0,0,
전남,2-3. 가사수행 격차,0,0,0,
전남,3-2. 산후조리 여건,0,0,0,
전북,1-3. 경제적 여건,0,0,0,
전북,2-1. 돌봄 여건,0,0,0,
전북,2-3. 가사수행 격차,0,0,0,
전북,3-2. 산후조리 여건,0,0,0,
제주,2-3. 가사수행 격차,0,0,0,
제주,3-2. 산후조리 여건,0,0,0,
충남,1-3. 경제적 여건,0,0,0,
충남,2-3. 가사수행 격차,0,0,0,
충남,3-2. 산후조리 여건,0,0,0,
충북,1-3. 경제적 여건,0,0,0,
충북,2-3. 가사수행 격차,0,0,0,
충북,3-2. 산후조리 여건,0,0,0,
