지역,연도,당해계획예산_백만원,분모대안,예산단계,행정범위,회계범위,금액기준,분모금액_원,분모금액_백만원,출처,계획예산_총세출비율_pct,100pct_초과
강원,2016,966330.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2328171752000,2328171.752,행정안전부 지방재정365 기능별 회계별 세출예산,41.50595844872188,False
강원,2017,1189656.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2050746180000,2050746.18,행정안전부 지방재정365 기능별 회계별 세출예산,58.01088460396401,False
강원,2018,1070709.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1808573237000,1808573.237,행정안전부 지방재정365 기능별 회계별 세출예산,59.20186023409568,False
강원,2019,1610182.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,1976435466000,1976435.466,행정안전부 지방재정365 기능별 회계별 세출예산,81.46898938515608,False
강원,2020,1479594.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2060572425000,2060572.425,행정안전부 지방재정365 기능별 회계별 세출예산,71.80499855519517,False
강원,2021,1968341.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2148825123000,2148825.123,행정안전부 지방재정365 기능별 회계별 세출예산,91.6007998478711,False
강원,2022,1320745.8,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2314141633000,2314141.633,행정안전부 지방재정365 기능별 회계별 세출예산,57.07281616500782,False
강원,2023,2579093.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2444530582000,2444530.582,행정안전부 지방재정365 기능별 회계별 세출예산,105.50463221817856,True
강원,2024,2540007.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2205610646000,2205610.646,행정안전부 지방재정365 기능별 회계별 세출예산,115.16116884031398,True
경기,2016,4814583.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9260838527000,9260838.527,행정안전부 지방재정365 기능별 회계별 세출예산,51.98862917178687,False
경기,2017,5514545.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,7813979707000,7813979.707,행정안전부 지방재정365 기능별 회계별 세출예산,70.57280933376245,False
경기,2018,7061650.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,8763257796000,8763257.796,행정안전부 지방재정365 기능별 회계별 세출예산,80.58247474156585,False
경기,2019,8641670.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9094144829000,9094144.829,행정안전부 지방재정365 기능별 회계별 세출예산,95.02454779962247,False
경기,2020,10166623.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9552048255000,9552048.255,행정안전부 지방재정365 기능별 회계별 세출예산,106.43395770826744,True
경기,2021,10065813.95,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,9813905900000,9813905.9,행정안전부 지방재정365 기능별 회계별 세출예산,102.56684802734861,True
경기,2022,9215575.7,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,11223008405000,11223008.405,행정안전부 지방재정365 기능별 회계별 세출예산,82.11323887001936,False
경기,2023,12285412.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,10789510823000,10789510.823,행정안전부 지방재정365 기능별 회계별 세출예산,113.86440221007229,True
경기,2024,13821287.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,11799396643000,11799396.643,행정안전부 지방재정365 기능별 회계별 세출예산,117.13554021594392,True
경남,2016,1481184.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2809103333000,2809103.333,행정안전부 지방재정365 기능별 회계별 세출예산,52.72799980690493,False
경남,2017,1707499.35,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2403702656000,2403702.656,행정안전부 지방재정365 기능별 회계별 세출예산,71.03621347415111,False
경남,2018,1999188.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2485662980000,2485662.98,행정안전부 지방재정365 기능별 회계별 세출예산,80.4287635164442,False
경남,2019,2831100.0,광역본청_3개회계_순계,당초예산,광역본청,일반+기타특별+공기업특별,순계,2699225176000,2699225.176,행정안전부 지방재정365 기능별 회계별 세출예산,104.88565478614223,True
