지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도,세출예산순계액_백만원,세출예산순계액_원,예산단계,자치단체수,출처,포함회계,계획예산_총세출비율_pct,분모대안,분자분모_단위
강원,2016,966330.0,251,250,1,0,1.237,6,3,3,0,0,3.04,,95.718,2020=100,370276,1009559.330533442,13.82502547773627,2726504.9058903144,14.818531459452752,-0.5623690569958588,-0.3476367466197292,52.07602720097654,,,,,,,,9415973.114,9415973114000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,10.262667366405566,지역통합_3개회계_순계,백만원
강원,2017,1189656.0,276,276,0,0,1.123,6,0,0,6,0,,,97.492,2020=100,366102,1220260.1239076026,14.014575429796842,3333115.153447953,15.019418206201983,-0.3534868798930773,0.0528540900057638,58.19038256380749,210700.79337416065,0.2087057065411186,0.1895499520605721,0.2008867467492301,1.237,,,9521900.642,9521900642000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,12.493892183169454,지역통합_3개회계_순계,백만원
강원,2018,1070709.0,77,77,0,0,1.067,3,0,0,3,0,,원자료에 자체사업 상세가 없어 세부사업 합계가 과소대표될 수 있음,99.158,2020=100,358469,1079800.9237782126,13.892288178370787,3012257.4721334693,14.91820067834144,-0.4882462244991206,-0.1489346943217371,55.10964207544083,-140459.20012939,-0.1151059494426497,-0.1222872514260551,-0.1012175278605447,1.123,1.237,0.1140000000000001,10154992.436,10154992436000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,10.543671073592122,지역통합_3개회계_순계,백만원
강원,2019,1610182.0,428,428,0,0,1.082,6,4,2,0,0,0.02,,99.467,2020=100,351771,1618810.2586787578,14.29720264691318,4601886.621349565,15.341977129755072,-0.0420344749834941,0.6959124064215041,68.00805304715591,539009.3349005452,0.4991747302961706,0.404914468542394,0.4237764514136337,1.067,1.123,0.056,11146370.678,11146370678000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,14.445796273203754,지역통합_3개회계_순계,백만원
강원,2020,1479594.0,470,470,0,0,1.036,6,4,2,0,0,0.0,,100.0,2020=100,346364,1479594.0,14.207278959643023,4271789.215969327,15.26754355166764,-0.1411294911832212,0.5475205067882384,65.74253103180008,-139216.25867875782,-0.0859991206087262,-0.0899236872701561,-0.074433578087433,1.082,1.067,-0.0150000000000001,12186115.761,12186115761000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,12.141637491539663,지역통합_3개회계_순계,백만원
강원,2021,1968341.0,437,437,0,0,0.979,8,8,0,0,0,0.0,,102.59,2020=100,338241,1918648.016375865,14.467131859030811,5672428.87874582,15.551128133945946,0.1452258402770896,1.1128789908524208,74.37394619247286,439054.0163758651,0.2967395220417663,0.2598528993877878,0.2835845822783067,1.036,1.082,0.046,12917687.435,12917687435000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,15.23756484977994,지역통합_3개회계_순계,백만원
강원,2022,1320745.8,521,521,0,0,0.968,8,7,1,0,0,0.0,,108.06,2020=100,330559,1222233.759022765,14.01619151075608,3697475.364527256,15.123161081261944,-0.3517059746199804,0.2596774444531436,61.34798661058014,-696414.2573531,-0.3629713482666598,-0.4509403482747327,-0.4279670526840036,0.979,1.036,0.057,13816924.422,13816924422000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,9.558898635191508,지역통합_3개회계_순계,백만원
강원,2023,2579093.0,537,537,0,0,0.893,8,5,3,0,0,0.0,,111.62,2020=100,322204,2310601.1467478946,14.653018718117396,7171236.690878743,15.785588818442674,0.350071325061995,1.5803033342168755,81.51018572456671,1088367.3877251295,0.8904740027761398,0.6368272073613159,0.6624277371807317,0.968,0.979,0.011,14912819.337,14912819337000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,17.294469554801395,지역통합_3개회계_순계,백만원
강원,2024,2540007.0,496,496,0,0,0.889,8,8,0,0,0,0.0,,114.24,2020=100,314734,2223395.4831932774,14.614546532055687,7064363.822126867,15.77057366519381,0.3076753555821154,1.5503688990985434,81.05317208739767,-87205.6635546172,-0.0377415477687945,-0.0384721860617069,-0.0150151532488642,0.893,0.968,0.0749999999999999,14634273.729,14634273729000,당초예산,19,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,17.35656341432644,지역통합_3개회계_순계,백만원
경기,2016,4814583.0,126,124,2,0,1.194,6,6,0,0,0,0.0,,95.718,2020=100,3643196,5029966.150567291,15.43092401135227,1380646.5945195623,14.13806321845099,1.207315283523947,-1.7042284558581011,31.364732374747703,,,,,,,,36249467.525,36249467525000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,13.281803371813805,지역통합_3개회계_순계,백만원
경기,2017,5514545.0,123,118,5,0,1.069,6,0,0,6,0,,,97.492,2020=100,3656513,5656407.70524761,15.548299744423062,1546940.406132184,14.251790253034525,1.3366621833587051,-1.4775005309733755,34.826222567889886,626441.5546803186,0.1245419026546863,0.1173757330707925,0.113727034583535,1.194,,,38770100.561,38770100561000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,14.223705691254374,지역통합_3개회계_순계,백만원
경기,2018,7061650.0,943,879,64,0,1.002,6,0,0,6,0,,,99.158,2020=100,3698625,7121613.989794066,15.77864508207667,1925476.086327775,14.47068433205088,1.5905004729045946,-1.041110006181508,41.48866400608163,1465206.2845464563,0.2590347727564162,0.2303453376536079,0.2188940790163567,1.069,1.194,0.125,43263494.672,43263494672000,당초예산,32,행정안전부 지방재정365 기능별 회계별 세출예산,일반회계+기타특별회계+공기업특별회계,16.32242160171651,지역통합_3개회계_순계,백만원
