지역,연도,당해계획예산_백만원,세부사업수,예산금액_존재_사업수,예산결측_사업수,음수예산_사업수,합계출산율,예산_QA_그룹수,예산_QA_일치건수,예산_QA_불일치건수,예산_QA_판정불가건수,예산_QA_허용초과건수,예산_QA_최대절대오차율,원자료_누락주의,소비자물가지수,기준연도,20_39세_인구_명,실질계획예산_2020년가격_백만원,log1p_실질계획예산,20_39세_1인당_실질예산_원,log1p_20_39세_1인당_실질예산,총액기준_재정대응지수_z,재정대응지수_z,재정대응점수_0_100,실질예산_전년증감액_백만원,실질예산_전년증감률,log실질예산_전년변화,log1인당실질예산_전년변화,전년도_합계출산율,전전년도_합계출산율,직전1년_출산율하락도
강원,2016,966330.0,251,250,1,0,1.237,6,3,3,0,0,3.04,,95.718,2020=100,370276,1009559.330533442,13.82502547773627,2726504.9058903144,14.818531459452753,-0.5623690569958588,-0.34763674661972926,52.07602720097654,,,,,,,
강원,2017,1189656.0,276,276,0,0,1.123,6,0,0,6,0,,,97.492,2020=100,366102,1220260.1239076026,14.014575429796842,3333115.153447953,15.019418206201983,-0.3534868798930773,0.052854090005763875,58.19038256380749,210700.79337416065,0.20870570654111864,0.18954995206057212,0.20088674674923013,1.237,,
강원,2018,1070709.0,77,77,0,0,1.067,3,0,0,3,0,,원자료에 자체사업 상세가 없어 세부사업 합계가 과소대표될 수 있음,99.158,2020=100,358469,1079800.9237782126,13.892288178370787,3012257.4721334693,14.918200678341439,-0.4882462244991206,-0.14893469432173714,55.10964207544083,-140459.20012939,-0.11510594944264974,-0.12228725142605512,-0.10121752786054472,1.123,1.237,0.1140000000000001
강원,2019,1610182.0,428,428,0,0,1.082,6,4,2,0,0,0.02,,99.467,2020=100,351771,1618810.2586787578,14.297202646913181,4601886.621349565,15.341977129755072,-0.042034474983494136,0.6959124064215041,68.00805304715591,539009.3349005452,0.49917473029617065,0.404914468542394,0.42377645141363374,1.067,1.123,0.05600000000000005
강원,2020,1479594.0,470,470,0,0,1.036,6,4,2,0,0,0.0,,100.0,2020=100,346364,1479594.0,14.207278959643025,4271789.215969327,15.26754355166764,-0.14112949118322124,0.5475205067882384,65.74253103180008,-139216.25867875782,-0.08599912060872628,-0.0899236872701561,-0.074433578087433,1.082,1.067,-0.015000000000000124
강원,2021,1968341.0,437,437,0,0,0.979,8,8,0,0,0,0.0,,102.59,2020=100,338241,1918648.016375865,14.467131859030813,5672428.87874582,15.551128133945946,0.14522584027708962,1.1128789908524208,74.37394619247286,439054.0163758651,0.29673952204176635,0.2598528993877878,0.28358458227830674,1.036,1.082,0.04600000000000004
강원,2022,1320745.8,521,521,0,0,0.968,8,7,1,0,0,0.0,,108.06,2020=100,330559,1222233.759022765,14.01619151075608,3697475.3645272558,15.123161081261943,-0.3517059746199804,0.25967744445314367,61.34798661058014,-696414.2573531,-0.3629713482666598,-0.4509403482747327,-0.4279670526840036,0.979,1.036,0.05700000000000005
강원,2023,2579093.0,537,537,0,0,0.893,8,5,3,0,0,0.0,,111.62,2020=100,322204,2310601.1467478946,14.653018718117396,7171236.690878743,15.785588818442674,0.350071325061995,1.5803033342168755,81.51018572456671,1088367.3877251295,0.8904740027761398,0.6368272073613159,0.6624277371807317,0.968,0.979,0.01100000000000001
강원,2024,2540007.0,496,496,0,0,0.889,8,8,0,0,0,0.0,,114.24,2020=100,314734,2223395.4831932774,14.614546532055689,7064363.822126867,15.77057366519381,0.30767535558211545,1.5503688990985434,81.05317208739767,-87205.6635546172,-0.03774154776879457,-0.03847218606170699,-0.015015153248864266,0.893,0.968,0.07499999999999996
경기,2016,4814583.0,126,124,2,0,1.194,6,6,0,0,0,0.0,,95.718,2020=100,3643196,5029966.150567291,15.43092401135227,1380646.5945195623,14.13806321845099,1.2073152835239467,-1.7042284558581011,31.364732374747703,,,,,,,
경기,2017,5514545.0,123,118,5,0,1.069,6,0,0,6,0,,,97.492,2020=100,3656513,5656407.70524761,15.548299744423062,1546940.406132184,14.251790253034525,1.3366621833587051,-1.4775005309733755,34.826222567889886,626441.5546803186,0.12454190265468634,0.11737573307079252,0.11372703458353506,1.194,,
경기,2018,7061650.0,943,879,64,0,1.002,6,0,0,6,0,,,99.158,2020=100,3698625,7121613.989794066,15.77864508207667,1925476.086327775,14.470684332050881,1.5905004729045946,-1.041110006181508,41.48866400608163,1465206.2845464563,0.2590347727564162,0.23034533765360798,0.2188940790163567,1.069,1.194,0.125
경기,2019,8641670.0,1023,1023,0,0,0.943,6,3,2,1,0,0.0,,99.467,2020=100,3696522,8687976.916967437,15.977450779367107,2350311.161942885,14.670058712167885,1.8095823899350605,-0.6436342463972018,47.556987725820335,1566362.9271733705,0.2199449351534799,0.19880569729043707,0.19937438011700337,1.002,1.069,0.06699999999999995
경기,2020,10166623.0,1010,1003,7,0,0.878,6,3,3,0,0,0.03,,100.0,2020=100,3715307,10166623.0,16.134620756179412,2736415.3218024783,14.82215971055024,1.9827821537696457,-0.3404034107176165,52.18645965565365,1478646.0830325633,0.17019452251821687,0.15716997681230538,0.15210099838235536,0.943,1.002,0.05900000000000005
경기,2021,10065813.95,1149,1149,0,0,0.853,8,8,0,0,0,0.0,,102.59,2020=100,3698716,9811691.149234816,16.099085308943202,2652728.987366107,14.791099851598853,1.9436224415020922,-0.40232481219483257,51.24109607034328,-354931.85076518357,-0.03491147953112683,-0.03553544723621016,-0.031059858951387298,0.878,0.943,0.06499999999999995
경기,2022,9215575.7,1310,1310,0,0,0.839,8,7,1,0,0,0.0,,108.06,2020=100,3619591,8528202.572644826,15.958889296191598,2356123.267143947,14.672528567330367,1.7891278186001234,-0.6387103060359133,47.632162282641616,-1283488.5765899904,-0.13081216653360372,-0.14019601275160376,-0.1185712842684854,0.853,0.878,0.025000000000000022
경기,2023,12285412.0,1303,1303,0,0,0.766,8,5,3,0,0,0.0,,111.62,2020=100,3560872,11006461.207668876,16.21399313169213,3090945.478430249,14.943987905671637,2.0702497285101455,-0.09752489046536333,55.89452347887042,2478258.6350240503,0.2905956576328692,0.25510383550053284,0.2714593383412698,0.839,0.853,0.014000000000000012
경기,2024,13821287.0,1315,1302,13,0,0.789,8,6,2,0,0,0.0,,114.24,2020=100,3534931,12098465.511204483,16.308589267924262,3422546.4404268377,15.045895697385953,2.174493737368372,0.10564001425217175,58.99627340944454,1092004.3035356067,0.0992148414401115,0.09459613623213059,0.10190779171431608,0.766,0.839,0.07299999999999995
경남,2016,1481184.0,319,318,1,0,1.358,6,3,3,0,0,0.03,,95.718,2020=100,863615,1547445.6215131949,14.252116789578091,1791823.4647536168,14.398744912782517,-0.09171864495727286,-1.1845295133185552,39.29905627376291,,,,,,,
경남,2017,1707499.35,326,323,3,0,1.227,6,0,2,4,1,29.81,,97.492,2020=100,851333,1751425.0912895417,14.375940923349694,2057273.8179884274,14.536892761066808,0.04473432883094085,-0.9091158873193609,43.50383857368755,203979.4697763468,0.1318168903259309,0.12382413377160262,0.13814784828429083,1.358,,
경남,2018,1999188.0,73,73,0,0,1.122,3,0,0,3,0,,,99.158,2020=100,835415,2016164.1017366224,14.516707800522816,2413368.3280006014,14.69653439049994,0.19985803869337096,-0.5908519362796092,48.36282339399543,264739.0104470807,0.15115634220596808,0.14076687717312275,0.15964162943313198,1.227,1.358,0.131
경남,2019,2831100.0,583,583,0,0,1.046,6,2,3,1,0,0.03,,99.467,2020=100,810243,2846270.6224174853,14.861520493140185,3512860.4905164074,15.071941502778218,0.5798382240936396,0.15756532321819425,59.78902510887967,830106.520680863,0.4117256725114047,0.3448126926173689,0.3754071122782783,1.122,1.227,0.10499999999999998
경남,2020,1717208.36,657,651,6,0,0.945,6,3,3,0,0,0.0,,100.0,2020=100,777994,1717208.36,14.35621106605144,2207225.7112522717,14.607247403684164,0.022992220739721438,-0.7688558147248967,45.64521073162529,-1129062.2624174852,-0.3966812760265621,-0.5053094270887453,-0.46469409909405357,1.046,1.122,0.07600000000000007
경남,2021,3255588.1419999995,684,684,0,0,0.903,8,5,3,0,0,0.0,,102.59,2020=100,742547,3173397.155668193,14.97031354509717,4273665.041631294,15.267982574613997,0.6997270940162714,0.5483957495303796,65.75589349771636,1456188.795668193,0.8479977325920967,0.6141024790457301,0.6607351709298328,0.945,1.046,0.10100000000000009
경남,2022,3325544.7,707,707,0,0,0.838,8,3,5,0,0,4.92,,108.06,2020=100,703314,3077498.334258745,14.939627920715376,4375710.328898252,15.291579654020076,0.6659118386867467,0.5954392415784425,66.4741137454354,-95898.82140944805,-0.030219609051504115,-0.03068562438179434,0.02359707940607869,0.903,0.945,0.041999999999999926
경남,2023,3893879.0,731,731,0,0,0.799,8,7,1,0,0,0.0,,111.62,2020=100,672846,3488513.707220928,15.064986618267957,5184713.451846229,15.461225326161308,0.8040558866218507,0.9336474024709515,71.63758989318072,411015.37296218285,0.13355502694729515,0.12535869755258133,0.1696456721412325,0.838,0.903,0.06500000000000006
경남,2024,4041141.0,714,714,0,0,0.82,8,8,0,0,0,0.0,,114.24,2020=100,651410,3537413.3403361347,15.07890660589448,5430394.590712662,15.507522542058076,0.81939557565402,1.0259462276944664,73.046730291357,48899.633115206845,0.014017325778020728,0.013919987626522357,0.04629721589676805,0.799,0.838,0.038999999999999924
경북,2016,1659180.0,417,416,1,0,1.396,5,2,3,0,0,0.11,,95.718,2020=100,647896,1733404.3753525983,14.365598456723262,2675436.1430732682,14.799623342932296,0.03333703264565096,-0.38533225180774955,51.50052411021164,,,,,,,
경북,2017,1817693.0,405,404,1,0,1.256,5,0,0,5,0,,,97.492,2020=100,634477,1864453.4936199891,14.43847907155604,2938567.503030038,14.893433117007472,0.11365075116347569,-0.1983116767276286,54.355796070579075,131049.11826739088,0.07560216192527713,0.07288061483277808,0.09380977407517577,1.396,,
경북,2018,2487285.0,558,558,0,1,1.167,6,0,0,6,0,,,99.158,2020=100,619667,2508405.7766393027,14.735158359225771,4047989.9311070344,15.213731249607758,0.4405883991875305,0.44023949287641156,64.10465524850191,643952.2830193136,0.3453839343394012,0.29667928766973084,0.3202981326002856,1.256,1.396,0.1399999999999999
경북,2019,2232261.0,629,629,0,0,1.089,6,3,2,1,0,0.0,,99.467,2020=100,601357,2244222.7070284616,14.623870231845041,3731930.794899638,15.132436565032004,0.3179499807639263,0.27816918826048953,61.630302914916136,-264183.0696108411,-0.10531911227089696,-0.11128812738073002,-0.08129468457575406,1.167,1.256,0.08899999999999997
경북,2020,2646517.0,618,618,0,0,1.003,6,4,2,0,0,0.03,,100.0,2020=100,575280,2646517.0,14.788755371692908,4600398.06702823,15.341653611398227,0.49965177814719813,0.6952674353644616,67.99820617456645,402294.2929715384,0.1792577410929994,0.16488513984786657,0.2092170463662235,1.089,1.167,0.07800000000000007
경북,2021,3199705.6,439,439,0,0,0.966,6,4,2,0,0,4.98,,102.59,2020=100,555496,3118925.4313285896,14.952999408049362,5614667.668765552,15.54089313617953,0.6806470858079525,1.092474345525326,74.0624253256445,472408.43132858956,0.17850194475553693,0.1642440363564539,0.19923952478130325,1.003,1.089,0.08600000000000008
경북,2022,3356569.7,742,739,3,0,0.93,8,7,1,0,0,0.04,,108.06,2020=100,529688,3106209.235609846,14.948913967331809,5864224.289789171,15.584380940942479,0.6761449704434805,1.1791722865012961,75.38605616029587,-12716.195718743373,-0.004077107965138715,-0.004085440717553013,0.043487804762948556,0.966,1.003,0.03699999999999992
경북,2023,3406826.0,264,264,0,0,0.86,8,7,1,0,0,0.0,,111.62,2020=100,507409,3052164.4866511375,14.931361892279263,6015195.801909579,15.609799625377635,0.6568027569013977,1.2298473577047873,76.15972028701007,-54044.74895870872,-0.01739894027071165,-0.017552075052545746,0.025418684435155825,0.93,0.966,0.03599999999999992
경북,2024,4062706.0,694,694,0,0,0.897,8,8,0,0,0,0.0,,114.24,2020=100,491584,3556290.2661064425,15.084228780615518,7234349.096200125,15.794351086259011,0.8252605596889236,1.5977719229878513,81.77688136318075,504125.7794553051,0.1651699250352121,0.1528668883362556,0.18455146088137653,0.86,0.93,0.07000000000000006
광주,2016,1102184.9,278,278,0,0,1.168,5,1,2,2,1,100.1,,95.718,2020=100,414797,1151491.7779310055,13.956569726343925,2776036.899811246,14.836535253185392,-0.4174085928236706,-0.3117441129288757,52.62400557457169,,,,,,,
광주,2017,1244520.8,284,280,4,0,1.053,5,0,0,5,0,,,97.492,2020=100,409132,1276536.3311861486,14.059661760191904,3120108.7453099457,14.953378733945875,-0.30380218861187697,-0.07880319412144834,56.18035050404341,125044.55325514311,0.10859352680730594,0.10309203384797883,0.11684348076048323,1.168,,
광주,2018,3239297.3600000003,287,286,1,0,0.972,6,1,1,4,0,0.0,,99.158,2020=100,406163,3266803.8484035586,14.99932295460975,8043085.77690129,15.90032349494914,0.7316951770971766,1.809040109178889,85.00234534162553,1990267.51721741,1.5591154506100642,0.9396611944178463,0.9469447610032642,1.053,1.168,0.11499999999999999
광주,2019,1088029.0,293,293,0,0,0.913,5,3,2,0,0,0.0,,99.467,2020=100,400391,1093859.2699086128,13.905223529774307,2731977.666602428,14.820536690931652,-0.4739915948704442,-0.3436390870149648,52.13706008664535,-2172944.5784949455,-0.665159182898855,-1.0940994248354432,-1.0797868040174876,0.972,1.053,0.08099999999999996
광주,2020,194720.0,179,178,1,0,0.811,5,5,0,0,0,0.0,,100.0,2020=100,395242,194720.0,12.179323043787461,492660.19299568364,13.107576981467526,-2.3759169029838305,-3.7586213008761122,0.0,-899139.2699086128,-0.8219880698032864,-1.7259004859868465,-1.7129597094641262,0.913,0.972,0.05899999999999994
광주,2021,824741.7,195,195,0,0,0.896,8,8,0,0,0,0.0,,102.59,2020=100,387661,803920.1676576664,13.597256493176838,2073771.0722968427,14.544879764093483,-0.8133682308498333,-0.8931928780813412,43.74693761122667,609200.1676576664,3.1285957665245805,1.417933449389377,1.4373027826259577,0.811,0.913,0.10199999999999998
광주,2022,870927.5,204,196,8,0,0.844,7,6,1,0,0,0.0,,108.06,2020=100,376036,805966.592633722,13.599798813029947,2143322.960125419,14.577868434344257,-0.8105666194538073,-0.8274261694174435,44.75100809434455,2046.4249760556268,0.0025455574550619087,0.002542319853109376,0.032988670250773566,0.896,0.811,-0.08499999999999996
광주,2023,1223803.0,198,198,0,0,0.706,7,6,1,0,0,0.29,,111.62,2020=100,364980,1096401.1825837663,13.907544634090806,3004003.459323158,14.915456776326831,-0.47143376081328764,-0.1544049786049525,55.02612640171128,290434.5899500443,0.360355618464244,0.307745821060859,0.33758834198257404,0.844,0.896,0.052000000000000046
광주,2024,1240977.0,200,200,0,0,0.699,8,7,1,0,0,0.0,,114.24,2020=100,355795,1086289.3907563025,13.898279138535624,3053132.817370403,14.931679102191232,-0.48164424550327617,-0.12206390602262043,55.51988254417305,-10111.791827463778,-0.009222711529400573,-0.009265495555181857,0.0162223258644012,0.706,0.844,0.138
대구,2016,774602.0,160,158,2,0,1.186,6,2,4,0,0,0.12,,95.718,2020=100,663695,809254.2677448337,13.603869681183225,1219316.5049380118,14.01380183799251,-0.8060805629113962,-1.951957810956764,27.58261010787898,,,,,,,
대구,2017,959658.5,163,163,0,0,1.067,6,0,0,6,0,,,97.492,2020=100,656227,984345.8950477988,13.799733649525992,1500008.2213133546,14.22098181359578,-0.5902404021586592,-1.5389206987326318,33.88851139504734,175091.62730296503,0.21636169777750647,0.19586396834276698,0.20717997560326928,1.186,,
대구,2018,1446836.0,232,230,2,0,0.987,6,0,0,6,0,,,99.158,2020=100,648823,1459121.8056031787,14.193345995040994,2248874.9714531987,14.62594108111179,-0.1564834807143721,-0.7315878185342737,46.21418697660037,474775.91055537993,0.48232629703029883,0.39361234551500246,0.40495926751601097,1.067,1.186,0.119
대구,2019,1765898.0,235,235,0,0,0.932,5,4,1,0,0,0.0,,99.467,2020=100,629627,1775360.6723838057,14.389514719225057,2819702.2560719373,14.85214220903412,0.05969251796880215,-0.28062985125567136,53.09903180569613,316238.86678062705,0.21673232869677994,0.19616872418406217,0.22620112792233016,0.987,1.067,0.07999999999999996
대구,2020,1929459.0,238,238,0,0,0.807,6,5,1,0,0,0.0,,100.0,2020=100,615844,1929459.0,14.47275072898566,3133032.0665623113,14.957512124159614,0.15141777953250535,-0.0705628052875047,56.306157791129365,154098.32761619426,0.08679832217376093,0.08323600976060419,0.10536991512549321,0.932,0.987,0.05499999999999994
대구,2021,2164115.0,267,267,0,0,0.785,8,8,0,0,0,0.0,,102.59,2020=100,593786,2109479.4814309385,14.561952257804476,3552592.1484018457,15.08318835913092,0.249716984243549,0.17998722502599873,60.13134374148204,180020.48143093847,0.0933010141345001,0.08920152881881549,0.12567623497130676,0.807,0.932,0.125
대구,2022,2523629.0,278,278,0,0,0.757,8,8,0,0,0,0.0,,108.06,2020=100,573820,2335396.076253933,14.663692488697787,4069910.5577601567,15.219131826902611,0.3618337149359595,0.4510061649146446,64.26903169084825,225916.59482299443,0.10709589584144563,0.10174023089331108,0.13594346777169086,0.785,0.807,0.02200000000000002
대구,2023,2696432.0,266,266,0,0,0.702,8,8,0,0,0,0.0,,111.62,2020=100,562435,2415724.7805052856,14.697510330148578,4295118.156774179,15.272989856152837,0.39910064257359107,0.5583783412401875,65.90829926477487,80328.7042513527,0.03439618018893098,0.03381784145079081,0.053858029250225314,0.757,0.785,0.028000000000000025
대구,2024,2848338.0,253,253,0,0,0.754,8,8,0,0,0,0.0,,114.24,2020=100,550732,2493293.067226891,14.729115312720129,4527234.784299606,15.325622109068753,0.4339290215579941,0.6633067914484678,67.51025809521994,77568.28672160534,0.03210973673308137,0.03160498257155098,0.052632252915916666,0.702,0.757,0.05500000000000005
대전,2016,709547.0,230,230,0,0,1.192,6,0,6,0,2,24192.52,,95.718,2020=100,435675,741288.9947554274,13.516147183663707,1701472.415804045,14.347005148824577,-0.9027498897224886,-1.287678684130643,37.724261976243874,,,,,,,
대전,2017,935218.2,236,232,4,0,1.075,6,0,0,6,0,,,97.492,2020=100,429257,959276.863742666,13.773936055112575,2234737.846424557,14.619634931965301,-0.6186690966875142,-0.7441598522220676,46.02224779954364,217987.86898723862,0.2940659722854231,0.2577888714488683,0.27262978314072406,1.192,,
대전,2018,997696.4,260,257,3,0,0.952,6,0,0,6,0,,,99.158,2020=100,422995,1006168.3374009157,13.821660942912645,2378676.6685207053,14.682055289782083,-0.5660767411775584,-0.6197176890179814,47.92212549552376,46891.47365824971,0.04888210633507861,0.04772488780007045,0.0624203578167819,1.075,1.192,0.11699999999999999
대전,2019,685088.0,192,192,0,0,0.883,6,2,4,0,0,0.23,,99.467,2020=100,413109,688759.0859279962,13.442648283157643,1667257.5178173224,14.32669122938378,-0.9837449529523711,-1.3281768191427221,37.10597070375887,-317409.2514729195,-0.3154633669877104,-0.3790126597550021,-0.35536406039830304,0.952,1.075,0.123
대전,2020,1247751.0,299,299,0,0,0.805,6,2,4,0,0,0.04,,100.0,2020=100,406576,1247751.0,14.036854090215764,3068924.3831411595,14.936838020220987,-0.3289360159089453,-0.11177900952619749,55.67690364502752,558991.9140720038,0.8115927985455884,0.5942058070581204,0.6101467908372076,0.883,0.952,0.06899999999999995
대전,2021,1337995.0,294,294,0,0,0.81,8,4,4,0,0,0.02,,102.59,2020=100,399066,1304215.8105078468,14.081113273374998,3268170.7048654775,14.999741274850292,-0.2801628327211319,0.0136258640188175,57.59147918824306,56464.81050784676,0.0452532680862181,0.04425918315923383,0.06290325462930468,0.805,0.883,0.07799999999999996
대전,2022,1500606.3,322,322,0,0,0.842,8,7,1,0,0,0.0,,108.06,2020=100,391878,1388678.7895613548,14.143864062086468,3543650.8034678004,15.080668336294467,-0.21101208264982596,0.17496326963611744,60.054642239795825,84462.97905350802,0.06476150524553081,0.06275078871147066,0.08092706144417505,0.81,0.805,-0.0050000000000000044
대전,2023,1222344.0,235,235,0,0,0.787,8,7,1,0,0,0.0,,111.62,2020=100,387193,1095094.0691632323,13.906351738617637,2828289.9462625417,14.855183181280498,-0.4727483198558136,-0.27456732329494365,53.191589354980714,-293584.72039812244,-0.21141297944851434,-0.237512323468831,-0.2254851550139687,0.842,0.81,-0.03199999999999992
대전,2024,1676350.0,162,162,0,0,0.792,8,8,0,0,0,0.0,,114.24,2020=100,384407,1467393.2072829132,14.19899873764821,3817290.5469539138,15.155051709987815,-0.15025421413022838,0.32325508103501743,62.31863619264289,372299.1381196808,0.3399700067813871,0.29264699903057334,0.2998685287073162,0.787,0.842,0.05499999999999994
부산,2016,1757736.53,552,551,1,0,1.095,6,2,4,0,0,1.59,,95.718,2020=100,938715,1836369.8886311874,14.42330183881987,1956259.2359035357,14.486545165667664,0.09692559042424426,-1.0094896099754185,41.971417471171115,,,,,,,
부산,2017,3477747.6,513,507,6,0,0.976,6,0,0,6,0,,,97.492,2020=100,919415,3567213.3098100354,15.08729554378378,3879872.8646041616,15.171313201948385,0.8286401024441779,0.3556742357351392,62.81358442683807,1730843.421178848,0.9425352876315143,0.6639937049639091,0.6847680362807207,1.095,,
