시도,2016,2017,2018,2019,2020,2021,2022,2023,2024
서울,61.8,66.5,66.5,68.5,56.6,61.0,61.0,73.6,72.0
부산,61.2,65.6,67.5,67.8,56.5,66.4,48.9,64.6,67.7
대구,61.8,67.1,63.7,66.1,59.6,63.8,62.9,70.1,72.5
인천,60.9,63.7,65.0,62.0,53.5,65.4,64.4,71.9,70.9
광주,65.2,63.7,62.8,66.1,58.0,64.5,63.0,67.6,68.5
대전,62.9,69.7,66.4,69.5,58.2,57.7,56.5,74.8,70.0
울산,70.7,70.9,68.7,70.5,60.0,70.2,68.9,73.6,69.7
세종,,72.6,72.3,71.3,55.4,69.7,64.6,75.8,71.1
경기,65.1,68.6,69.5,67.9,57.1,63.3,60.2,71.8,70.2
강원,59.8,67.5,66.7,67.1,52.5,56.6,55.3,68.3,70.5
충북,68.8,69.7,73.9,72.2,59.8,63.6,61.8,77.3,75.5
충남,67.9,70.0,74.4,71.8,60.4,67.3,66.2,73.4,77.2
전북,66.2,64.9,62.5,63.4,59.0,67.3,57.8,72.1,72.5
전남,63.9,65.8,65.0,65.6,56.9,62.7,60.9,67.2,67.9
경북,68.3,72.2,71.1,69.3,63.3,67.8,66.2,71.0,68.6
경남,68.1,72.6,71.3,69.7,61.9,66.4,66.8,70.3,71.1
제주,57.6,60.7,60.5,61.0,54.8,59.1,56.2,66.9,64.5
