지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,지역연도_전체계획예산_백만원,계획예산비중_pct,예산누락주의
강원,2016,1-1. 고용여건,2743.0,2,0,966330.0,0.28385748139869404,False
강원,2017,1-1. 고용여건,7783.0,7,0,1189656.0,0.6542227332943304,False
강원,2018,1-1. 고용여건,0.0,0,0,1070709.0,0.0,False
강원,2019,1-1. 고용여건,61357.0,23,0,1610182.0,3.8105630295208868,False
강원,2020,1-1. 고용여건,20929.0,43,0,1479594.0,1.4145096560272616,False
강원,2021,1-1. 고용여건,46059.0,38,0,1968341.0,2.3399908857255936,False
강원,2022,1-1. 고용여건,50241.100000000006,43,0,1320745.8,3.8039946823983843,False
강원,2023,1-1. 고용여건,31036.0,42,0,2579093.0,1.2033687811955598,False
강원,2024,1-1. 고용여건,20222.0,30,0,2540007.0,0.7961395381981231,False
강원,2016,1-2. 주거안정성,0.0,0,0,966330.0,0.0,False
강원,2017,1-2. 주거안정성,15785.0,4,0,1189656.0,1.3268541494347947,False
강원,2018,1-2. 주거안정성,46690.0,1,0,1070709.0,4.360661953901573,False
강원,2019,1-2. 주거안정성,89476.0,3,0,1610182.0,5.55688735807505,False
강원,2020,1-2. 주거안정성,77441.0,4,0,1479594.0,5.233935795900767,False
강원,2021,1-2. 주거안정성,83873.0,3,0,1968341.0,4.261101099860238,False
강원,2022,1-2. 주거안정성,75602.0,3,0,1320745.8,5.724190075031849,False
강원,2023,1-2. 주거안정성,87261.0,4,0,2579093.0,3.3833987374631316,False
강원,2024,1-2. 주거안정성,24651.0,4,0,2540007.0,0.9705091363921438,False
강원,2016,1-3. 경제적 여건,5129.0,23,1,966330.0,0.5307710616456076,True
강원,2017,1-3. 경제적 여건,6634.0,26,0,1189656.0,0.5576401917865332,False
강원,2018,1-3. 경제적 여건,44018.0,7,0,1070709.0,4.11110768658898,False
강원,2019,1-3. 경제적 여건,100762.0,40,0,1610182.0,6.2578019130756655,False
강원,2020,1-3. 경제적 여건,67066.0,46,0,1479594.0,4.532729924560385,False
강원,2021,1-3. 경제적 여건,198710.0,44,0,1968341.0,10.09530360847028,False
강원,2022,1-3. 경제적 여건,232578.6,51,0,1320745.8,17.609641461665067,False
강원,2023,1-3. 경제적 여건,450919.0,51,0,2579093.0,17.483626996002084,False
강원,2024,1-3. 경제적 여건,477130.0,51,0,2540007.0,18.784593900725472,False
강원,2016,2-1. 돌봄 여건,408734.0,51,0,966330.0,42.29755880496311,False
강원,2017,2-1. 돌봄 여건,499768.0,67,0,1189656.0,42.00945483400243,False
강원,2018,2-1. 돌봄 여건,366170.0,31,0,1070709.0,34.198834603986704,False
강원,2019,2-1. 돌봄 여건,479244.0,115,0,1610182.0,29.76334352265769,False
강원,2020,2-1. 돌봄 여건,257993.0,110,0,1479594.0,17.436742782141586,False
강원,2021,2-1. 돌봄 여건,443846.0,118,0,1968341.0,22.549243245961957,False
강원,2022,2-1. 돌봄 여건,436128.4,135,0,1320745.8,33.02137322715696,False
강원,2023,2-1. 돌봄 여건,531831.0,146,0,2579093.0,20.62085392035107,False
강원,2024,2-1. 돌봄 여건,458138.0,136,0,2540007.0,18.03687942592284,False
강원,2016,2-2. 여가 인프라,3382.0,13,0,966330.0,0.3499839599308725,False
강원,2017,2-2. 여가 인프라,5189.0,13,0,1189656.0,0.43617650816706677,False
강원,2018,2-2. 여가 인프라,0.0,0,0,1070709.0,0.0,False
강원,2019,2-2. 여가 인프라,2155.0,26,0,1610182.0,0.1338358024123981,False
강원,2020,2-2. 여가 인프라,986.0,30,0,1479594.0,0.06663990256786659,False
강원,2021,2-2. 여가 인프라,1142.0,18,0,1968341.0,0.05801840229919511,False
강원,2022,2-2. 여가 인프라,1352.0,23,0,1320745.8,0.10236640540518847,False
강원,2023,2-2. 여가 인프라,19811.0,30,0,2579093.0,0.7681382563560135,False
강원,2024,2-2. 여가 인프라,19210.0,30,0,2540007.0,0.7562971283150007,False
강원,2016,2-3. 가사수행 격차,0.0,0,0,966330.0,0.0,False
강원,2017,2-3. 가사수행 격차,0.0,0,0,1189656.0,0.0,False
강원,2018,2-3. 가사수행 격차,0.0,0,0,1070709.0,0.0,False
강원,2019,2-3. 가사수행 격차,0.0,0,0,1610182.0,0.0,False
강원,2020,2-3. 가사수행 격차,0.0,0,0,1479594.0,0.0,False
강원,2021,2-3. 가사수행 격차,0.0,0,0,1968341.0,0.0,False
강원,2022,2-3. 가사수행 격차,0.0,0,0,1320745.8,0.0,False
강원,2023,2-3. 가사수행 격차,0.0,0,0,2579093.0,0.0,False
강원,2024,2-3. 가사수행 격차,3.0,1,0,2540007.0,0.00011810991072071849,False
