군집_3개,연도,실질_1인당_3개년평균예산,합계출산율_t1,합계출산율_t2,지역수
1,2018,394296.81916321104,0.9269999999999999,0.8331428571428571,7
1,2019,453981.97300760966,0.8331428571428571,0.8018571428571428,7
1,2020,438620.9397801718,0.8018571428571428,0.7635714285714286,7
1,2021,482958.1603318059,0.7635714285714286,0.713,7
1,2022,533094.7352361399,0.713,0.7497142857142858,7
1,2023,557483.6572656609,0.7497142857142858,,7
1,2024,581822.6683975003,,,7
2,2018,337307.7777383807,1.1775,1.041,2
2,2019,320585.47387433896,1.041,1.0434999999999999,2
2,2020,366155.5806992423,1.0434999999999999,0.9815,2
2,2021,382913.7894057635,0.9815,0.879,2
2,2022,455256.13489877246,0.879,0.91,2
2,2023,448929.16866390326,0.91,,2
2,2024,496460.014757718,,,2
3,2018,516328.1816560818,1.0745,0.992125,8
3,2019,529437.3210052513,0.992125,0.946375,8
3,2020,541170.0382321953,0.946375,0.903375,8
3,2021,439665.32279379177,0.903375,0.84575,8
3,2022,456994.88151276583,0.84575,0.864,8
3,2023,493207.4412587904,0.864,,8
3,2024,531994.0139545305,,,8
