군집_2개,연도,실질_1인당_3개년평균예산,합계출산율
1,2018,394296.81916321104,0.9868571428571429
1,2019,453981.97300760966,0.9269999999999999
1,2020,438620.9397801718,0.8331428571428571
1,2021,482958.1603318059,0.8018571428571428
1,2022,533094.7352361399,0.7635714285714286
1,2023,557483.6572656609,0.713
1,2024,581822.6683975003,0.7497142857142858
2,2018,480524.1008725416,1.1586
2,2019,487666.9515790688,1.0951
2,2020,506167.1467256048,1.0019
2,2021,428315.01611618605,0.9658
2,2022,456647.1321899671,0.9189999999999999
2,2023,484351.786739813,0.8523999999999999
2,2024,524887.214115168,0.8732
