군집수,군집,연도,전체_실질1인당_3개년평균예산,합계출산율_t1,합계출산율_t2,지역수
2,1,2018,394296.819163211,0.9269999999999999,0.8331428571428571,7
2,1,2019,453981.97300760966,0.8331428571428571,0.8018571428571428,7
2,1,2020,438620.93978017167,0.8018571428571428,0.7635714285714286,7
2,1,2021,482958.1603318059,0.7635714285714286,0.713,7
2,1,2022,533094.73523614,0.713,0.7497142857142858,7
2,1,2023,557483.6572656609,0.7497142857142858,,7
2,1,2024,581822.6683975003,,,7
2,2,2018,480524.10087254166,1.0951,1.0019,10
2,2,2019,487666.9515790688,1.0019,0.9658,10
2,2,2020,506167.14672560466,0.9658,0.9189999999999999,10
2,2,2021,428315.01611618605,0.9189999999999999,0.8523999999999999,10
2,2,2022,456647.1321899671,0.8523999999999999,0.8732,10
2,2,2023,484351.786739813,0.8732,,10
2,2,2024,524887.214115168,,,10
3,1,2018,394296.819163211,0.9269999999999999,0.8331428571428571,7
3,1,2019,453981.97300760966,0.8331428571428571,0.8018571428571428,7
3,1,2020,438620.93978017167,0.8018571428571428,0.7635714285714286,7
3,1,2021,482958.1603318059,0.7635714285714286,0.713,7
3,1,2022,533094.73523614,0.713,0.7497142857142858,7
3,1,2023,557483.6572656609,0.7497142857142858,,7
3,1,2024,581822.6683975003,,,7
3,2,2018,337307.7777383807,1.1775,1.041,2
3,2,2019,320585.4738743389,1.041,1.0434999999999999,2
3,2,2020,366155.5806992423,1.0434999999999999,0.9815,2
3,2,2021,382913.78940576344,0.9815,0.879,2
3,2,2022,455256.13489877246,0.879,0.91,2
3,2,2023,448929.16866390326,0.91,,2
3,2,2024,496460.01475771796,,,2
3,3,2018,516328.18165608187,1.0745,0.992125,8
3,3,2019,529437.3210052513,0.992125,0.946375,8
3,3,2020,541170.0382321953,0.946375,0.903375,8
3,3,2021,439665.3227937917,0.903375,0.84575,8
3,3,2022,456994.8815127658,0.84575,0.864,8
3,3,2023,493207.4412587904,0.864,,8
3,3,2024,531994.0139545305,,,8
