모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차
인구당지수_전체표본,재정대응지수_z,직전1년_출산율하락도,False,0.18206738165025949,0.7760622588775563,0.23460409209125743,0.8174919091658381,-1.463111113469889,1.8272458767704083,119,17,7,95.0,16.0,True,True,True
총액지수_전체표본,총액기준_재정대응지수_z,직전1년_출산율하락도,False,0.19878453202550928,0.4510518612338653,0.4407132507595213,0.6653171282354615,-0.7574026988277718,1.1549717628787903,119,17,7,95.0,16.0,True,True,True
1인당예산전년변화_전체표본,log1인당실질예산_전년변화,직전1년_출산율하락도,False,-0.11544473163639779,0.6433408584266653,-0.17944567040048706,0.8598405846040714,-1.4792664266206366,1.248376963347841,119,17,7,95.0,16.0,True,True,True
총세출비율_pct_전체표본,계획예산_총세출비율_pct,직전1년_출산율하락도,False,8.835140619676896,9.074817449735177,0.9735887987404886,0.3447510501718166,-10.402612981482218,28.07289422083601,119,17,7,95.0,16.0,True,True,True
총세출비율_log1p_전체표본,log1p_계획예산_총세출비율,직전1년_출산율하락도,False,0.292981503061727,0.39585807007382745,0.7401175451774572,0.469950476979561,-0.5462001174272786,1.1321631235507326,119,17,7,95.0,16.0,True,True,True
인구당지수_누락주의제외,재정대응지수_z,직전1년_출산율하락도,True,0.28995954683682346,0.7170961163901446,0.4043524155401611,0.6913073229659237,-1.2302163103496255,1.8101354040232724,117,17,7,93.0,16.0,True,True,True
총액지수_누락주의제외,총액기준_재정대응지수_z,직전1년_출산율하락도,True,0.25271162558421856,0.4163130106335375,0.6070231271409141,0.5523530698016014,-0.629832531792572,1.1352557829610093,117,17,7,93.0,16.0,True,True,True
1인당예산전년변화_누락주의제외,log1인당실질예산_전년변화,직전1년_출산율하락도,True,-0.07376561663593545,0.6446495738259854,-0.11442746513914162,0.9103225850070248,-1.4403616643303654,1.2928304310584944,117,17,7,93.0,16.0,True,True,True
총세출비율_pct_누락주의제외,계획예산_총세출비율_pct,직전1년_출산율하락도,True,10.095374713501638,8.22810406778086,1.2269381415619827,0.23759447894528887,-7.347426702330967,27.538176129334243,117,17,7,93.0,16.0,True,True,True
총세출비율_log1p_누락주의제외,log1p_계획예산_총세출비율,직전1년_출산율하락도,True,0.33729875055042147,0.3730360643251692,0.9041987700588752,0.37930330017257696,-0.4535023790131456,1.1280998801139885,117,17,7,93.0,16.0,True,True,True
