세부영역,공통단어수,상위어_중첩률,공통단어_순위상관,텍스트구분
1-1. 고용여건,19,0.95,0.975438596491228,세부사업명
1-2. 주거안정성,18,0.9,0.933952528379773,세부사업명
1-3. 경제적 여건,18,0.9,0.9071207430340558,세부사업명
2-1. 돌봄 여건,18,0.9,0.8885448916408669,세부사업명
2-2. 여가 인프라,19,0.95,0.8807017543859648,세부사업명
2-3. 가사수행 격차,16,0.8,0.888235294117647,세부사업명
3-1. 의료서비스 여건,17,0.85,0.8480392156862745,세부사업명
3-2. 산후조리 여건,19,0.95,0.9859649122807018,세부사업명
3-3. 아동안전 수준,16,0.8,0.8911764705882352,세부사업명
4-1. 일·가정 양립 여건,17,0.85,0.7205882352941178,세부사업명
4-2. 사회적 가치관,16,0.8,0.9647058823529412,세부사업명
지표체계 외,16,0.8,0.7794117647058825,세부사업명
1-1. 고용여건,19,0.95,0.9947368421052631,주요내용
1-2. 주거안정성,20,1.0,0.9954887218045112,주요내용
1-3. 경제적 여건,20,1.0,0.9774436090225563,주요내용
2-1. 돌봄 여건,20,1.0,0.9864661654135337,주요내용
2-2. 여가 인프라,19,0.95,0.9929824561403509,주요내용
2-3. 가사수행 격차,19,0.95,0.975438596491228,주요내용
3-1. 의료서비스 여건,20,1.0,0.9804511278195487,주요내용
3-2. 산후조리 여건,20,1.0,0.9864661654135337,주요내용
3-3. 아동안전 수준,18,0.9,0.9979360165118679,주요내용
4-1. 일·가정 양립 여건,18,0.9,0.9917440660474718,주요내용
4-2. 사회적 가치관,19,0.95,0.975438596491228,주요내용
지표체계 외,19,0.95,0.9894736842105263,주요내용
