세부영역,순위,단어,평균_TFIDF,등장문서수,분석문서수,중복제거
1-1. 고용여건,1,청년,0.14177448863982983,829,2030,True
1-1. 고용여건,2,일자리,0.0782141027599145,354,2030,True
1-1. 고용여건,3,창업,0.07553998734807997,302,2030,True
1-1. 고용여건,4,취업,0.06610133628238322,288,2030,True
1-1. 고용여건,5,여성,0.04279006014863805,221,2030,True
1-1. 고용여건,6,인턴,0.028671022215731035,95,2030,True
1-1. 고용여건,7,대학,0.026298645772022643,114,2030,True
1-1. 고용여건,8,기업,0.02489718803012083,106,2030,True
1-1. 고용여건,9,육성,0.021751804022004773,101,2030,True
1-1. 고용여건,10,경력,0.021212288515713048,95,2030,True
1-1. 고용여건,11,채용,0.019928906657692067,81,2030,True
1-1. 고용여건,12,단절,0.01967359026687416,83,2030,True
1-1. 고용여건,13,정착,0.018718958039298073,77,2030,True
1-1. 고용여건,14,맞춤,0.018524027104437485,91,2030,True
1-1. 고용여건,15,박람회,0.016820376351473886,59,2030,True
1-1. 고용여건,16,양성,0.01590824721925745,76,2030,True
1-1. 고용여건,17,교육,0.01561488207915379,96,2030,True
1-1. 고용여건,18,고용,0.015002929170778934,61,2030,True
1-1. 고용여건,19,인력,0.013429573011422473,61,2030,True
1-1. 고용여건,20,면접,0.013288864740379665,52,2030,True
1-2. 주거안정성,1,주택,0.16820284035742625,214,520,True
1-2. 주거안정성,2,이자,0.13957725806988808,181,520,True
1-2. 주거안정성,3,신혼부부,0.1254054882749195,159,520,True
1-2. 주거안정성,4,청년,0.1231538001369155,204,520,True
1-2. 주거안정성,5,대출,0.10852480920651442,143,520,True
1-2. 주거안정성,6,자금,0.0946335147340896,120,520,True
1-2. 주거안정성,7,주거,0.09248849227443623,101,520,True
1-2. 주거안정성,8,전세,0.08413873833388666,103,520,True
1-2. 주거안정성,9,보증금,0.058235827835931314,65,520,True
1-2. 주거안정성,10,임대,0.05120401632097517,55,520,True
1-2. 주거안정성,11,월세,0.0488530849737554,39,520,True
1-2. 주거안정성,12,임차,0.036961049428028636,36,520,True
1-2. 주거안정성,13,주거비,0.033805451498421575,25,520,True
1-2. 주거안정성,14,공급,0.03258603032766195,34,520,True
1-2. 주거안정성,15,행복,0.03005864155722318,39,520,True
1-2. 주거안정성,16,보금자리,0.027215602872175147,23,520,True
1-2. 주거안정성,17,부모,0.02493822659206354,26,520,True
1-2. 주거안정성,18,복지,0.02451953566081038,27,520,True
1-2. 주거안정성,19,매입,0.022922677069278304,24,520,True
1-2. 주거안정성,20,다자녀,0.020761265469774564,33,520,True
1-3. 경제적 여건,1,출산,0.13262519489224006,693,1895,True
1-3. 경제적 여건,2,장려금,0.06727303952836752,236,1895,True
1-3. 경제적 여건,3,축하금,0.06103341907507004,212,1895,True
1-3. 경제적 여건,4,지원금,0.05773200850959205,207,1895,True
1-3. 경제적 여건,5,다자녀,0.05709622462344625,290,1895,True
1-3. 경제적 여건,6,가정,0.05141381309190357,273,1895,True
1-3. 경제적 여건,7,자녀,0.044579371282791366,197,1895,True
1-3. 경제적 여건,8,지급,0.04278638312229728,184,1895,True
1-3. 경제적 여건,9,양육비,0.04009837067824133,129,1895,True
1-3. 경제적 여건,10,감면,0.0327928141444026,154,1895,True
1-3. 경제적 여건,11,요금,0.031452869703995516,136,1895,True
1-3. 경제적 여건,12,부모,0.03126848972157803,121,1895,True
1-3. 경제적 여건,13,장애인,0.02671478836950099,91,1895,True
1-3. 경제적 여건,14,양육,0.026272685742517808,95,1895,True
1-3. 경제적 여건,15,가족,0.023821305565117926,120,1895,True
1-3. 경제적 여건,16,카드,0.023396932128306375,91,1895,True
1-3. 경제적 여건,17,청년,0.022601426855612266,133,1895,True
1-3. 경제적 여건,18,축하,0.022133695300602985,99,1895,True
1-3. 경제적 여건,19,포인트,0.02120301804843674,72,1895,True
1-3. 경제적 여건,20,수당,0.020122659826143464,76,1895,True
2-1. 돌봄 여건,1,어린이집,0.061515087445545284,1024,6293,True
2-1. 돌봄 여건,2,보육,0.03870936670209197,587,6293,True
2-1. 돌봄 여건,3,돌봄,0.03521257633094261,489,6293,True
2-1. 돌봄 여건,4,아동,0.029261169974362775,452,6293,True
2-1. 돌봄 여건,5,교육,0.027644091296274768,489,6293,True
2-1. 돌봄 여건,6,육아,0.023825635968982357,339,6293,True
2-1. 돌봄 여건,7,가족,0.02058199306384931,320,6293,True
2-1. 돌봄 여건,8,출산,0.020572264225873733,386,6293,True
2-1. 돌봄 여건,9,용품,0.020507656947365886,264,6293,True
2-1. 돌봄 여건,10,방과,0.01995231793319176,230,6293,True
2-1. 돌봄 여건,11,다문화,0.01955261894019415,279,6293,True
2-1. 돌봄 여건,12,학교,0.019233777104770828,268,6293,True
2-1. 돌봄 여건,13,아이,0.018500748718287864,242,6293,True
2-1. 돌봄 여건,14,자녀,0.01684965085593988,264,6293,True
2-1. 돌봄 여건,15,교실,0.01648920479537099,232,6293,True
2-1. 돌봄 여건,16,교사,0.016388862445279855,216,6293,True
2-1. 돌봄 여건,17,환경,0.01555809083760228,205,6293,True
2-1. 돌봄 여건,18,유치원,0.014915060082999582,196,6293,True
2-1. 돌봄 여건,19,가정,0.01450208810249311,241,6293,True
2-1. 돌봄 여건,20,급식,0.013550146929240364,162,6293,True
2-2. 여가 인프라,1,청소년,0.06202165862801013,291,2008,True
2-2. 여가 인프라,2,문화,0.04849108869226046,225,2008,True
2-2. 여가 인프라,3,가족,0.04586723591060406,236,2008,True
2-2. 여가 인프라,4,평생,0.0414911586000983,167,2008,True
2-2. 여가 인프라,5,학습,0.03430894817404227,148,2008,True
2-2. 여가 인프라,6,어린이,0.03121460056376661,138,2008,True
2-2. 여가 인프라,7,행사,0.03053525534185065,132,2008,True
2-2. 여가 인프라,8,체험,0.027314589387532524,118,2008,True
2-2. 여가 인프라,9,다문화,0.027185612399528998,124,2008,True
2-2. 여가 인프라,10,교육,0.02283406971169021,124,2008,True
2-2. 여가 인프라,11,도서관,0.022675842602846854,81,2008,True
2-2. 여가 인프라,12,축제,0.021849281637576854,79,2008,True
2-2. 여가 인프라,13,활동,0.019591052851692933,83,2008,True
2-2. 여가 인프라,14,동아리,0.018309889393033886,61,2008,True
2-2. 여가 인프라,15,어린이날,0.01786504552874826,58,2008,True
2-2. 여가 인프라,16,마당,0.017362659306546457,63,2008,True
2-2. 여가 인프라,17,놀이터,0.017076033028473596,61,2008,True
2-2. 여가 인프라,18,대회,0.01706950099593876,79,2008,True
2-2. 여가 인프라,19,아동,0.01627133376079961,93,2008,True
2-2. 여가 인프라,20,활성,0.016017827824328933,81,2008,True
2-3. 가사수행 격차,1,아빠,0.308386755632527,67,131,True
2-3. 가사수행 격차,2,육아,0.13150301317332044,41,131,True
2-3. 가사수행 격차,3,아버지,0.08088194841334002,15,131,True
2-3. 가사수행 격차,4,캠프,0.06017053441931928,12,131,True
2-3. 가사수행 격차,5,교실,0.05089851018982016,16,131,True
2-3. 가사수행 격차,6,남성,0.03621886988306074,8,131,True
2-3. 가사수행 격차,7,참여,0.03557659385895737,9,131,True
2-3. 가사수행 격차,8,문화,0.02659128828014231,8,131,True
2-3. 가사수행 격차,9,출산,0.02558537971036708,11,131,True
2-3. 가사수행 격차,10,부부,0.024635241941106483,7,131,True
2-3. 가사수행 격차,11,가족,0.024496039784592832,9,131,True
2-3. 가사수행 격차,12,행복,0.024480986116319277,8,131,True
2-3. 가사수행 격차,13,천사,0.023467143423166817,5,131,True
2-3. 가사수행 격차,14,아빠애플,0.022900763358778626,3,131,True
2-3. 가사수행 격차,15,가정,0.022877447373255307,8,131,True
2-3. 가사수행 격차,16,학교,0.022180519072095194,7,131,True
2-3. 가사수행 격차,17,돌봄,0.021469430787328096,4,131,True
2-3. 가사수행 격차,18,인식,0.02130903439945427,6,131,True
2-3. 가사수행 격차,19,역할,0.020579237272466817,4,131,True
