세부영역,순위,단어,평균_TFIDF,등장문서수,분석문서수,중복제거
1-1. 고용여건,1,청년,0.10710506534595167,1085,2908,True
1-1. 고용여건,2,취업,0.0979351134351839,823,2908,True
1-1. 고용여건,3,창업,0.07611004705500632,566,2908,True
1-1. 고용여건,4,일자리,0.048457565114783455,437,2908,True
1-1. 고용여건,5,기업,0.04715743951337352,424,2908,True
1-1. 고용여건,6,교육,0.036955502283762695,561,2908,True
1-1. 고용여건,7,여성,0.036507266117451274,349,2908,True
1-1. 고용여건,8,채용,0.03135769622032737,248,2908,True
1-1. 고용여건,9,구직자,0.026231292658748316,195,2908,True
1-1. 고용여건,10,직업,0.02552626508754176,203,2908,True
1-1. 고용여건,11,경력,0.022797949908092273,192,2908,True
1-1. 고용여건,12,대학,0.021705896887234982,208,2908,True
1-1. 고용여건,13,구직,0.020418702953515215,140,2908,True
1-1. 고용여건,14,역량,0.020023032481919868,176,2908,True
1-1. 고용여건,15,면접,0.019695761532236854,146,2908,True
1-1. 고용여건,16,단절,0.01900473283509869,145,2908,True
1-1. 고용여건,17,훈련,0.018476066653343195,147,2908,True
1-1. 고용여건,18,고용,0.01776763883944565,143,2908,True
1-1. 고용여건,19,맞춤,0.017651286471989578,172,2908,True
1-1. 고용여건,20,창업자,0.01572831920201218,114,2908,True
1-2. 주거안정성,1,주택,0.1932120069776721,472,836,True
1-2. 주거안정성,2,대출,0.12165064380523206,287,836,True
1-2. 주거안정성,3,신혼부부,0.10655426886662078,270,836,True
1-2. 주거안정성,4,이자,0.10343433189154086,248,836,True
1-2. 주거안정성,5,전세,0.0936698819989107,219,836,True
1-2. 주거안정성,6,청년,0.08887962799450612,271,836,True
1-2. 주거안정성,7,최대,0.0860740778298322,222,836,True
1-2. 주거안정성,8,자금,0.07654577529700979,185,836,True
1-2. 주거안정성,9,보증금,0.0551035402253925,123,836,True
1-2. 주거안정성,10,임대,0.05328671297689186,110,836,True
1-2. 주거안정성,11,주거,0.04780906505896082,101,836,True
1-2. 주거안정성,12,잔액,0.04641844770171604,108,836,True
1-2. 주거안정성,13,월세,0.04519507251903016,75,836,True
1-2. 주거안정성,14,가구,0.043091743022206655,127,836,True
1-2. 주거안정성,15,소득,0.04094922332231743,162,836,True
1-2. 주거안정성,16,공급,0.04031930309434597,91,836,True
1-2. 주거안정성,17,임차,0.030909296631660668,75,836,True
1-2. 주거안정성,18,거주,0.029067179279253598,107,836,True
1-2. 주거안정성,19,주거비,0.02740013709208693,47,836,True
1-2. 주거안정성,20,이내,0.025022694533747395,76,836,True
1-3. 경제적 여건,1,출산,0.11095501090249357,1362,3862,True
1-3. 경제적 여건,2,지급,0.0876939184337064,1022,3862,True
1-3. 경제적 여건,3,가정,0.06135583378869104,933,3862,True
1-3. 경제적 여건,4,자녀,0.061173147204007274,723,3862,True
1-3. 경제적 여건,5,장려금,0.05358245897864188,458,3862,True
1-3. 경제적 여건,6,셋째아,0.04498134599682646,388,3862,True
1-3. 경제적 여건,7,축하금,0.0449478913861637,382,3862,True
1-3. 경제적 여건,8,출생,0.041519790586195905,450,3862,True
1-3. 경제적 여건,9,둘째아,0.038148026974323825,327,3862,True
1-3. 경제적 여건,10,지원금,0.03435211551329084,313,3862,True
