지역,원본행,세부사업명,주요내용,주요내용_정제
강원,3625.0,셋째아이상 대학생 입학금,대상 : 셋째아 이상 다자녀 가정 지원내용 : 대학입학금 1인 1회 1백만원,"어린이날 체험행사, 위문품전달 • 유소년축구단운영"
강원,3626.0,저소득층 아동 입학준비금 지원,"대상 : 저소득층 아동 내용 : 신규입학금 70천원, 재입학금 30천원","아동복지시설 등 퇴소아동을 대상으로 상담, 취업지원, 자립지원 프로그램 등 운영"
강원,3627.0,어린이집 품질향상 지원,대상 : 평가인증 유지어린이집 내용 : 동절기난방비 개소당 450천원,"주거안정금, 대학입학금, 능력개발비, 수학여행비(도비20％,시군비80％) • 대학생활 안정금(도비30％, 시군비70％)"
강원,3628.0,민간어린이집 보육교사 처우개선비,대상 : 민간어린이집 보육교사 내용 : 월100천원,"아동급식 지원대상 : 15,000명 • 급식내용 : 학기중 토일공휴일 중식, 방학중 중식 등 지원 • 지원방법 : 일반음식점, 도시락, 단체급식, 부식배달 등"
강원,3629.0,어린이집 보육품질 제고 컨설팅 및 교육지원,육아종합지원센터를 통한 평가인증율 제고 컨설팅 및 조력사업,지원대상 : 결식아동 도시락 배달 자원봉사자 지원내용 : 자원봉사자의 자체교통이용에 따른 유류비 지원(1인 월8만원)
강원,3630.0,보호아동 권익증진,"어린이날 체험행사, 위문품전달 • 유소년축구단운영",지원대상 : 11개시군 48개 센터 사업내용 : 교사(결혼이민자중영어가능자) 1인당 4개센터 지원
강원,3631.0,보호아동 자립지원 전담기관 운영,"아동복지시설 등 퇴소아동을 대상으로 상담, 취업지원, 자립지원 프로그램 등 운영","지원대상 : 도내 1년 이상 주민등록을 두고 실제거주하면서 보호대상아동을 입양한 가정 지원내용 : 입양아동 1인 1백만원(단, 장애아동 입양가정 2백만원)"
강원,3632.0,보호아동 생활안정 지원,"주거안정금, 대학입학금, 능력개발비, 수학여행비(도비20％,시군비80％) • 대학생활 안정금(도비30％, 시군비70％)","위스타트 마을운영 : 6개소 - 개소당 300백만원 • 기능보강사업 : 1개소, 600백만원"
강원,3636.0,아동급식 지원,"아동급식 지원대상 : 15,000명 • 급식내용 : 학기중 토일공휴일 중식, 방학중 중식 등 지원 • 지원방법 : 일반음식점, 도시락, 단체급식, 부식배달 등",민간단체대상 저출산극복 사업공모 • 공모액 : 150백만원
강원,3637.0,결식아동 도시락배달 유류비,지원대상 : 결식아동 도시락 배달 자원봉사자 지원내용 : 자원봉사자의 자체교통이용에 따른 유류비 지원(1인 월8만원),산전관리서비스지원 - 의료취약지역 임신부 대상 산전관리 3개군
강원,3638.0,지역아동센터 영어 원어민교사 지원,지원대상 : 11개시군 48개 센터 사업내용 : 교사(결혼이민자중영어가능자) 1인당 4개센터 지원,모유 수유아 선발(생후 4-6월생)
강원,3639.0,입양축하금 지원,"지원대상 : 도내1년 이상 주민등록을 두고 실제거주하면서 보호대상아동을 입양한 가정 지원내용 : 입양아동 1인 1백만원(단, 장애아동 입양가정 2백만원)","다문화가정 자녀용 교재 2천권 보급, 다문화언어강사배치 : 17명"
강원,3640.0,위스타트 마을사업지원,"위스타트 마을운영 : 6개소 - 개소당 300백만원 • 기능보강사업 : 1개소, 600백만원","오후 돌봄교실 340실, 방과후 연계 돌봄교실 183실"
강원,3641.0,저출산극복 기금공모사업,민간단체대상 저출산극복 사업공모 • 공모액 : 150백만원,방과후학교 운영비 지원
강원,3642.0,찾아가는 산부인과,산전관리서비스지원 - 의료취약지역 임신부 대상 산전관리 3개군,농어업인 고교생자녀 당해학교의 수업료 및 입학금 전액 지원
강원,3643.0,건강한 모유수유아 선발대회,모유 수유아 선발(생후 4-6월생),국제결혼에 필요한 비용지원
강원,3644.0,다문화가족 맞춤형서비스 확대,"다문화가정 자녀용 교재 2천권 보급, 다문화언어강사배치 : 17명","출생아 건강보험 지원 : 4,458 명"
강원,3645.0,초등학생 돌봄 대응체계 강화,"오후 돌봄교실 340실, 방과후 연계 돌봄교실 183실","아동양육시설 : 2개소(애민보육원, 꿈터)"
강원,3646.0,방과후학교 운영지원,방과후 학교 운영비 지원,청소년 공부방 운영 : 2개소
강원,3647.0,농어입인 고교생자녀 학자금 지원,농어업인 고교생자녀 당해학교의 수업료 및 입학금 전액 지원,공공 청소년 시설 운영 : 3개소
