지역,원본행,세부사업명,주요내용,주요내용_정제,보존위반,판정
강원,3715.0,다자녀가정 수도요금 감면,"미성년자 3인 이상 가정 대상 수도요금 감면 1가구 당 가정용 7,020원 내","미성년자 3인 이상 가정 대상 수도요금 감면 1가구 당 가정용 7,020원 내",숫자 불일치 | 금액·퍼센트·범위 불일치,원문 유지
강원,3738.0,출산양육비 지원,"지원내용 : 첫째50만원, 둘째100맨원, 셋째 이상 30만원씩 12개월","지원내용 : 첫째50만원, 둘째100맨원, 셋째 이상 30만원씩 12개월",금액·퍼센트·범위 불일치,원문 유지
경기,2391.0,국공립 어린이집 확충,"지원내용 신축(매입)：개소당 최대 1,798백만원 공동주택 리모델링：개소당 최대 110백 만원 장기임차：개소당 최대 210백만원 기자재비：개소당 최대 10백만원","지원내용 신축(매입)：개소당 최대 1,798백만원 공동주택 리모델링：개소당 최대 110백 만원 장기임차：개소당 최대 210백만원 기자재비：개소당 최대 10백만원",금액·퍼센트·범위 불일치,원문 유지
경기,3178.0,어린이 교통안전교실 운영,어린이 안전교육 전문업체 「(사)안전생활 실천시민연합」 위탁 운영 시에서 양성한 어린이 안전교육 전문가 과정 이수자로 구성된「안전도시를 사랑 하는 모임」 강사수당 지급,어린이 안전교육 전문업체 「(사)안전생활 실천시민연합」 위탁 운영 시에서 양성한 어린이 안전교육 전문가 과정 이수자로 구성된「안전도시를 사랑 하는 모임」 강사수당 지급,고유명사 불일치,원문 유지
경기,3256.0,1사 1경로당 자매결연사업 추진,"어르신들의 건전한 여가활동 지원과 지역 사회 경로효친 사상을 실천하고, 경로당 활성화를 도모하고자 “1사 1경로당 자매결 연사업” 추진","어르신들의 건전한 여가활동 지원과 지역 사회 경로효친 사상을 실천하고, 경로당 활성화를 도모하고자 “1사 1경로당 자매결 연사업” 추진",고유명사 불일치,원문 유지
경남,7037.0,영유아 발달장애 정밀검사비 지원,"지원대상 : 의료급여수급권자, 차상위계층, 건강보험료 부과금액 하위 50% 이하인 자 로서 영유아 검진결과 발달평가(한국영유 아발달선별검사：K-DST)에서‘심화평가 권 고’로 평가된 대상 ◦지원내용 : 발달장애 정밀검사 직접적으로 필요한 검사비 지원(20~40만원)","지원대상 : 의료급여수급권자, 차상위계층, 건강보험료 부과금액 하위 50% 이하인 자 로서 영유아 검진결과 발달평가(한국영유 아발달선별검사：K-DST)에서‘심화평가 권 고’로 평가된 대상 ◦지원내용 : 발달장애 정밀검사 직접적으로 필요한 검사비 지원(20~40만원)",고유명사 불일치,원문 유지
경남,7200.0,신혼부부 주택 전세자금 대출이자 지원,"주택 전세자금대출 150백만원 이하, 대출 잔액의 1.5% 연 1회 이자지원(최대 1백만원, 단, 자녀 1인당 20%가산하여 최대 1.5백 만원 지원)","주택 전세자금대출 150백만원 이하, 대출 잔액의 1.5% 연 1회 이자지원(최대 1백만원, 단, 자녀 1인당 20%가산하여 최대 1.5백 만원 지원)",금액·퍼센트·범위 불일치,원문 유지
경남,7410.0,4-2-가. 다문화가족 한마음 체육대회,"행사운영비1식/7,000천원, 참가간식비 /3,0000천원","행사운영비1식/7,000천원, 참가간식비 /3,0000천원",숫자 불일치 | 금액·퍼센트·범위 불일치,원문 유지
경북,6300.0,고위험임산부의료비지원,지원대상 : 19종 고위험임신질환으로 진단받 은 임산부 중 기준 중위소득 180%이하 ◦지원내용 : 비급여 본인부담금 90% 지원(3백 만원 한도내),지원대상 : 19종 고위험임신질환으로 진단받 은 임산부 중 기준 중위소득 180%이하 ◦지원내용 : 비급여 본인부담금 90% 지원(3백 만원 한도내),금액·퍼센트·범위 불일치,원문 유지
경북,6357.0,출산장려금지원,"지원대상 : 도내 주소지를 두고 신생아를 출 산한 가정 ◦지원내용 : 첫째아 10만원, 둘째아 이상 60만 원(5만*12개월)","지원대상 : 도내 주소지를 두고 신생아를 출 산한 가정 ◦지원내용 : 첫째아 10만원, 둘째아 이상 60만 원(5만*12개월)",금액·퍼센트·범위 불일치,원문 유지
경북,6419.0,중 · 고등학교 신입생 교복구입비 지원사업,중 · 고등학교 신입생 교복구입비 지원사업,중 · 고등학교 신입생 교복구입비 지원사업,고유명사 불일치,원문 유지
경북,6452.0,출산축하금 확대 지원,"지원대상 : 관내 출산가정 ◦지원내용 : 첫째 90만원, 둘째 60만원, 셋째 140만원, 넷째 240만원, 다섯째이상 340만 원 출산축하금 지원","지원대상 : 관내 출산가정 ◦지원내용 : 첫째 90만원, 둘째 60만원, 셋째 140만원, 넷째 240만원, 다섯째이상 340만 원 출산축하금 지원",금액·퍼센트·범위 불일치,원문 유지
대구,843.0,선천성 대사이상 및 환아관리비 지원,"기준중위소득 180% 이하(384명) 선천성 대사 이상 선별검사비(20-50천워), 확진 검사비(70천원이내), 환아관리비 지원","기준중위소득 180% 이하(384명) 선천성 대사 이상 선별검사비(20-50천워), 확진 검사비(70천원이내), 환아관리비 지원",숫자 불일치 | 금액·퍼센트·범위 불일치,원문 유지
대구,876.0,사립유치원 투명한 회계 운영,"사립유치원 대상 사립유치원에 국가회계시스템 적용을 위한 에듀파인 기능개선 및 운영을 위한 시도 분담금 140백만원 대표강사수당, 멘토링수당, 여비, 인쇄비 등 에듀파인 도입에 따른 운영비 23백 만원","사립유치원 대상 사립유치원에 국가회계시스템 적용을 위한 에듀파인 기능개선 및 운영을 위한 시도 분담금 140백만원 대표강사수당, 멘토링수당, 여비, 인쇄비 등 에듀파인 도입에 따른 운영비 23백 만원",금액·퍼센트·범위 불일치,원문 유지
대구,917.0,노인일자리 및 사회활동지원사업,"46개소(구군 8, 시니어클럽 8, 노인복지관 14 노인복지센터 14, 기타 3) 만 65세 이상 기초연급수급자(공익형), 만 60세 이상((시장형) 노인일자리 지원","46개소(구군 8, 시니어클럽 8, 노인복지관 14 노인복지센터 14, 기타 3) 만 65세 이상 기초연급수급자(공익형), 만 60세 이상((시장형) 노인일자리 지원",금액·퍼센트·범위 불일치,원문 유지
부산,721.0,실버노래자랑·당구·바둑· 장기대회 개최,"노인주간을맞아평소노인복지관등에서갈 고닦은노래, 당구, 바둑, 장기 실력을 뽐 낼 수 있는 자리 마련","노인주간을맞아평소노인복지관등에서갈 고닦은노래, 당구, 바둑, 장기 실력을 뽐 낼 수 있는 자리 마련",고유명사 불일치,원문 유지
