지역,원본행,세부사업명,사업행구분,중분류,기대행구분,기대중분류,통과
경남,7494.0,3. 인구구조 변화 적극 대비 (자체사업),헤더반복,2. 함께 만들어가는 행복한 노후(자체사업),헤더반복,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7495.0,○○(사업명),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7496.0,○○(사업명),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7497.0,○○(사업명),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7498.0,어르신 틀니·임플란트 보급사업,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7499.0,어르신 인공관절 수술비 등 지원사업,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7500.0,베이비부머 노후준비를 위한 은퇴설계,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7501.0,찾아가는 노인취업상담소 운영,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7502.0,노인여가활동 지원 사업,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7503.0,노인 종합복지관 운영,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7504.0,시니어 도서관에서 문화를 읽다,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7505.0,고령자 교육기반 확충,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7506.0,실버생활체육대학,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7507.0,홀로 사는 어르신 안심생활지원 강화,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7508.0,호스피스 자원봉사단체 운영,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
경남,7509.0,노인자살예방사업 추진,세부사업,2. 함께 만들어가는 행복한 노후(자체사업),세부사업,2. 함께 만들어가는 행복한 노후(자체사업),True
