지역,대분류,중분류,원본_소계값,원본_소계출처,보정액,보정근거,QA_비교_소계값,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과,원인분류,판정근거
강원,Ⅰ.  공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),221028.0,중분류제목행,0.0,,221028.0,221028.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
강원,Ⅰ.  공통사업,2. 함께 만들어가는 행복한 노후(공통사업),895426.0,중분류제목행,0.0,,895426.0,895426.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
강원,Ⅰ.  공통사업,3. 인구구조 변화 적극 대비 (공통사업),3066.0,중분류제목행,0.0,,3066.0,3066.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
강원,Ⅱ. 지자체 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),213609.0,중분류제목행,0.0,,213609.0,213610.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
강원,Ⅱ. 지자체 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),139889.0,중분류제목행,0.0,,139889.0,139890.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
강원,Ⅱ. 지자체 자체사업,3. 인구구조 변화 적극 대비 (자체사업),6574.0,중분류제목행,0.0,,6574.0,6574.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경기,Ⅰ.  공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),4455641.0,중분류제목행,0.0,,4455641.0,4455641.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경기,Ⅰ.  공통사업,2. 함께 만들어가는 행복한 노후(공통사업),3561892.0,중분류제목행,0.0,,3561892.0,3561892.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경기,Ⅰ.  공통사업,3. 인구구조 변화 적극 대비 (공통사업),39496.0,중분류제목행,0.0,,39496.0,39496.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경기,Ⅱ. 지자체 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),1400343.0,중분류제목행,0.0,,1400343.0,1400596.0,253.0,253.0,0.02,0.02,양쪽존재,불일치,허용,허용범위 내 차이,
경기,Ⅱ. 지자체 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),702559.0,중분류제목행,0.0,,702559.0,702560.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
경기,Ⅱ. 지자체 자체사업,3. 인구구조 변화 적극 대비(자체사업),6436.0,중분류제목행,0.0,,6436.0,6438.0,2.0,2.0,0.03,0.03,양쪽존재,불일치,허용,허용범위 내 차이,
경남,Ⅰ.  공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),1451049.0,중분류제목행,0.0,,1451049.0,1451049.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경남,Ⅰ.  공통사업,2. 함께 만들어가는 행복한 노후(공통사업),2701.0,중분류제목행,0.0,,2701.0,2701.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경남,Ⅰ.  공통사업,3. 인구구조 변화 적극 대비(공통사업),5485.0,중분류제목행,0.0,,5485.0,5485.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경남,Ⅱ. 지자체 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),192870.0,중분류제목행,0.0,,192870.0,192872.0,2.0,2.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
경남,Ⅱ. 지자체 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),87048.0,중분류제목행,-29994.0,"원본행 7494에 잘못 포함된 29,994백만원을 QA 비교 소계에서 제외",57054.0,57055.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,"원본 소계에서 29,994백만원을 보정한 비교 소계와 leaf 합계의 차이 +1백만원"
경남,Ⅱ. 지자체 자체사업,3. 인구구조 변화 적극 대비 (자체사업),8046.0,중분류제목행,0.0,,8046.0,8046.36,0.3599999999996726,0.3599999999996726,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
경북,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),532676.0,중분류제목행,0.0,,532676.0,532676.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경북,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),1594695.0,중분류제목행,0.0,,1594695.0,1594695.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경북,Ⅰ. 공통사업,3. 인구구조 변화 적극 대비 (공통사업),39.0,중분류제목행,0.0,,39.0,39.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경북,Ⅱ. 지자체 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),433911.0,중분류제목행,0.0,,433911.0,433914.0,3.0,3.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
경북,Ⅱ. 지자체 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),79137.0,중분류제목행,0.0,,79137.0,79137.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
경북,Ⅱ. 지자체 자체사업,3. 인구구조 변화 적극 대비 (자체사업),6054.0,중분류제목행,0.0,,6054.0,6056.0,2.0,2.0,0.03,0.03,양쪽존재,불일치,허용,허용범위 내 차이,
광주,Ⅰ.  공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),76444.0,중분류제목행,0.0,,76444.0,76444.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
광주,Ⅰ.  공통사업,2. 함께 만들어가는 행복한 노후(공통사업),6130.0,중분류제목행,0.0,,6130.0,6130.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
광주,Ⅱ. 지자체 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),50003.0,중분류제목행,0.0,,50003.0,50003.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
광주,Ⅱ. 지자체 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),62014.0,중분류제목행,0.0,,62014.0,62014.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
광주,Ⅱ. 지자체 자체사업,3. 인구구조 변화 적극 대비 (자체사업),129.0,중분류제목행,0.0,,129.0,129.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대구,"Ⅰ.  공통사업
(국비보조 사업)",1. 함께 돌보고 함께 일하는 사회(공통사업),557821.0,중분류제목행,0.0,,557821.0,557822.0,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
대구,"Ⅰ.  공통사업
(국비보조 사업)",2. 함께 만들어가는 행복한 노후(공통사업),954669.0,중분류제목행,0.0,,954669.0,954669.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대구,"Ⅰ.  공통사업
(국비보조 사업)",3. 인구구조 변화 적극 대비 (공통사업),40.0,중분류제목행,0.0,,40.0,40.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대구,Ⅱ. 지자체 자체사업 (전액 지방비 사업),1. 함께 돌보고 함께 일하는 사회(자체사업),283318.0,중분류제목행,0.0,,283318.0,283318.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대구,Ⅱ. 지자체 자체사업 (전액 지방비 사업),2. 함께 만들어가는 행복한 노후(자체사업),133260.0,중분류제목행,0.0,,133260.0,133260.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대구,Ⅱ. 지자체 자체사업 (전액 지방비 사업),3. 인구구조 변화 적극 대비 (자체사업),350.0,중분류제목행,0.0,,350.0,350.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
대전,Ⅰ.  공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),558179.0,중분류제목행,0.0,,558179.0,558181.0,2.0,2.0,0.0,0.0,양쪽존재,불일치,허용,허용범위 내 차이,
대전,Ⅰ.  공통사업,2. 함께 만들어가는 행복한 노후(공통사업),503155.0,중분류제목행,0.0,,503155.0,503155.0,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,일치,
