지역,대분류,중분류,원본_소계값,leaf_합계,결과,차이,절대차이,상대차이율,원인분류
서울,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",3178366.0,3178366.0,일치,0.0,0.0,0.0,일치
서울,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",3455119.0,3455119.0,일치,0.0,0.0,0.0,일치
서울,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),233636.0,233636.0,일치,0.0,0.0,0.0,일치
서울,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",54508.0,54508.0,일치,0.0,0.0,0.0,일치
서울,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),257429.0,257429.0,일치,0.0,0.0,0.0,일치
서울,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",169880.0,169881.0,불일치,1.0,1.0,0.000588650812338121,미세차이(반올림·집계오차 가능)
서울,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",171097.0,171097.0,일치,0.0,0.0,0.0,일치
서울,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9056.0,9056.0,일치,0.0,0.0,0.0,일치
부산,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",1621011.0,1621011.0,일치,0.0,0.0,0.0,일치
부산,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1597265.0,1597265.0,일치,0.0,0.0,0.0,일치
부산,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",150000.0,150000.0,일치,0.0,0.0,0.0,일치
부산,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",16594.0,16594.0,일치,0.0,0.0,0.0,일치
부산,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",118342.0,118341.5,불일치,-0.5,0.5,0.0004225042672930997,미세차이(반올림·집계오차 가능)
부산,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",175410.5,175410.5,일치,0.0,0.0,0.0,일치
부산,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",245477.3,245477.3,일치,0.0,0.0,0.0,일치
부산,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),20722.8,20722.8,일치,0.0,0.0,0.0,일치
대구,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",580804.0,580804.0,일치,0.0,0.0,0.0,일치
대구,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1072129.0,1072129.0,일치,0.0,0.0,0.0,일치
대구,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),5226.0,5226.0,일치,0.0,0.0,0.0,일치
대구,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),20341.0,20341.0,일치,0.0,0.0,0.0,일치
대구,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),318557.0,318557.0,일치,0.0,0.0,0.0,일치
대구,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),145235.0,145235.0,일치,0.0,0.0,0.0,일치
대구,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",20698.0,20698.0,일치,0.0,0.0,0.0,일치
대구,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",1125.0,1125.0,일치,0.0,0.0,0.0,일치
인천,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",985149.0,985149.0,일치,0.0,0.0,0.0,일치
인천,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1171010.0,1171010.0,일치,0.0,0.0,0.0,일치
인천,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",550438.0,550438.0,일치,0.0,0.0,0.0,일치
인천,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),33635.0,33635.0,일치,0.0,0.0,0.0,일치
인천,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),112070.0,112070.0,일치,0.0,0.0,0.0,일치
인천,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),199501.8,199525.3,불일치,23.5,23.5,0.011779342341773358,미세차이(반올림·집계오차 가능)
인천,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",250902.0,250972.9,불일치,70.89999999999418,70.89999999999418,0.02825804497373245,미세차이(반올림·집계오차 가능)
인천,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",2718.0,2718.0,일치,0.0,0.0,0.0,일치
광주,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",129985.0,129985.0,일치,0.0,0.0,0.0,일치
광주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",493606.0,493606.0,일치,0.0,0.0,0.0,일치
광주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),21243.0,21243.0,일치,0.0,0.0,0.0,일치
광주,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",335.0,335.0,일치,0.0,0.0,0.0,일치
광주,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",78130.5,78130.5,일치,0.0,0.0,0.0,일치
광주,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),79054.6,79054.6,일치,0.0,0.0,0.0,일치
광주,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",22297.8,22297.8,일치,0.0,0.0,0.0,일치
광주,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",89.8,89.8,일치,0.0,0.0,0.0,일치
대전,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",579082.0,579082.0,일치,0.0,0.0,0.0,일치
