지역,원본행,행유형,세부사업명,사업분류재정구분,2021년 예산,2020년 예산,주요내용,앞행_세부사업명,앞행_주요내용,뒷행_세부사업명,뒷행_주요내용,판정,판정근거
서울,67,주요내용 연속행 후보,,,,,1    서울특별시,•  64  •,•  64  •,노인보호전문기관 및 전용쉼터 운영,"•  노인학대 예방 및 피해자 지원활동
•  노인보호전문기관(3개소)
•  학대피해노인전용쉼터(1개소)",제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,136,주요내용 연속행 후보,,,,,1    서울특별시,•  66  •,•  66  •,"아동 건강 및 의료 지원
(찾아가는 눈 건강교실 운영)",•  유치원 대상 찾아가는 눈 건강 교실 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,175,구분행사업명 연속 후보,지원서비스 강화,,,,어르신에게 돌봄서비스 제공,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),재가노인지원서비스센터 운영,•  28개 재가노인지원서비스센터 운영,제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
서울,205,주요내용 연속행 후보,,,,,1    서울특별시,•  68  •,•  68  •,재활용자원수집어르신지원사업,"•  관내 재활용수집 어르신들에게 안전교육 실시 및
안전용품 지급",제외,페이지 상단의 시도명 머리글로 확인되어 제외
서울,273,주요내용 연속행 후보,,,,,1    서울특별시,•  70  •,•  70  •,시니어클럽 운영 지원,"•  지원대상 : 19개 자치구(기존16, 신규3)
•  지원내용 : 노인 일자리 지원기관 시니어클럽 운영지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,376,주요내용 연속행 후보,,,,,2    부산광역시,•  86  •,•  86  •,시간제보육서비스 제공지원,"•  지원대상 : 시간제보육 제공기관 65개소 (가정양육수당 지원받는 6~36개월 미만 아동)
•  지원내용 : 보육료, 인건비, 운영비지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,446,주요내용 연속행 후보,,,,,2    부산광역시,•  88  •,•  88  •,학대피해노인전용쉼터 운영,"•  학대피해 노인쉼터 운영지원(1개소), 학대피해 노인 보호조치 및 심신치유 프로그램 제공, 전문상담 및
복지 서비스 지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,482,구분행사업명 연속 후보,일반산업단지 조성,,,,,제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),제4차 저출산･고령사회기본계획 2021년도 지방자치단체 시행계획(총괄),센텀2지구 도시첨단산업단지 조성,•  첨단 ICT 융복합 지식기반서비스산업 밸리 조성(’21. 사업단지계획 승인),제외,예산과 공통/자체 값이 없는 표 내부 구분행으로 확인되어 제외
부산,518,주요내용 연속행 후보,,,,,2    부산광역시,•  90  •,•  90  •,보육교직원 맞춤형교육,"•  지원대상 : 어린이집 보육교직원 6,390명
•  지원내용 : 맞춤형 교육 및 평가제 교육 실시",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,584,주요내용 연속행 후보,,,,,2    부산광역시,•  92  •,•  92  •,"모자보건센터 및 임산부
건강관리 지원","•  무료분만, 임산부 및 육아맘 교실운영 등, 임산부
건강지원",제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,662,주요내용 연속행 후보,,,,,2    부산광역시,•  94  •,•  94  •,출산축하용품 지원,•  출산용품(기저귀) 지원,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,742,주요내용 연속행 후보,,,,,2    부산광역시,•  96  •,•  96  •,예비부모 무료 건강검진,•  예비부모 무료 건강검진 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,822,주요내용 연속행 후보,,,,,2    부산광역시,•  98  •,•  98  •,임산부 전용 창구 운영,•  임산부 우선 전용 창구 운영,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,896,주요내용 연속행 후보,,,,,2    부산광역시,•  100  •,•  100  •,안심보육도우미 지원,•  보육도우미 지원하,제외,페이지 상단의 시도명 머리글로 확인되어 제외
부산,970,주요내용 연속행 후보,,,,,2    부산광역시,•  102  •,•  102  •,무등록 경로당 지원,•  무등록 경로당 지원을 통한 어르신 쉼터 제공,제외,페이지 상단의 시도명 머리글로 확인되어 제외
