지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과,원본행,원시값_완전동일_결과,소수점첫째자리_반올림후_차이0.0_결과,검토구분
강원,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),464214.8,464214.9,0.1,0.0,양쪽존재,불일치,허용,4586,불일치,불일치,미세 차이
강원,Ⅰ.  공통사업,2. 건강하고 능동적인 고령사회(공통),323741.0,323741.0,0.0,0.0,양쪽존재,일치,허용,4651,일치,일치,일치
강원,Ⅰ.  공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",82018.0,82018.0,0.0,0.0,양쪽존재,일치,허용,4679,일치,일치,일치
강원,Ⅰ.  공통사업,"4.인구구조 변화에 대한
적응(공통)",75598.3,75598.3,0.0,0.0,양쪽존재,일치,허용,4691,일치,일치,일치
강원,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",251476.8,251476.8,0.0,0.0,양쪽존재,일치,허용,4718,일치,일치,일치
강원,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),62589.6,62589.6,0.0,0.0,양쪽존재,일치,허용,4931,일치,일치,일치
강원,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",50942.8,50942.8,0.0,0.0,양쪽존재,일치,허용,5009,일치,일치,일치
강원,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",10164.4,10164.4,0.0,0.0,양쪽존재,일치,허용,5110,일치,일치,일치
경기,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),2576711.0,2576711.0,0.0,0.0,양쪽존재,일치,허용,3048,일치,일치,일치
경기,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",4350597.0,4350597.0,0.0,0.0,양쪽존재,일치,허용,3080,일치,일치,일치
경기,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",348109.2,348109.3,0.1,0.0,양쪽존재,불일치,허용,3087,불일치,불일치,미세 차이
경기,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),116863.0,116863.0,0.0,0.0,양쪽존재,일치,허용,3106,일치,일치,일치
경기,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),554963.1,554963.1,0.0,0.0,양쪽존재,일치,허용,3112,일치,일치,일치
경기,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),807969.7,807969.7,0.0,0.0,양쪽존재,일치,허용,3789,일치,일치,일치
경기,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),413441.4,413441.4,0.0,0.0,양쪽존재,일치,허용,4011,일치,일치,일치
경기,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",46921.2,46921.2,0.0,0.0,양쪽존재,일치,허용,4348,일치,일치,일치
경남,Ⅰ.  공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",1182329.0,1182328.7,-0.3,-0.0,양쪽존재,불일치,허용,8644,불일치,불일치,미세 차이
경남,Ⅰ.  공통사업,2. 건강하고 능동적인 고령사회(공통),1777468.0,1777468.0,0.0,0.0,양쪽존재,일치,허용,8713,일치,일치,일치
경남,Ⅰ.  공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),28285.0,26894.0,-1391.0,-4.92,양쪽존재,불일치,허용,8726,불일치,불일치,실질 검토
경남,Ⅰ.  공통사업,"4.인구구조 변화에 대한
적응(공통)",48051.0,48051.0,0.0,0.0,양쪽존재,일치,허용,8744,일치,일치,일치
경남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),146265.7,146265.5,-0.2,-0.0,양쪽존재,불일치,허용,8752,불일치,불일치,미세 차이
경남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),29234.5,29234.5,0.0,0.0,양쪽존재,일치,허용,9069,일치,일치,일치
경남,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",105897.6,105898.0,0.4,0.0,양쪽존재,불일치,허용,9194,불일치,불일치,미세 차이
경남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),9353.0,9405.0,52.0,0.56,양쪽존재,불일치,허용,9388,불일치,불일치,실질 검토
경북,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",897127.0,897127.0,0.0,0.0,양쪽존재,일치,허용,7766,일치,일치,일치
경북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1899341.0,1899341.0,0.0,0.0,양쪽존재,일치,허용,7832,일치,일치,일치
경북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",10043.0,10043.0,0.0,0.0,양쪽존재,일치,허용,7865,일치,일치,일치
경북,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),39.0,39.0,0.0,0.0,양쪽존재,일치,허용,7878,일치,일치,일치
경북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),402270.0,402097.7,-172.3,-0.04,양쪽존재,불일치,허용,7881,불일치,불일치,실질 검토
경북,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),63585.0,63585.0,0.0,0.0,양쪽존재,일치,허용,8242,일치,일치,일치
경북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),64948.0,64948.0,0.0,0.0,양쪽존재,일치,허용,8378,일치,일치,일치
경북,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),19389.0,19389.0,0.0,0.0,양쪽존재,일치,허용,8536,일치,일치,일치
광주,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),148241.0,148241.0,0.0,0.0,양쪽존재,일치,허용,1972,일치,일치,일치
광주,Ⅰ.  공통사업,2. 건강하고 능동적인 고령사회(공통),512394.0,512394.0,0.0,0.0,양쪽존재,일치,허용,1984,일치,일치,일치
광주,Ⅰ.  공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),15962.0,15962.0,0.0,0.0,양쪽존재,일치,허용,1996,일치,일치,일치
광주,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",107020.0,107020.0,0.0,0.0,양쪽존재,일치,허용,2012,일치,일치,일치
광주,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),74986.0,74986.0,0.0,0.0,양쪽존재,일치,허용,2111,일치,일치,일치
광주,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",12167.0,12166.5,-0.5,-0.0,양쪽존재,불일치,허용,2157,불일치,불일치,미세 차이
광주,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),158.0,158.0,0.0,0.0,양쪽존재,일치,허용,2196,일치,일치,일치
대구,"Ⅰ.  공통사업
(국비보조사업)",1. 함께 일하고 함께 돌보는 사회(공통),684066.6,684066.6,0.0,0.0,양쪽존재,일치,허용,1170,일치,일치,일치
대구,"Ⅰ.  공통사업
(국비보조사업)",2. 건강하고 능동적인 고령사회(공통),1141039.0,1141039.0,0.0,0.0,양쪽존재,일치,허용,1255,일치,일치,일치
대구,"Ⅰ.  공통사업
(국비보조사업)",3. 모두의 역량이 고루 발휘되는 사회(공통),82412.0,82412.0,0.0,0.0,양쪽존재,일치,허용,1275,일치,일치,일치
대구,"Ⅰ.  공통사업
(국비보조사업)",4.인구구조 변화에 대한 적응(공통),32083.8,32083.8,0.0,0.0,양쪽존재,일치,허용,1290,일치,일치,일치
대구,"Ⅱ. 지자체 자체사업
(지방비 사업)","1. 함께 일하고 함께 돌보는
사회(자체)",366499.5,366499.5,0.0,0.0,양쪽존재,일치,허용,1302,일치,일치,일치
대구,"Ⅱ. 지자체 자체사업
(지방비 사업)","2. 건강하고 능동적인
고령사회 구축(자체)",175004.6,175004.6,0.0,0.0,양쪽존재,일치,허용,1383,일치,일치,일치
대구,"Ⅱ. 지자체 자체사업
(지방비 사업)","3. 모두의 역량이 고루
발휘되는 사회(자체)",41323.0,41323.0,0.0,0.0,양쪽존재,일치,허용,1436,일치,일치,일치
대구,"Ⅱ. 지자체 자체사업
(지방비 사업)","4.인구구조 변화에 대한
적응(자체)",1200.5,1200.5,0.0,0.0,양쪽존재,일치,허용,1492,일치,일치,일치
대전,Ⅰ.  공통사업,1. 함께 일하고 함께 돌보는 사회(공통),574193.8,574193.7,-0.1,-0.0,양쪽존재,불일치,허용,2215,불일치,불일치,미세 차이
대전,Ⅰ.  공통사업,"2. 건강하고 능동적인
고령사회(공통)",644535.2,644535.2,0.0,0.0,양쪽존재,일치,허용,2313,일치,일치,일치
