지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
강원,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),550795,550795,0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1148635,1148636,1,0.0,양쪽존재,불일치,허용
강원,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),23075,23075,0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),186457,186457,0,0.0,양쪽존재,일치,허용
강원,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),380228,380229,1,0.0,양쪽존재,불일치,허용
강원,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),192613,192614,1,0.0,양쪽존재,불일치,허용
강원,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),21526,21526,0,0.0,양쪽존재,일치,허용
강원,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),75761,75761,0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),3724857,3724857,0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),5891919,5891919,0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),406025,406025,0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),137452,137452,0,0.0,양쪽존재,일치,허용
경기,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),652837,652841,4,0.0,양쪽존재,불일치,허용
경기,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),859253,859252,-1,-0.0,양쪽존재,불일치,허용
경기,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),532591,532592,1,0.0,양쪽존재,불일치,허용
경기,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),80474,80474,0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1426637,1426637,0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1980942,1980942,0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),94756,94756,0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),58146,58146,0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),208875,208875,0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),31384,31385,1,0.0,양쪽존재,불일치,허용
경남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),81938,81938,0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),11200,11200,0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),830768,830768,0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),2038214,2038214,0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),17785,17785,0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),40,40,0,0.0,양쪽존재,일치,허용
경북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),280630,280630,0,0.0,양쪽존재,일치,허용
경북,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),104136,104136,0,0.0,양쪽존재,일치,허용
경북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),84729,84730,1,0.0,양쪽존재,불일치,허용
경북,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),50523,50523,0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),186052,186052,0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),536844,536844,0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),16287,16287,0,0.0,양쪽존재,일치,허용
광주,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),77535,77535,0,0.0,양쪽존재,일치,허용
광주,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),378829,378829,0,0.0,양쪽존재,일치,허용
광주,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),27916,27916,0,0.0,양쪽존재,일치,허용
광주,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),339,340,1,0.29,양쪽존재,불일치,허용
대구,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),708113,708113,0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1194365,1194365,0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),150279,150279,0,0.0,양쪽존재,일치,허용
대구,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),35880,35880,0,0.0,양쪽존재,일치,허용
대구,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),388994,388994,0,0.0,양쪽존재,일치,허용
대구,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),184046,184046,0,0.0,양쪽존재,일치,허용
대구,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),33538,33538,0,0.0,양쪽존재,일치,허용
대구,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),1217,1217,0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),195207,195207,0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),683916,683916,0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),66832,66832,0,0.0,양쪽존재,일치,허용
대전,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),23468,23468,0,0.0,양쪽존재,일치,허용
대전,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),176721,176722,1,0.0,양쪽존재,불일치,허용
대전,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),38185,38185,0,0.0,양쪽존재,일치,허용
대전,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),19558,19558,0,0.0,양쪽존재,일치,허용
대전,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),18456,18456,0,0.0,양쪽존재,일치,허용
부산,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1269042,1269042,0,0.0,양쪽존재,일치,허용
부산,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),2096884,2096884,0,0.0,양쪽존재,일치,허용
부산,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),156733,156734,1,0.0,양쪽존재,불일치,허용
부산,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),19540,19540,0,0.0,양쪽존재,일치,허용
부산,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),434549,434553,4,0.0,양쪽존재,불일치,허용
부산,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),237832,237833,1,0.0,양쪽존재,불일치,허용
부산,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),100479,100482,3,0.0,양쪽존재,불일치,허용
부산,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),2751,2751,0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),2845476,2845476,0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),4000689,4000689,0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),412870,412870,0,0.0,양쪽존재,일치,허용
서울,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),86157,86157,0,0.0,양쪽존재,일치,허용
서울,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),457135,457135,0,0.0,양쪽존재,일치,허용
서울,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),161193,161194,1,0.0,양쪽존재,불일치,허용
서울,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),337229,337229,0,0.0,양쪽존재,일치,허용
서울,Ⅱ. 지자체 자체사업,4. 인구구조 변화에 대한 적응(자체),13961,13962,1,0.01,양쪽존재,불일치,허용
세종,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),157174,157174,0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),96991,96991,0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),3912,3912,0,0.0,양쪽존재,일치,허용
세종,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),1201,1201,0,0.0,양쪽존재,일치,허용
세종,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),20169,20169,0,0.0,양쪽존재,일치,허용
세종,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),7811,7811,0,0.0,양쪽존재,일치,허용
세종,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),30488,30488,0,0.0,양쪽존재,일치,허용
세종,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),707,707,0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),2417296,2417296,0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),704407,704407,0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),5938,5938,0,0.0,양쪽존재,일치,허용
울산,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),3455,3455,0,0.0,양쪽존재,일치,허용
울산,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),44922,44922,0,0.0,양쪽존재,일치,허용
울산,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),13813,13813,0,0.0,양쪽존재,일치,허용
울산,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),29411,29411,0,0.0,양쪽존재,일치,허용
울산,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),530,530,0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1099632,1099632,0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),2208270,2208270,0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),176369,176369,0,0.0,양쪽존재,일치,허용
인천,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),60620,60620,0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),303016,303016,0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),267950,267950,0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),270372,270372,0,0.0,양쪽존재,일치,허용
인천,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),3467,3467,0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),4094,4095,1,0.02,양쪽존재,불일치,허용
전남,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1827729,1827729,0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),328,328,0,0.0,양쪽존재,일치,허용
전남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),5521,5521,0,0.0,양쪽존재,일치,허용
전남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),164371,164370,-1,-0.0,양쪽존재,불일치,허용
전남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),208422,208422,0,0.0,양쪽존재,일치,허용
전남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),489017,489017,0,0.0,양쪽존재,일치,허용
전남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),12687,12687,0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),622826,622826,0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),1474663,1474663,0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),15590,15590,0,0.0,양쪽존재,일치,허용
전북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),76278,76278,0,0.0,양쪽존재,일치,허용
전북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),176414,176414,0,0.0,양쪽존재,일치,허용
전북,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),216411,216411,0,0.0,양쪽존재,일치,허용
전북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),103558,103560,2,0.0,양쪽존재,불일치,허용
전북,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),9576,9577,1,0.01,양쪽존재,불일치,허용
제주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),346803,346803,0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),389772,389772,0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),22174,22174,0,0.0,양쪽존재,일치,허용
제주,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),14950,14950,0,0.0,양쪽존재,일치,허용
제주,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),61947,61947,0,0.0,양쪽존재,일치,허용
제주,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),65108,65108,0,0.0,양쪽존재,일치,허용
제주,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),101645,101645,0,0.0,양쪽존재,일치,허용
제주,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),536,536,0,0.0,양쪽존재,일치,허용
충남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),552507,552506,-1,-0.0,양쪽존재,불일치,허용
충남,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),518441,518441,0,0.0,양쪽존재,일치,허용
충남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),35021,35023,2,0.01,양쪽존재,불일치,허용
충남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),13829,13829,0,0.0,양쪽존재,일치,허용
충남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),175263,175263,0,0.0,양쪽존재,일치,허용
충남,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),54847,54848,1,0.0,양쪽존재,불일치,허용
충남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),334061,334061,0,0.0,양쪽존재,일치,허용
충남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),9928,9929,1,0.01,양쪽존재,불일치,허용
충북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),492205,492205,0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,2. 건강하고 능동적인 고령사회(공통),956455,956455,0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),65679,65679,0,0.0,양쪽존재,일치,허용
충북,Ⅰ. 공통사업,4. 인구구조 변화에 대한 적응(공통),88864,88864,0,0.0,양쪽존재,일치,허용
충북,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),148712,148713,1,0.0,양쪽존재,불일치,허용
충북,Ⅱ. 지자체 자체사업,2. 건강하고 능동적인 고령사회 구축(자체),37793,37793,0,0.0,양쪽존재,일치,허용
충북,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),54870,54870,0,0.0,양쪽존재,일치,허용
충북,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),30807,30553,-254,-0.82,양쪽존재,불일치,허용
