구분,검증항목,기대값,실제값,판정,비고
분자 2020,파일 크기 bytes,211042,211042,PASS,
분자 2020,SHA-256,e3bd6762f24a5b66588c242f3e4598f69a328950d8985e11a39e257438d43f64,e3bd6762f24a5b66588c242f3e4598f69a328950d8985e11a39e257438d43f64,PASS,
분자 2020,전체 행 수,4340,4340,PASS,
분자 2020,연번 중복,0,0,PASS,
분자 2020,완전 동일 행 중복,0,0,PASS,
분자 2020,명칭·분류·지역·주소 중복,0,0,PASS,
분자 2020,기업(관)명만 중복된 후속 행,13,13,PASS,동명이거나 소재지가 다른 공식 행이며 분자에서 임의 제거하지 않는다.
분자 2020,빈 주소,0,0,PASS,
분자 2020,시도 미분류,0,0,PASS,
분자 2020,주소 미분류,0,0,PASS,
분자 2020,시도-주소 지역 불일치,0,0,PASS,
분자 2020,시도 수,17,17,PASS,
분자 2020,시도별 합계,4340,4340,PASS,
분자 2020,기업 분류별 합계,"{'대기업': 456, '중소기업': 2839, '공공기관': 1045}","{'중소기업': 2839, '공공기관': 1045, '대기업': 456}",PASS,
분자 2021,파일 크기 bytes,242583,242583,PASS,
분자 2021,SHA-256,af79a43769a4b7db59fa2446f832f181cff0f93e8c7978517a350c21dff14b1f,af79a43769a4b7db59fa2446f832f181cff0f93e8c7978517a350c21dff14b1f,PASS,
분자 2021,전체 행 수,4918,4918,PASS,
분자 2021,연번 중복,0,0,PASS,
분자 2021,완전 동일 행 중복,0,0,PASS,
분자 2021,명칭·분류·지역·주소 중복,0,0,PASS,
분자 2021,기업(관)명만 중복된 후속 행,19,19,PASS,동명이거나 소재지가 다른 공식 행이며 분자에서 임의 제거하지 않는다.
분자 2021,빈 주소,0,0,PASS,
분자 2021,시도 미분류,0,0,PASS,
분자 2021,주소 미분류,0,0,PASS,
분자 2021,시도-주소 지역 불일치,1,1,PASS,"공식 원본 연번 2400은 시도=충남, 주소지=충청북도 청주시이다. 집계용 전용 시도 열(충남)을 적용하고 원자료 불일치를 보존한다."
분자 2021,시도 수,17,17,PASS,
분자 2021,시도별 합계,4918,4918,PASS,
분자 2021,기업 분류별 합계,"{'대기업': 520, '중소기업': 3317, '공공기관': 1081}","{'중소기업': 3317, '공공기관': 1081, '대기업': 520}",PASS,
분모,파일 크기 bytes,11852,11852,PASS,
분모,SHA-256,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,PASS,
분모,전체·17개 시도 행 수,18,18,PASS,
분모,지역 미분류,0,0,PASS,
분모,지역 중복,0,0,PASS,
분모,시도 수,17,17,PASS,
분모,2018 시도 합=전국,2029782,2029782,PASS,
분모,2018 양의 사업체 수,17,17,PASS,
분모,2020 시도 합=전국,1865536,1865536,PASS,
분모,2020 양의 사업체 수,17,17,PASS,
분모,2021 시도 합=전국,1995751,1995751,PASS,
분모,2021 양의 사업체 수,17,17,PASS,
분모,2022 시도 합=전국,2099955,2099955,PASS,
분모,2022 양의 사업체 수,17,17,PASS,
분모,2023 시도 합=전국,2124670,2124670,PASS,
분모,2023 양의 사업체 수,17,17,PASS,
34개 후보,후보 행 수,34,34,PASS,
34개 후보,후보 중복 키,0,0,PASS,
34개 후보,후보 지역 수,17,17,PASS,
34개 후보,후보 연도,"[2020, 2021]","[2020, 2021]",PASS,
34개 후보,후보 지표,['family_friendly_certification_rate'],['family_friendly_certification_rate'],PASS,
34개 후보,비율 산식 일치,34,34,PASS,
34개 후보,패널 키 1:1 대응,34,34,PASS,
34개 후보,패널 누락 키,0,0,PASS,
34개 후보,후보 누락 키,0,0,PASS,
34개 후보,대응 패널값 결측,34,34,PASS,
미확보 51개,행 수,51,51,PASS,
미확보 51개,pending_review 유지,51,51,PASS,
미확보 51개,block_imputation=True 유지,51,51,PASS,
미확보 51개,후보와 중복,0,0,PASS,
미확보 51개,후보에 미확보 연도 포함,0,0,PASS,
교차검증,2018 공식 재집계-패널 일치,17,17,PASS,
교차검증,2022 공식 재집계-패널 일치,17,17,PASS,
교차검증,2023 공식 재집계-패널 일치,17,17,PASS,
입력 불변,기준 패널 SHA-256 유지,d3ee2ec1ce6e6df598c06794285111aebaee2696fb24556143939b8c1ac9f8f8,d3ee2ec1ce6e6df598c06794285111aebaee2696fb24556143939b8c1ac9f8f8,PASS,
입력 불변,정책 매핑 SHA-256 유지,16bc0ced896d9fd3705b17593475fcc1b0bae528fdc971c59d9bf4b962167df5,16bc0ced896d9fd3705b17593475fcc1b0bae528fdc971c59d9bf4b962167df5,PASS,
