지역,지표_id,연도,공식_분자,사업체수_분모,계산_비율,분자_출처,분모_출처,QA_상태
서울,family_friendly_certification_rate,2020,1186,403351,0.294036707483061,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
부산,family_friendly_certification_rate,2020,255,124498,0.204822567430802,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
대구,family_friendly_certification_rate,2020,134,83985,0.159552301006132,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
인천,family_friendly_certification_rate,2020,158,91916,0.171896079028678,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
광주,family_friendly_certification_rate,2020,98,54154,0.180965394984673,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
대전,family_friendly_certification_rate,2020,300,51206,0.585868843494903,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
울산,family_friendly_certification_rate,2020,58,34720,0.167050691244240,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
세종,family_friendly_certification_rate,2020,81,9526,0.850304429981104,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
경기,family_friendly_certification_rate,2020,738,469092,0.157325215522755,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
강원,family_friendly_certification_rate,2020,112,56841,0.197040868387256,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
충북,family_friendly_certification_rate,2020,267,55581,0.480379985966427,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
충남,family_friendly_certification_rate,2020,232,74234,0.312525257968047,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
전북,family_friendly_certification_rate,2020,120,62584,0.191742298351016,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
전남,family_friendly_certification_rate,2020,153,64223,0.238232408950065,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
경북,family_friendly_certification_rate,2020,175,89299,0.195970839539077,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
경남,family_friendly_certification_rate,2020,189,113945,0.165869498442231,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
제주,family_friendly_certification_rate,2020,84,26381,0.318410977597513,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,PASS
서울,family_friendly_certification_rate,2021,1375,424695,0.323761758438409,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
부산,family_friendly_certification_rate,2021,294,132295,0.222230620960732,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
대구,family_friendly_certification_rate,2021,155,87153,0.177848152100329,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
인천,family_friendly_certification_rate,2021,187,99121,0.188658306514260,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
광주,family_friendly_certification_rate,2021,112,55991,0.200032148023790,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,PASS
