지역,연도,공식_분자,사업체수_분모,계산_비율,패널_값_변경,분자_출처,분모_출처,QA_상태
서울,2024,1894,441569,0.4289250377630676,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
부산,2024,363,137859,0.2633125149609383,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
대구,2024,218,91215,0.2389957792029820,True,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
인천,2024,278,104606,0.2657591342752806,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
광주,2024,140,58140,0.2407980736154111,True,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
대전,2024,334,57288,0.5830191314062282,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
울산,2024,74,37763,0.1959590074941080,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
세종,2024,98,12943,0.7571660356949702,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
경기,2024,1233,552591,0.2231306698806169,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
강원,2024,198,63189,0.3133456772539524,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
충북,2024,361,65007,0.5553248111741812,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
충남,2024,265,87179,0.3039722869039562,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
전북,2024,175,68911,0.2539507480663465,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
전남,2024,251,72385,0.3467569247772329,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
경북,2024,302,98622,0.3062197075703190,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
경남,2024,210,125319,0.1675723553491490,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
제주,2024,108,30507,0.3540171108270233,False,가족친화인증기업현황_20241231.csv.xlsx,2024_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194241.csv.xlsx,PASS
