공식원본행,기업(관)명,기업(관)분류,공식_지역,부분일치_오배정_지역,소재지,오류원인,정상화_검증
95,한국청소년상담복지개발원,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
293,주식회사 벡스코,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
472,경기도 광주시청,공공기관,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
505,부산광역시 해운대구청,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
517,영화진흥위원회,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
675,제노,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
710,(재)영화의전당,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
719,게임물관리위원회,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
958,광주도시관리공사,공공기관,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
1069,(주)동성모터스,대기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1098,주식회사 마이비,대기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1196,(주)코리아트리즈,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1268,실내환경연구소 주식회사,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1536,영상물등급위원회,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1555,재단법인 APEC기후센터,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1648,한국문화진흥(주),공공기관,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
1773,(주)석보유통,중소기업,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
1929,주식회사 메라클,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
1953,주식회사 아이오티플렉스,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2184,(주)영일산업,중소기업,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
2254,더블유에스치과병원,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2356,주식회사 엔디소프트,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2392,주식회사 포유커뮤니케이션즈,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2428,해운대나눔과행복병원,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2433,(재)부산디자인진흥원,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2449,재단법인 경기도농수산진흥원,공공기관,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
2455,부산과학기술고등교육진흥원,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2570,(주)씨웰,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2607,(주)유시스,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2845,주식회사 모두싸인,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2947,주식회사 큐티티,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
2994,피앤비솔루션(주),중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3068,한국해양진흥공사,공공기관,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3160,(주)더웹스,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3171,(주)디아이앤씨,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3172,(주)디에스정보기술,중소기업,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
3306,두레소비자생활협동조합연합회,중소기업,경기,광주,경기도 광주시,주소 전체 문자열에서 시도명 부분일치,경기
3310,말랑하니 주식회사,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3315,주식회사 뉴로서킷,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
3332,센텀소중한눈안과의원,중소기업,부산,대구,부산광역시 해운대구,주소 전체 문자열에서 시도명 부분일치,부산
