지역,지표_id,연도,공식_분자,사업체수_분모,측정값,분자_출처,분모_출처,반영유형,관측상태,QA_상태
서울,family_friendly_certification_rate,2020,1186,403351,0.2940367074830607,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2020,255,124498,0.2048225674308021,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2020,134,83985,0.1595523010061320,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2020,158,91916,0.1718960790286783,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2020,98,54154,0.1809653949846733,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2020,300,51206,0.5858688434949030,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2020,58,34720,0.1670506912442396,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2020,81,9526,0.8503044299811043,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2020,738,469092,0.1573252155227546,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2020,112,56841,0.1970408683872557,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
충북,family_friendly_certification_rate,2020,267,55581,0.4803799859664274,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
충남,family_friendly_certification_rate,2020,232,74234,0.3125252579680470,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
전북,family_friendly_certification_rate,2020,120,62584,0.1917422983510162,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
전남,family_friendly_certification_rate,2020,153,64223,0.2382324089500646,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경북,family_friendly_certification_rate,2020,175,89299,0.1959708395390766,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경남,family_friendly_certification_rate,2020,189,113945,0.1658694984422309,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
제주,family_friendly_certification_rate,2020,84,26381,0.3184109775975134,2020 가족친화인증기업(관) 리스트(2020년 12월 4340개).xlsx,2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2020;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
서울,family_friendly_certification_rate,2021,1375,424695,0.3237617584384088,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2021,294,132295,0.2222306209607317,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2021,155,87153,0.1778481521003293,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2021,187,99121,0.1886583065142603,"2021 가족친화인증(관) 현황(2021년 12월, 총4918개사).xlsx",2017-2023_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194147.csv.xlsx::열=2021;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
