지역,지표_id,연도,반영전값,반영후값,공식_분자,사업체수_분모,반영유형,관측상태,공식관측행번호,원본파일,QA_상태
서울,family_friendly_certification_rate,2020,,0.2940367074830607,1186.0,403351.0,공식 원자료 직접 복원,관측,1.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
부산,family_friendly_certification_rate,2020,,0.2048225674308021,255.0,124498.0,공식 원자료 직접 복원,관측,2.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
대구,family_friendly_certification_rate,2020,,0.159552301006132,134.0,83985.0,공식 원자료 직접 복원,관측,3.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
인천,family_friendly_certification_rate,2020,,0.1718960790286783,158.0,91916.0,공식 원자료 직접 복원,관측,4.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
광주,family_friendly_certification_rate,2020,,0.1809653949846733,98.0,54154.0,공식 원자료 직접 복원,관측,5.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
대전,family_friendly_certification_rate,2020,,0.585868843494903,300.0,51206.0,공식 원자료 직접 복원,관측,6.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
울산,family_friendly_certification_rate,2020,,0.1670506912442396,58.0,34720.0,공식 원자료 직접 복원,관측,7.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
세종,family_friendly_certification_rate,2020,,0.8503044299811043,81.0,9526.0,공식 원자료 직접 복원,관측,8.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경기,family_friendly_certification_rate,2020,,0.1573252155227546,738.0,469092.0,공식 원자료 직접 복원,관측,9.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
강원,family_friendly_certification_rate,2020,,0.1970408683872557,112.0,56841.0,공식 원자료 직접 복원,관측,10.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
충북,family_friendly_certification_rate,2020,,0.4803799859664274,267.0,55581.0,공식 원자료 직접 복원,관측,11.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
충남,family_friendly_certification_rate,2020,,0.312525257968047,232.0,74234.0,공식 원자료 직접 복원,관측,12.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
전북,family_friendly_certification_rate,2020,,0.1917422983510162,120.0,62584.0,공식 원자료 직접 복원,관측,13.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
전남,family_friendly_certification_rate,2020,,0.2382324089500646,153.0,64223.0,공식 원자료 직접 복원,관측,14.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경북,family_friendly_certification_rate,2020,,0.1959708395390766,175.0,89299.0,공식 원자료 직접 복원,관측,15.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경남,family_friendly_certification_rate,2020,,0.1658694984422309,189.0,113945.0,공식 원자료 직접 복원,관측,16.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
제주,family_friendly_certification_rate,2020,,0.3184109775975134,84.0,26381.0,공식 원자료 직접 복원,관측,17.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
서울,family_friendly_certification_rate,2021,,0.3237617584384088,1375.0,424695.0,공식 원자료 직접 복원,관측,18.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
부산,family_friendly_certification_rate,2021,,0.2222306209607317,294.0,132295.0,공식 원자료 직접 복원,관측,19.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
대구,family_friendly_certification_rate,2021,,0.1778481521003293,155.0,87153.0,공식 원자료 직접 복원,관측,20.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
인천,family_friendly_certification_rate,2021,,0.1886583065142603,187.0,99121.0,공식 원자료 직접 복원,관측,21.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
광주,family_friendly_certification_rate,2021,,0.2000321480237895,112.0,55991.0,공식 원자료 직접 복원,관측,22.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
대전,family_friendly_certification_rate,2021,,0.5953752784819851,310.0,52068.0,공식 원자료 직접 복원,관측,23.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
울산,family_friendly_certification_rate,2021,,0.183603638690294,66.0,35947.0,공식 원자료 직접 복원,관측,24.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
세종,family_friendly_certification_rate,2021,,0.7327624260616227,83.0,11327.0,공식 원자료 직접 복원,관측,25.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경기,family_friendly_certification_rate,2021,,0.1624549082263871,848.0,521991.0,공식 원자료 직접 복원,관측,26.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
강원,family_friendly_certification_rate,2021,,0.2223089585419248,131.0,58927.0,공식 원자료 직접 복원,관측,27.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
충북,family_friendly_certification_rate,2021,,0.4598075982390347,282.0,61330.0,공식 원자료 직접 복원,관측,28.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
충남,family_friendly_certification_rate,2021,,0.3038551623726024,240.0,78985.0,공식 원자료 직접 복원,관측,29.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
전북,family_friendly_certification_rate,2021,,0.2240580417022315,147.0,65608.0,공식 원자료 직접 복원,관측,30.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
전남,family_friendly_certification_rate,2021,,0.2662185073916535,179.0,67238.0,공식 원자료 직접 복원,관측,31.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경북,family_friendly_certification_rate,2021,,0.2272775547484016,214.0,94158.0,공식 원자료 직접 복원,관측,32.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
경남,family_friendly_certification_rate,2021,,0.1684493531710798,203.0,120511.0,공식 원자료 직접 복원,관측,33.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
제주,family_friendly_certification_rate,2021,,0.3238752376258537,92.0,28406.0,공식 원자료 직접 복원,관측,34.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
전국,family_friendly_certification_rate,2024,0.3126227677352022,0.3088699644148738,6502.0,2105093.0,공식 집계 오류 정정,관측,35.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
대구,family_friendly_certification_rate,2024,0.3036781231157156,0.238995779202982,218.0,91215.0,공식 집계 오류 정정,관측,36.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
광주,family_friendly_certification_rate,2024,0.2751977984176126,0.2407980736154111,140.0,58140.0,공식 집계 오류 정정,관측,37.0,reports/20260804_가족친화_공식관측_반영값.csv,PASS
