지표_id,raw_source_order,role,source,file_name,선택필드,선택출처,최종출처포함여부,제외사유,raw_source_json
youth_employment_rate,1,numerator,,2016-2025_행정구역_시도__연령별_취업자_20260715184807.csv,file_name,2016-2025_행정구역_시도__연령별_취업자_20260715184807.csv,True,,"{""role"": ""numerator"", ""id"": ""1q5qfiM0oaddqUS36bu0-pFca4YH39Ymf"", ""file_name"": ""2016-2025_행정구역_시도__연령별_취업자_20260715184807.csv""}"
youth_employment_rate,2,denominator,,2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,file_name,2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv,True,,"{""role"": ""denominator"", ""id"": ""1Rm42k1V1H-eSgTJ3mSKMZYHCFjhE-lFn"", ""file_name"": ""2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv""}"
work_hours,1,published_value_2016_2019,,2016-2019_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715183802.csv,file_name,2016-2019_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715183802.csv,True,,"{""role"": ""published_value_2016_2019"", ""id"": ""1zlh-yFwKvUyT3v10epmEbGUFN6P_JiGh"", ""file_name"": ""2016-2019_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715183802.csv""}"
work_hours,2,published_value_2020_2025,,2020-2025_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715184101.csv,file_name,2020-2025_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715184101.csv,True,,"{""role"": ""published_value_2020_2025"", ""id"": ""1WP6AvTCp7HSbsCbSMsD4u9ACZIL0JM99"", ""file_name"": ""2020-2025_행정구역_시도___산업_규모별_임금_및_근로시간_상용근로자__상용근로자_1인이상_사업체__20260715184101.csv""}"
income_satisfaction,1,response_distribution,,"2015,2017,2019,2021,2023,2025_소득_만족도__19세_이상_인구__20260715185726.csv",file_name,"2015,2017,2019,2021,2023,2025_소득_만족도__19세_이상_인구__20260715185726.csv",True,,"{""role"": ""response_distribution"", ""id"": ""1-rC7f0mxV7QZgoFxNMIzEQDTB_ya_aKb"", ""file_name"": ""2015,2017,2019,2021,2023,2025_소득_만족도__19세_이상_인구__20260715185726.csv""}"
income_level,1,published_value,,1인당_가계총처분가능소득_시도__20260721120851.csv,file_name,1인당_가계총처분가능소득_시도__20260721120851.csv,True,,"{""role"": ""published_value"", ""id"": ""1givygFw_o5xPjIOkcisyKQb7m7yDw8w9"", ""file_name"": ""1인당_가계총처분가능소득_시도__20260721120851.csv""}"
childcare_capacity_rate,1,numerator_active,,전국_어린이집_정현원_현황_20260724113247.csv.xlsx,file_name,전국_어린이집_정현원_현황_20260724113247.csv.xlsx,True,,"{""role"": ""numerator_active"", ""id"": ""1ifo38jhxmWu-BZusDH4jTuoVdBbIVnG-"", ""file_name"": ""전국_어린이집_정현원_현황_20260724113247.csv.xlsx""}"
childcare_capacity_rate,2,denominator,,2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv.xlsx,file_name,2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv.xlsx,True,,"{""role"": ""denominator"", ""id"": ""1RbZwHksyXyWbkqC9F-GD3bQIEQnHEaNm"", ""file_name"": ""2016-2025_행정구역(시도)별_1세별_주민등록인구_20260715.csv.xlsx""}"
childcare_capacity_rate,3,numerator_excluded_facility_count,,2016-2025_어린이집_현황_시·도__20260715191601.csv,file_name,2016-2025_어린이집_현황_시·도__20260715191601.csv,True,,"{""role"": ""numerator_excluded_facility_count"", ""id"": ""1_r9pyyP9Il2aJDahyUf8n9DGzpG_jVI0"", ""file_name"": ""2016-2025_어린이집_현황_시·도__20260715191601.csv""}"
after_school_care_supply,1,numerator,,2016-2024_다함께돌봄센터 시설수 & 지역아동센터 시설수.xlsx,file_name,2016-2024_다함께돌봄센터 시설수 & 지역아동센터 시설수.xlsx,True,,"{""role"": ""numerator"", ""id"": ""1026rhcE0ZVAcOGfCGqqUgUg7pc6aMY7F"", ""file_name"": ""2016-2024_다함께돌봄센터 시설수 & 지역아동센터 시설수.xlsx""}"
