검사항목,기대값,실제값,판정,비고
패널 행 수,4536,4536,PASS,
고유 키 수,4536,4536,PASS,
실측 행 수,3365,3365,PASS,
결측 행 수,1171,1171,PASS,
정책 매핑 행 수,1171,1171,PASS,
정책 매핑 중복 키,0,0,PASS,
미매핑 결측 키,0,0,PASS,
결측이 아닌 매핑 키,0,0,PASS,
missing_cause 허용값 위반,0,0,PASS,
cause_status 허용값 위반,0,0,PASS,
imputation_policy 허용값 위반,0,0,PASS,
missing_cause=조사 비실시 연도,864,864,PASS,
missing_cause=원자료 미공표,9,9,PASS,
missing_cause=원자료 부재,298,298,PASS,
missing_cause=완전격자 생성행,0,0,PASS,
missing_cause=미산출,0,0,PASS,
missing_cause=원인 미확정,0,0,PASS,
cause_status=confirmed,1171,1171,PASS,
cause_status=inferred,0,0,PASS,
cause_status=unresolved,0,0,PASS,
imputation_policy=linear_interpolation,486,486,PASS,
imputation_policy=boundary_carry,676,676,PASS,
imputation_policy=auxiliary_boundary_interpolation,0,0,PASS,
imputation_policy=keep_missing,9,9,PASS,
imputation_policy=pending_review,0,0,PASS,
block_imputation=False,1162,1162,PASS,
block_imputation=True,9,9,PASS,
analysis_included_after_imputation=False,9,9,PASS,
analysis_included_after_imputation=True,1162,1162,PASS,
missing_position=leading_missing,586,586,PASS,
missing_position=intermediate_missing,486,486,PASS,
missing_position=trailing_missing,90,90,PASS,
missing_position=all_period_unobserved,9,9,PASS,
미확정 결측 수,0,0,PASS,
미확정 결측의 비-pending 정책,0,0,PASS,
미확정 결측의 대체 차단 해제,0,0,PASS,
미확정 결측의 분석 포함,0,0,PASS,
가족친화 인증기업 비율 pending_review,0,0,PASS,
정규직 비율 전국 pending_review,0,0,PASS,
비선형 가사분담 지표 직접 선형보간 적용(pending_review 잔존 없음),0,0,PASS,
비선형 가사분담 지표 선형보간 건수,72,72,PASS,
정책과 block_imputation 불일치,0,0,PASS,
전국 근로시간 keep_missing 차단,9,9,PASS,
전국 근로시간 외 차단 잔존,0,0,PASS,
보조 경계 시나리오 행 수,72,72,PASS,
보조 경계 시나리오의 본계열 정책 위반,0,0,PASS,
보조 경계 시나리오의 본계열 정책 중복 적용,0,0,PASS,보조 시나리오는 별도 열에만 기록한다.
가족친화 raking·구성비 보조 시나리오 행 수,0,0,PASS,
가족친화 raking·구성비 보조 시나리오의 본계열 정책 위반,0,0,PASS,본계열은 여전히 pending_review로 차단된 채 보조 시나리오만 별도 열에 추가한다.
가족친화 raking·구성비 보조 시나리오 지표 위반,0,0,PASS,
완전격자 원본 미존재 행 수,387,387,PASS,원본행존재는 missing_cause와 별도 관리한다.
boundary_carry 세분 검토 행 수,676,676,PASS,
boundary_carry nearest_observed_year 결측,0,0,PASS,
boundary_carry distance_from_observation 결측,0,0,PASS,
boundary_carry carry_direction 결측,0,0,PASS,
boundary_carry consecutive_missing_years 결측,0,0,PASS,
boundary_carry policy_risk_level 결측,0,0,PASS,
boundary_carry 허용 위치 위반,0,0,PASS,
boundary_carry 관측거리 불일치,0,0,PASS,
boundary_carry 방향 불일치,0,0,PASS,
boundary_carry 연속 결측연도 비양수,0,0,PASS,
boundary_carry carry_direction=backward,586,586,PASS,
boundary_carry carry_direction=forward,90,90,PASS,
boundary_carry consecutive_missing_years=1,132,132,PASS,
boundary_carry consecutive_missing_years=2,72,72,PASS,
boundary_carry consecutive_missing_years=4,220,220,PASS,
boundary_carry consecutive_missing_years=7,252,252,PASS,
boundary_carry long_range_backcast=False,132,132,PASS,
boundary_carry long_range_backcast=True,544,544,PASS,
boundary_carry sensitivity_required=True,676,676,PASS,
boundary_carry policy_risk_level=medium,132,132,PASS,
boundary_carry policy_risk_level=high,544,544,PASS,
long_range_backcast 판정 불일치,0,0,PASS,
boundary_carry 민감도 분석 미지정,0,0,PASS,
가족실태조사 3종 2016~2019 장기 소급 high risk,216,216,PASS,
출산 인식 장기 소급 high risk,36,36,PASS,
세종 근로시간 장기 소급 high risk,4,4,PASS,
시계열 시작점 이전 구간(산후조리원 2종·분만실 병상수) boundary_carry 적용,288,288,PASS,
시계열 시작점 이전 구간의 keep_missing 잔존,0,0,PASS,
#82 가족친화 인증기업 비율 차단,0,0,PASS,
#82 가사분담 성평등 인식 차단,0,0,PASS,
#82 산후조리원 보급도 차단(시계열 시작점),0,0,PASS,
#82 산후조리원 이용 요금 차단(시계열 시작점),0,0,PASS,
#82 분만실 병상수 차단(시계열 시작점),0,0,PASS,
#82 17개 시도 차단 합계,0,0,PASS,
#82 기타 차단 결측,0,0,PASS,
정책 결합 후 행 수 변경,0,0,PASS,
정책 결합 후 키 변경,0,0,PASS,
실측·결측 측정값 변경,0,0,PASS,
실측 행 정책 열 오염,0,0,PASS,
처리값 열 생성,0,0,PASS,
