구분,검증항목,기대값,실제값,판정,비고
2016 분모(전국),파일 크기 bytes,11156,11156,PASS,
2016 분모(전국),SHA-256,fe69a2b1c4903ad408904a8ba185fa7f1bc51fa74f289492f6be071a181e0acb,fe69a2b1c4903ad408904a8ba185fa7f1bc51fa74f289492f6be071a181e0acb,PASS,
2016 분모(전국),전체·17개 시도 행 수,18,18,PASS,
2016 분모(전국),지역 미분류,0,0,PASS,
2016 분모(전국),지역 중복,0,0,PASS,
2016 분모(전국),시도 수,17,17,PASS,
2016 분모(전국),2016 시도 합=전국,1950338,1950338,PASS,
2016 분모(전국),2016 양의 사업체 수,17,17,PASS,
2017-2021 분모(전국),파일 크기 bytes,11852,11852,PASS,
2017-2021 분모(전국),SHA-256,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,PASS,
2017-2021 분모(전국),전체·17개 시도 행 수,18,18,PASS,
2017-2021 분모(전국),지역 미분류,0,0,PASS,
2017-2021 분모(전국),지역 중복,0,0,PASS,
2017-2021 분모(전국),시도 수,17,17,PASS,
2017-2021 분모(전국),2017 시도 합=전국,2017707,2017707,PASS,
2017-2021 분모(전국),2017 양의 사업체 수,17,17,PASS,
2017-2021 분모(전국),2019 시도 합=전국,2146156,2146156,PASS,
2017-2021 분모(전국),2019 양의 사업체 수,17,17,PASS,
2017-2021 분모(전국),2020 시도 합=전국,1865536,1865536,PASS,
2017-2021 분모(전국),2020 양의 사업체 수,17,17,PASS,
2017-2021 분모(전국),2021 시도 합=전국,1995751,1995751,PASS,
2017-2021 분모(전국),2021 양의 사업체 수,17,17,PASS,
전국 5개 후보,행 수,5,5,PASS,
전국 5개 후보,연도,"[2016, 2017, 2019, 2020, 2021]","[2016, 2017, 2019, 2020, 2021]",PASS,
전국 5개 후보,지역,"['전국', '전국', '전국', '전국', '전국']","['전국', '전국', '전국', '전국', '전국']",PASS,
전국 5개 후보,비율 산식 일치,5,5,PASS,
전국-지역합 교차검증,2020 누계표 대 공식 명단 합계,4340,4340,PASS,
전국-지역합 교차검증,2021 누계표 대 공식 명단 합계,4918,4918,PASS,
