지역,지표_id,연도,추정_분자,사업체수_분모,추정_비율,방법,근거
강원,family_friendly_certification_rate,2016,43.39302884615385,57069,0.07603607711043447,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
경기,family_friendly_certification_rate,2016,281.78004807692304,468641,0.0601270584684061,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
경남,family_friendly_certification_rate,2016,84.5889423076923,123599,0.06843820929594277,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
경북,family_friendly_certification_rate,2016,60.42067307692308,93866,0.06436907195035804,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
광주,family_friendly_certification_rate,2016,32.95673076923077,57826,0.056992928387283856,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
대구,family_friendly_certification_rate,2016,52.18149038461538,94609,0.055154890533263626,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
대전,family_friendly_certification_rate,2016,170.27644230769232,54796,0.3107461170663777,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
부산,family_friendly_certification_rate,2016,108.75721153846153,136782,0.0795113476469576,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
서울,family_friendly_certification_rate,2016,484.46394230769226,437391,0.11076221099832696,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
세종,family_friendly_certification_rate,2016,41.19591346153846,6376,0.6461090567995367,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
울산,family_friendly_certification_rate,2016,23.06971153846154,39720,0.05808084475947014,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
인천,family_friendly_certification_rate,2016,63.71634615384615,92664,0.0687606256516513,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
전남,family_friendly_certification_rate,2016,59.87139423076923,63630,0.09409302880837535,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
전북,family_friendly_certification_rate,2016,54.92788461538462,64687,0.08491332820409761,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
제주,family_friendly_certification_rate,2016,29.111778846153843,27250,0.10683221594918842,composition_ratio_2018,"2018년 지역 구성비 × 2016년 전국 실측 분자 합계(1,828)"
