지역,지표_id,연도,반영전값,반영후값,반영유형,관측상태,QA_상태
서울,family_friendly_certification_rate,2020,,0.2940367074830607,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2020,,0.2048225674308021,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2020,,0.159552301006132,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2020,,0.1718960790286783,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2020,,0.1809653949846733,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2020,,0.585868843494903,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2020,,0.1670506912442396,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2020,,0.8503044299811043,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2020,,0.1573252155227546,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2020,,0.1970408683872557,공식 원자료 직접 복원,관측,PASS
충북,family_friendly_certification_rate,2020,,0.4803799859664274,공식 원자료 직접 복원,관측,PASS
충남,family_friendly_certification_rate,2020,,0.312525257968047,공식 원자료 직접 복원,관측,PASS
전북,family_friendly_certification_rate,2020,,0.1917422983510162,공식 원자료 직접 복원,관측,PASS
전남,family_friendly_certification_rate,2020,,0.2382324089500646,공식 원자료 직접 복원,관측,PASS
경북,family_friendly_certification_rate,2020,,0.1959708395390766,공식 원자료 직접 복원,관측,PASS
경남,family_friendly_certification_rate,2020,,0.1658694984422309,공식 원자료 직접 복원,관측,PASS
제주,family_friendly_certification_rate,2020,,0.3184109775975134,공식 원자료 직접 복원,관측,PASS
서울,family_friendly_certification_rate,2021,,0.3237617584384088,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2021,,0.2222306209607317,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2021,,0.1778481521003293,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2021,,0.1886583065142603,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2021,,0.2000321480237895,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2021,,0.5953752784819851,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2021,,0.183603638690294,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2021,,0.7327624260616227,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2021,,0.1624549082263871,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2021,,0.2223089585419248,공식 원자료 직접 복원,관측,PASS
충북,family_friendly_certification_rate,2021,,0.4598075982390347,공식 원자료 직접 복원,관측,PASS
충남,family_friendly_certification_rate,2021,,0.3038551623726024,공식 원자료 직접 복원,관측,PASS
전북,family_friendly_certification_rate,2021,,0.2240580417022315,공식 원자료 직접 복원,관측,PASS
전남,family_friendly_certification_rate,2021,,0.2662185073916535,공식 원자료 직접 복원,관측,PASS
경북,family_friendly_certification_rate,2021,,0.2272775547484016,공식 원자료 직접 복원,관측,PASS
경남,family_friendly_certification_rate,2021,,0.1684493531710798,공식 원자료 직접 복원,관측,PASS
제주,family_friendly_certification_rate,2021,,0.3238752376258537,공식 원자료 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2024,0.3126227677352022,0.3088699644148738,공식 집계 오류 정정,관측,PASS
대구,family_friendly_certification_rate,2024,0.3036781231157156,0.238995779202982,공식 집계 오류 정정,관측,PASS
광주,family_friendly_certification_rate,2024,0.2751977984176126,0.2407980736154111,공식 집계 오류 정정,관측,PASS
전국,family_friendly_certification_rate,2016,,0.0937273436706868,공식 누계 통계 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2017,,0.1388705099402441,공식 누계 통계 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2019,,0.1785983870697191,공식 누계 통계 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2020,,0.232640913925006,공식 누계 통계 직접 복원,관측,PASS
전국,family_friendly_certification_rate,2021,,0.2464235267826498,공식 누계 통계 직접 복원,관측,PASS
