구분,검증항목,기대값,실제값,판정,비고
분자 2016,파일 크기 bytes,466460,466460,PASS,
분자 2016,SHA-256,5e2e1792d4ecfce310e52cb1ea09d0af9394cf7c0b7d0e28e5673315654033d2,5e2e1792d4ecfce310e52cb1ea09d0af9394cf7c0b7d0e28e5673315654033d2,PASS,
분자 2016,전체 행 수,1828,1828,PASS,
분자 2016,연번 중복,0,0,PASS,
분자 2016,완전 동일 행 중복,0,0,PASS,
분자 2016,명칭·분류·지역·주소 중복,0,0,PASS,
분자 2016,기업(관)명만 중복된 후속 행,5,5,PASS,동명이거나 소재지가 다른 공식 행이며 분자에서 임의 제거하지 않는다.
분자 2016,빈 주소,0,0,PASS,
분자 2016,시도 미분류,0,0,PASS,
분자 2016,주소 미분류,1,1,PASS,연번 1794 충청남도 공주시청은 시군구 필드가 '충정남도'로 오탈자라 분류 불가. 시도 필드(충남)는 정상이라 집계에는 영향 없다.
분자 2016,시도-주소 지역 불일치,2,2,PASS,"연번 549 (주)대흥에코는 시도=서울, 주소지=경기도 양주시로 원자료 자체가 불일치한다. 연번 1794는 주소 오탈자('충정남도')로 인한 미분류가 함께 잡힌 것이다. 두 건 다 집계용 전용 시도 열을 적용하고 원자료 불일치를 보존한다."
분자 2016,시도 수,17,17,PASS,
분자 2016,시도별 합계,1828,1828,PASS,
분자 2016,기업 분류별 합계,"{'대기업': 285, '중소기업': 983, '공공기관': 560}","{'중소기업': 983, '공공기관': 560, '대기업': 285}",PASS,
"분모 2016(지역, 2016년 실측 반영)",파일 크기 bytes,11156,11156,PASS,
"분모 2016(지역, 2016년 실측 반영)",SHA-256,fe69a2b1c4903ad408904a8ba185fa7f1bc51fa74f289492f6be071a181e0acb,fe69a2b1c4903ad408904a8ba185fa7f1bc51fa74f289492f6be071a181e0acb,PASS,
"분모 2016(지역, 2016년 실측 반영)",전체·17개 시도 행 수,18,18,PASS,
"분모 2016(지역, 2016년 실측 반영)",지역 미분류,0,0,PASS,
"분모 2016(지역, 2016년 실측 반영)",지역 중복,0,0,PASS,
"분모 2016(지역, 2016년 실측 반영)",시도 수,17,17,PASS,
"분모 2016(지역, 2016년 실측 반영)",2016 시도 합=전국,1950338,1950338,PASS,
"분모 2016(지역, 2016년 실측 반영)",2016 양의 사업체 수,17,17,PASS,
2016 지역별 후보,행 수,17,17,PASS,
2016 지역별 후보,지역 집합,"{'인천', '강원', '충남', '전북', '경남', '경북', '부산', '서울', '대전', '충북', '대구', '경기', '세종', '제주', '전남', '울산', '광주'}","{'인천', '강원', '충남', '전북', '경남', '경북', '부산', '서울', '대전', '충북', '대구', '경기', '세종', '제주', '전남', '울산', '광주'}",PASS,
2016 지역별 후보,분자 합계,1828,1828,PASS,
2016 지역별 후보,분자 결측,0,0,PASS,
2016 지역별 후보,분모 결측,0,0,PASS,
2016 지역별 후보,산식 일치,True,True,PASS,
