지역,지표_id,연도,공식_분자,사업체수_분모,측정값,분자_출처,분모_출처,반영유형,관측상태,QA_상태
서울,family_friendly_certification_rate,2016,532,437391,0.12163030332128463,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2016,123,136782,0.08992411282186252,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2016,56,94609,0.05919098605840882,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2016,64,92664,0.0690667357334024,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2016,29,57826,0.05015045135406219,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2016,145,54796,0.2646178553179064,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2016,18,39720,0.045317220543806644,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2016,21,6376,0.32936010037641156,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2016,291,468641,0.06209443902688838,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2016,50,57069,0.08761324011284585,가족친화인증기업_기관 명단-1_828개-2016년 말 기준-지역(시도_시군구) 포함.xlsx,2016_시도별__산업별__규모별__사업체수_및_종사자수_성별__20260715194020.csv.xlsx::열=2016;산업분류별=전체;규모별=전규모,공식 원자료 직접 복원,관측,PASS
