지역,지표_id,연도,반영전값,반영후값,반영유형,관측상태,QA_상태
서울,family_friendly_certification_rate,2016,,0.12163030332128463,공식 원자료 직접 복원,관측,PASS
부산,family_friendly_certification_rate,2016,,0.08992411282186252,공식 원자료 직접 복원,관측,PASS
대구,family_friendly_certification_rate,2016,,0.05919098605840882,공식 원자료 직접 복원,관측,PASS
인천,family_friendly_certification_rate,2016,,0.0690667357334024,공식 원자료 직접 복원,관측,PASS
광주,family_friendly_certification_rate,2016,,0.05015045135406219,공식 원자료 직접 복원,관측,PASS
대전,family_friendly_certification_rate,2016,,0.2646178553179064,공식 원자료 직접 복원,관측,PASS
울산,family_friendly_certification_rate,2016,,0.045317220543806644,공식 원자료 직접 복원,관측,PASS
세종,family_friendly_certification_rate,2016,,0.32936010037641156,공식 원자료 직접 복원,관측,PASS
경기,family_friendly_certification_rate,2016,,0.06209443902688838,공식 원자료 직접 복원,관측,PASS
강원,family_friendly_certification_rate,2016,,0.08761324011284585,공식 원자료 직접 복원,관측,PASS
충북,family_friendly_certification_rate,2016,,0.20110872112341077,공식 원자료 직접 복원,관측,PASS
충남,family_friendly_certification_rate,2016,,0.11986693423480452,공식 원자료 직접 복원,관측,PASS
전북,family_friendly_certification_rate,2016,,0.057198509746935244,공식 원자료 직접 복원,관측,PASS
전남,family_friendly_certification_rate,2016,,0.09586672953009587,공식 원자료 직접 복원,관측,PASS
경북,family_friendly_certification_rate,2016,,0.05646346920077557,공식 원자료 직접 복원,관측,PASS
경남,family_friendly_certification_rate,2016,,0.10032443628184694,공식 원자료 직접 복원,관측,PASS
제주,family_friendly_certification_rate,2016,,0.07339449541284404,공식 원자료 직접 복원,관측,PASS
