지역,지표_id,연도,반영전값,반영후값,방법,근거,반영유형,관측상태,QA_상태
강원,family_friendly_certification_rate,2017,,0.11728822414392329,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경기,family_friendly_certification_rate,2017,,0.08879487764602789,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경남,family_friendly_certification_rate,2017,,0.12034218537438823,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경북,family_friendly_certification_rate,2017,,0.09230312030568244,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
광주,family_friendly_certification_rate,2017,,0.07998174895374385,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
대구,family_friendly_certification_rate,2017,,0.08547395384374978,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
대전,family_friendly_certification_rate,2017,,0.43993036587371287,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
부산,family_friendly_certification_rate,2017,,0.12262714266200966,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
서울,family_friendly_certification_rate,2017,,0.1717869618637582,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
세종,family_friendly_certification_rate,2017,,0.6803687394602942,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
울산,family_friendly_certification_rate,2017,,0.08172917545276367,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
인천,family_friendly_certification_rate,2017,,0.1008609738783356,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
전남,family_friendly_certification_rate,2017,,0.13883589590109358,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
전북,family_friendly_certification_rate,2017,,0.11255351741279505,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
제주,family_friendly_certification_rate,2017,,0.1403553891279159,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
충남,family_friendly_certification_rate,2017,,0.20054342328017807,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
충북,family_friendly_certification_rate,2017,,0.32129399224513194,raking,"2016·2018 지역 분자 선형보간 후 전국 실측 분자 합계(2,802)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
강원,family_friendly_certification_rate,2019,,0.14531756181560643,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경기,family_friendly_certification_rate,2019,,0.11789065912700333,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경남,family_friendly_certification_rate,2019,,0.12796315240837286,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
경북,family_friendly_certification_rate,2019,,0.1363724394069465,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
광주,family_friendly_certification_rate,2019,,0.12201924218308527,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
대구,family_friendly_certification_rate,2019,,0.11565911129267505,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
대전,family_friendly_certification_rate,2019,,0.5117402846649857,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
부산,family_friendly_certification_rate,2019,,0.153295821898713,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
서울,family_friendly_certification_rate,2019,,0.22711361010909598,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
세종,family_friendly_certification_rate,2019,,0.7576725195496509,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
울산,family_friendly_certification_rate,2019,,0.11858458185603798,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
인천,family_friendly_certification_rate,2019,,0.13105123534520952,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
전남,family_friendly_certification_rate,2019,,0.1789248483922787,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
전북,family_friendly_certification_rate,2019,,0.1532039249070179,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
제주,family_friendly_certification_rate,2019,,0.2156781731607228,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
충남,family_friendly_certification_rate,2019,,0.24746305432911914,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
충북,family_friendly_certification_rate,2019,,0.3852633233418196,raking,"2018·2020 지역 분자 선형보간 후 전국 실측 분자 합계(3,833)로 raking","raking 추정치 반영(본계열, 이슈 #70 팀 결정 2026-08-06)",추정,PASS
