구분,검증항목,기대값,실제값,판정,비고
2018 분자,지역 수,17,17,PASS,
2018 분자,합계,3328,3328,PASS,
분모 2017-2023,파일 크기 bytes,11852,11852,PASS,
분모 2017-2023,SHA-256,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,9e85827feb15d98ecf0f9d9b3b8af9f9a5316b50ac4e1a763f75281decf00702,PASS,
분모 2017-2023,전체·17개 시도 행 수,18,18,PASS,
분모 2017-2023,지역 미분류,0,0,PASS,
분모 2017-2023,지역 중복,0,0,PASS,
분모 2017-2023,시도 수,17,17,PASS,
분모 2017-2023,2017 시도 합=전국,2017707,2017707,PASS,
분모 2017-2023,2017 양의 사업체 수,17,17,PASS,
분모 2017-2023,2019 시도 합=전국,2146156,2146156,PASS,
분모 2017-2023,2019 양의 사업체 수,17,17,PASS,
2017 raking,raked 분자 합계,2802,2802.0,PASS,
2017 raking,지역 수,17,17,PASS,
2017 raking,음수·NA 없음,0,0,PASS,
2019 raking,raked 분자 합계,3833,3833.0,PASS,
2019 raking,지역 수,17,17,PASS,
2019 raking,음수·NA 없음,0,0,PASS,
전체,총 행 수,34,34,PASS,
전체,고유 지역×연도,34,34,PASS,
전체,음수·NA 비율 없음,0,0,PASS,
