,가사수행 격차,경제적 여건,고용여건,돌봄여건,사회적 가치관,산후조리 여건,아동안전 수준,여가 인프라,의료서비스 여건,일·가정 양립 여건,주거 안정성
가사수행 격차,1.0,0.42483307268683157,0.08590883150524657,-0.1219285253287999,0.5274250320809772,-0.19062602803061354,0.03239119707250313,0.1948685139240989,-0.2760320000681518,0.22063946387976632,0.2536308021552723
경제적 여건,0.42483307268683157,1.0,0.05530016480550078,0.06292273801703156,0.12930237045469703,-0.18786333558637333,-0.05557370071065153,0.3593134466967119,-0.49171927790516223,0.2056641608880458,0.2371857420986332
고용여건,0.08590883150524657,0.05530016480550078,1.0,-0.050068925494050766,0.09254653396556449,-0.11503322674458923,0.06780972924013624,0.17406918278945976,0.00453736567366707,0.05139438372843317,-0.2898787711616481
돌봄여건,-0.1219285253287999,0.06292273801703156,-0.050068925494050766,1.0,-0.3582517653605252,-0.28552973123995834,-0.12071333976469968,-0.01486199056104446,-0.12451531138898812,0.13308652655267175,0.1709655414818878
사회적 가치관,0.5274250320809772,0.12930237045469703,0.09254653396556449,-0.3582517653605252,1.0,0.16074757635008308,0.3189253443630133,0.0035755980746514995,-0.10611556433942329,0.01797795809215091,0.11627919460711253
산후조리 여건,-0.19062602803061354,-0.18786333558637333,-0.11503322674458923,-0.28552973123995834,0.16074757635008308,1.0,0.15478826461632467,-0.21851229342539172,0.21195259489549056,-0.26731416629947546,-0.17215178362816677
아동안전 수준,0.03239119707250313,-0.05557370071065153,0.06780972924013624,-0.12071333976469968,0.3189253443630133,0.15478826461632467,1.0,-0.038349841654925554,-0.03764525814355347,0.06992925680178236,0.06108674555670628
여가 인프라,0.1948685139240989,0.3593134466967119,0.17406918278945976,-0.01486199056104446,0.0035755980746514995,-0.21851229342539172,-0.038349841654925554,1.0,-0.3389502787914025,0.08156798331094114,0.1731349421369836
의료서비스 여건,-0.2760320000681518,-0.49171927790516223,0.00453736567366707,-0.12451531138898812,-0.10611556433942329,0.21195259489549056,-0.03764525814355347,-0.3389502787914025,1.0,-0.018331790599065083,-0.2577560393634251
일·가정 양립 여건,0.22063946387976632,0.2056641608880458,0.05139438372843317,0.13308652655267175,0.01797795809215091,-0.26731416629947546,0.06992925680178236,0.08156798331094114,-0.018331790599065083,1.0,0.2693729664709523
주거 안정성,0.2536308021552723,0.2371857420986332,-0.2898787711616481,0.1709655414818878,0.11627919460711253,-0.17215178362816677,0.06108674555670628,0.1731349421369836,-0.2577560393634251,0.2693729664709523,1.0
