,가사수행 격차,경제적 여건,고용여건,돌봄여건,사회적 가치관,산후조리 여건,아동안전 수준,여가 인프라,의료서비스 여건,일·가정 양립 여건,주거 안정성
가사수행 격차,1.0,0.531504305285009,0.24902575235952834,0.3998263147076342,0.4451206658955698,0.07321418500205522,0.04173477551366911,0.5249712008645521,-0.04232483051618222,0.5384778494236315,0.008278705497459212
경제적 여건,0.531504305285009,1.0,0.3156674988504525,0.22710030424945077,0.1224246592933427,0.16086491145075718,0.5879990118159327,0.5603135765347033,0.048571679373901305,0.8740727520197392,-0.33494495195205626
고용여건,0.24902575235952834,0.3156674988504525,1.0,-0.13717008326521923,-0.12661977315542047,-0.01499890286788108,0.09513647195406094,0.1249862926937512,0.0013222693239405368,0.29051072705137365,-0.23445531884255746
돌봄여건,0.3998263147076342,0.22710030424945077,-0.13717008326521923,1.0,0.7736862828790682,0.3304941855166321,-0.12490694449777977,0.4936231747310442,-0.38420406304803933,0.15678261686701844,0.6073509542240585
사회적 가치관,0.4451206658955698,0.1224246592933427,-0.12661977315542047,0.7736862828790682,1.0,0.3353046016121967,-0.11728053240340855,0.46010514733706903,-0.26243211510384806,0.15003568825999175,0.5815366536661515
산후조리 여건,0.07321418500205522,0.16086491145075718,-0.01499890286788108,0.3304941855166321,0.3353046016121967,1.0,0.039269722322831165,0.5783740578463985,-0.4984924727685648,0.23304491275046713,0.33038883293860766
아동안전 수준,0.04173477551366911,0.5879990118159327,0.09513647195406094,-0.12490694449777977,-0.11728053240340855,0.039269722322831165,1.0,0.09756361436952168,0.20992139111851651,0.4831713890993371,-0.34935512115396844
여가 인프라,0.5249712008645521,0.5603135765347033,0.1249862926937512,0.4936231747310442,0.46010514733706903,0.5783740578463985,0.09756361436952168,1.0,-0.38417040692348237,0.6007420623941191,0.11236204651518564
의료서비스 여건,-0.04232483051618222,0.048571679373901305,0.0013222693239405368,-0.38420406304803933,-0.26243211510384806,-0.4984924727685648,0.20992139111851651,-0.38417040692348237,1.0,0.1607240482826265,-0.3805872738990919
일·가정 양립 여건,0.5384778494236315,0.8740727520197392,0.29051072705137365,0.15678261686701844,0.15003568825999175,0.23304491275046713,0.4831713890993371,0.6007420623941191,0.1607240482826265,1.0,-0.34577229684679667
주거 안정성,0.008278705497459212,-0.33494495195205626,-0.23445531884255746,0.6073509542240585,0.5815366536661515,0.33038883293860766,-0.34935512115396844,0.11236204651518564,-0.3805872738990919,-0.34577229684679667,1.0
