,가사수행 격차,경제적 여건,고용여건,돌봄여건,사회적 가치관,산후조리 여건,아동안전 수준,여가 인프라,의료서비스 여건,일·가정 양립 여건,주거 안정성
가사수행 격차,1.0,0.49081363726459687,0.24221376082843823,0.3918468549799897,0.33532169976358833,0.1453381896369061,-0.0035594257242702798,0.5346394854477967,-0.21287343289871977,0.49453561680019215,-0.038909014343741694
경제적 여건,0.49081363726459687,1.0,0.2942602950059124,0.23976049750043557,0.09940962030745312,0.17802527709648452,0.5789172128181416,0.596819589079651,0.050135365150845025,0.8813645075254982,-0.31695549033010334
고용여건,0.24221376082843823,0.2942602950059124,1.0,-0.14573377438736834,-0.13500172138382213,-0.03939330226746576,0.08368689411272932,0.1577055587712805,-0.02210407544938944,0.2467048693801455,-0.2219789295925497
돌봄여건,0.3918468549799897,0.23976049750043557,-0.14573377438736834,1.0,0.7698691916958171,0.434518783589991,-0.13688298285821507,0.5241747416670017,-0.3214386232962084,0.16958840952649,0.7011680270194202
사회적 가치관,0.33532169976358833,0.09940962030745312,-0.13500172138382213,0.7698691916958171,1.0,0.39572192513368987,-0.13797528580810314,0.5014039108466353,-0.25868146301582834,0.12190234945652903,0.6298332730221275
산후조리 여건,0.1453381896369061,0.17802527709648452,-0.03939330226746576,0.434518783589991,0.39572192513368987,1.0,-0.03970822778872315,0.6370974227011379,-0.48808853685014675,0.23193344323375284,0.3786605551311434
아동안전 수준,-0.0035594257242702798,0.5789172128181416,0.08368689411272932,-0.13688298285821507,-0.13797528580810314,-0.03970822778872315,1.0,0.13643735005964108,0.2639151354321633,0.4728666586251726,-0.38235629179901626
여가 인프라,0.5346394854477967,0.596819589079651,0.1577055587712805,0.5241747416670017,0.5014039108466353,0.6370974227011379,0.13643735005964108,1.0,-0.4320024660581936,0.5765818289038104,0.18613378365700348
의료서비스 여건,-0.21287343289871977,0.050135365150845025,-0.02210407544938944,-0.3214386232962084,-0.25868146301582834,-0.48808853685014675,0.2639151354321633,-0.4320024660581936,1.0,0.11270153994612199,-0.37200621875544476
일·가정 양립 여건,0.49453561680019215,0.8813645075254982,0.2467048693801455,0.16958840952649,0.12190234945652903,0.23193344323375284,0.4728666586251726,0.5765818289038104,0.11270153994612199,1.0,-0.38355581467036576
주거 안정성,-0.038909014343741694,-0.31695549033010334,-0.2219789295925497,0.7011680270194202,0.6298332730221275,0.3786605551311434,-0.38235629179901626,0.18613378365700348,-0.37200621875544476,-0.38355581467036576,1.0
