,가사수행 격차,경제적 여건,고용여건,돌봄여건,사회적 가치관,산후조리 여건,아동안전 수준,여가 인프라,의료서비스 여건,일·가정 양립 여건,주거 안정성
가사수행 격차,1.0,0.6949204488456329,0.44159336689808826,0.5130123261218434,0.49336742157175606,0.49923407579234236,0.3143955896086791,0.6736729892135198,-0.18835799040217274,0.668035355382539,-0.2768260783945797
경제적 여건,0.6949204488456329,1.0,0.4000502900063315,0.9008320276952417,0.3402023705628248,0.78393877524263,0.6771429055900575,0.9073993121500686,-0.044569614114443774,0.9519557886226819,-0.6028552012402638
고용여건,0.44159336689808826,0.4000502900063315,1.0,0.21433992653999126,0.18403840647907863,0.3604455958358536,-0.06429122864516376,0.521927997457629,-0.04170188609564408,0.38693905888313607,-0.22589813149646623
돌봄여건,0.5130123261218434,0.9008320276952417,0.21433992653999126,1.0,0.20613162675346441,0.6891755850494886,0.7563744134152326,0.7788180907318839,0.02266684723508624,0.887703820556427,-0.581936914560249
사회적 가치관,0.49336742157175606,0.3402023705628248,0.18403840647907863,0.20613162675346441,1.0,0.231948421649918,0.29701510815074206,0.30201811795340544,-0.10178872437224465,0.31897516877752474,-0.04783120713204814
산후조리 여건,0.49923407579234236,0.78393877524263,0.3604455958358536,0.6891755850494886,0.231948421649918,1.0,0.6094138720447908,0.7228173697296285,0.1378551120482374,0.7732782754919199,-0.6043073676198167
아동안전 수준,0.3143955896086791,0.6771429055900575,-0.06429122864516376,0.7563744134152326,0.29701510815074206,0.6094138720447908,1.0,0.5288209851661848,0.10137093466675844,0.6445144103081644,-0.5291885461983407
여가 인프라,0.6736729892135198,0.9073993121500686,0.521927997457629,0.7788180907318839,0.30201811795340544,0.7228173697296285,0.5288209851661848,1.0,-0.11440706229251127,0.8881469036834342,-0.47099739692990744
의료서비스 여건,-0.18835799040217274,-0.044569614114443774,-0.04170188609564408,0.02266684723508624,-0.10178872437224465,0.1378551120482374,0.10137093466675844,-0.11440706229251127,1.0,0.02064682478143003,-0.24962609751110504
일·가정 양립 여건,0.668035355382539,0.9519557886226819,0.38693905888313607,0.887703820556427,0.31897516877752474,0.7732782754919199,0.6445144103081644,0.8881469036834342,0.02064682478143003,1.0,-0.5566878725881573
주거 안정성,-0.2768260783945797,-0.6028552012402638,-0.22589813149646623,-0.581936914560249,-0.04783120713204814,-0.6043073676198167,-0.5291885461983407,-0.47099739692990744,-0.24962609751110504,-0.5566878725881573,1.0
