지역,연도,대영역_합계_백만원,세부영역_합계_백만원,차이_백만원,일치
강원,2016,966330.0,966330.0,0.0,True
경기,2016,4814583.0,4814583.0,0.0,True
경남,2016,1481184.0,1481184.0,0.0,True
경북,2016,1659180.0,1659180.0,0.0,True
광주,2016,1102184.9,1102184.9,0.0,True
대구,2016,774602.0,774602.0,0.0,True
대전,2016,709547.0,709547.0,0.0,True
부산,2016,1757736.5299999998,1757736.53,-2.3283064365386963e-10,True
서울,2016,4173074.0,4173074.0,0.0,True
세종,2016,97707.0,97707.0,0.0,True
울산,2016,577145.0,577145.0,0.0,True
인천,2016,1094772.2,1094772.2,0.0,True
전남,2016,1883686.0,1883686.0,0.0,True
전북,2016,1401390.0,1401390.0,0.0,True
제주,2016,542630.0,542630.0,0.0,True
충남,2016,1317305.0,1317305.0,0.0,True
충북,2016,1198606.0,1198606.0,0.0,True
강원,2017,1189656.0,1189656.0,0.0,True
경기,2017,5514545.0,5514545.0,0.0,True
경남,2017,1707499.35,1707499.35,0.0,True
경북,2017,1817693.0,1817693.0,0.0,True
광주,2017,1244520.8,1244520.8,0.0,True
대구,2017,959658.5,959658.5,0.0,True
대전,2017,935218.2000000001,935218.2,1.1641532182693481e-10,True
부산,2017,3477747.6,3477747.6,0.0,True
서울,2017,4761473.0,4761473.0,0.0,True
세종,2017,89445.0,89445.0,0.0,True
울산,2017,2222729.4,2222729.4,0.0,True
인천,2017,1161639.0,1161639.0,0.0,True
전남,2017,1197280.0,1197280.0,0.0,True
전북,2017,1500137.7000000002,1500137.7000000002,0.0,True
제주,2017,542097.0,542097.0,0.0,True
충남,2017,1301513.7999999998,1301513.7999999998,0.0,True
충북,2017,1184144.7,1184144.7,0.0,True
강원,2018,1070709.0,1070709.0,0.0,True
경기,2018,7061650.0,7061650.0,0.0,True
경남,2018,1999188.0,1999188.0,0.0,True
경북,2018,2487285.0,2487285.0,0.0,True
광주,2018,3239297.36,3239297.36,0.0,True
대구,2018,1446836.0,1446836.0,0.0,True
대전,2018,997696.3999999999,997696.4,-1.1641532182693481e-10,True
부산,2018,2341626.0,2341626.0,0.0,True
서울,2018,5912413.0,5912413.0,0.0,True
세종,2018,104743.0,104743.0,0.0,True
울산,2018,948045.0,948045.0,0.0,True
인천,2018,1453723.0,1453723.0,0.0,True
전남,2018,1647546.0,1647546.0,0.0,True
전북,2018,1629235.5,1629235.5,0.0,True
제주,2018,2211904.0,2211904.0,0.0,True
충남,2018,1308334.9,1308334.9000000001,-2.3283064365386963e-10,True
충북,2018,1087783.0,1087783.0,0.0,True
강원,2019,1610182.0,1610182.0,0.0,True
경기,2019,8641670.0,8641670.0,0.0,True
경남,2019,2831100.0,2831100.0,0.0,True
경북,2019,2232261.0,2232261.0,0.0,True
광주,2019,1088029.0,1088029.0,0.0,True
대구,2019,1765898.0,1765898.0,0.0,True
대전,2019,685088.0,685088.0,0.0,True
부산,2019,2525413.0,2525413.0,0.0,True
서울,2019,5907309.0,5907309.0,0.0,True
세종,2019,129545.0,129545.0,0.0,True
울산,2019,356752.0,356752.0,0.0,True
인천,2019,2137311.0,2137311.0,0.0,True
전남,2019,1540331.0,1540331.0,0.0,True
전북,2019,1908798.0,1908798.0,0.0,True
제주,2019,689085.0,689085.0,0.0,True
충남,2019,1809236.0,1809236.0,0.0,True
충북,2019,1216343.0,1216343.0,0.0,True
강원,2020,1479594.0,1479594.0,0.0,True
경기,2020,10166623.0,10166623.0,0.0,True
경남,2020,1717208.36,1717208.36,0.0,True
경북,2020,2646517.0,2646517.0,0.0,True
광주,2020,194720.0,194720.0,0.0,True
대구,2020,1929459.0,1929459.0,0.0,True
대전,2020,1247751.0,1247751.0,0.0,True
부산,2020,3494318.0,3494318.0,0.0,True
서울,2020,6677517.0,6677517.0,0.0,True
세종,2020,209363.0,209363.0,0.0,True
울산,2020,1240133.6,1240133.6,0.0,True
인천,2020,2761790.0,2761790.0,0.0,True
전남,2020,1840688.0,1840688.0,0.0,True
전북,2020,2018401.0,2018401.0,0.0,True
제주,2020,816440.0,816440.0,0.0,True
충남,2020,1425058.0,1425058.0,0.0,True
충북,2020,1730007.0,1730007.0,0.0,True
강원,2021,1968341.0,1968341.0,0.0,True
경기,2021,10065813.95,10065813.95,0.0,True
경남,2021,3255588.142,3255588.142,0.0,True
경북,2021,3199705.6,3199705.6,0.0,True
광주,2021,824741.7,824741.7,0.0,True
대구,2021,2164115.0,2164115.0,0.0,True
대전,2021,1337995.0,1337995.0,0.0,True
부산,2021,3944822.0999999996,3944822.0999999996,0.0,True
서울,2021,7529092.0,7529092.0,0.0,True
세종,2021,175466.0,175466.0,0.0,True
울산,2021,977844.0,977844.0,0.0,True
인천,2021,3305518.2,3305518.2,0.0,True
전남,2021,1966392.4200000002,1966392.4200000002,0.0,True
전북,2021,2200038.999,2200038.999,0.0,True
제주,2021,704514.0,704514.0,0.0,True
충남,2021,1253034.0,1253034.0,0.0,True
충북,2021,1856518.6400000001,1856518.6400000001,0.0,True
강원,2022,1320745.8,1320745.8,0.0,True
경기,2022,9215575.7,9215575.700000001,-1.862645149230957e-09,True
경남,2022,3325544.7,3325544.7,0.0,True
경북,2022,3356569.7,3356569.7,0.0,True
광주,2022,870927.5,870927.5,0.0,True
대구,2022,2523629.0,2523629.0,0.0,True
대전,2022,1500606.2999999998,1500606.2999999998,0.0,True
부산,2022,5106355.1,5106355.1,0.0,True
서울,2022,7957659.9,7957659.9,0.0,True
세종,2022,231310.4,231310.4,0.0,True
울산,2022,938106.0,938106.0,0.0,True
인천,2022,4451688.0,4451688.0,0.0,True
전남,2022,2258897.4,2258897.4,0.0,True
전북,2022,2540795.1,2540795.1,0.0,True
제주,2022,913167.7,913167.7,0.0,True
충남,2022,1666990.0,1666990.0,0.0,True
충북,2022,1864639.7,1864639.7,0.0,True
강원,2023,2579093.0,2579093.0,0.0,True
경기,2023,12285412.0,12285412.0,0.0,True
경남,2023,3893879.0,3893879.0,0.0,True
경북,2023,3406826.0,3406826.0,0.0,True
광주,2023,1223803.0,1223803.0,0.0,True
대구,2023,2696432.0,2696432.0,0.0,True
대전,2023,1222344.0,1222344.0,0.0,True
부산,2023,4317819.0,4317819.0,0.0,True
서울,2023,8314712.0,8314712.0,0.0,True
세종,2023,318453.0,318453.0,0.0,True
울산,2023,3219772.0,3219772.0,0.0,True
인천,2023,4389696.0,4389696.0,0.0,True
전남,2023,2712169.0,2712169.0,0.0,True
전북,2023,2695319.0,2695319.0,0.0,True
제주,2023,1002935.0,1002935.0,0.0,True
충남,2023,1693900.0,1693900.0,0.0,True
충북,2023,1875132.0,1875132.0,0.0,True
강원,2024,2540007.0,2540007.0,0.0,True
경기,2024,13821287.0,13821287.0,0.0,True
경남,2024,4041141.0,4041141.0,0.0,True
경북,2024,4062706.0,4062706.0,0.0,True
광주,2024,1240977.0,1240977.0,0.0,True
대구,2024,2848338.0,2848338.0,0.0,True
대전,2024,1676350.0,1676350.0,0.0,True
부산,2024,4796613.0,4796613.0,0.0,True
서울,2024,4872683.0,4872683.0,0.0,True
세종,2024,329034.0,329034.0,0.0,True
울산,2024,1273043.0,1273043.0,0.0,True
인천,2024,4721370.0,4721370.0,0.0,True
전남,2024,2621833.0,2621833.0,0.0,True
전북,2024,2862745.0,2862745.0,0.0,True
제주,2024,1047248.0,1047248.0,0.0,True
충남,2024,1060854.0,1060854.0,0.0,True
충북,2024,2209471.0,2209471.0,0.0,True
