지역,대분류,중분류,원본_소계값,원본_소계출처,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과
강원,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,471504.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅰ. 공통사업,2. 고령화 대책(공통사업),,중분류제목행,496930.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅰ. 공통사업,3. 대응기반 강화(공통사업),,중분류제목행,54348.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,79403.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅱ. 지자체 자체사업,2. 고령화대책(자체사업),,중분류제목행,86492.0,,,,,양쪽존재,판정불가,판정불가
강원,Ⅱ. 지자체 자체사업,3. 대응기반 강화(자체사업),,중분류제목행,979.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,2363582.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,2. 고령사회 대책(공통사업),,중분류제목행,2110431.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅰ. 공통사업,"3. 저출산･고령사회
대응기반 강화(공통사업)",,중분류제목행,50.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,1. 저출산 대책(자체사업),,중분류제목행,673094.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,2. 고령사회 대책(자체사업),,중분류제목행,367123.0,,,,,양쪽존재,판정불가,판정불가
경기,Ⅱ. 지자체 자체사업,3. 저출산･고령사회 대응기반 강화(자체사업),,중분류제목행,265.0,,,,,양쪽존재,판정불가,판정불가
경남,Ⅰ. 공통사업,1. 저출산 대책(공통사업),,중분류제목행,753348.0,,,,,양쪽존재,판정불가,판정불가
경남,Ⅰ. 공통사업,2. 고령화 대책(공통사업),664503.0,중분류제목행,862581.0,198078.0,198078.0,29.81,29.81,양쪽존재,불일치,초과
