연도,지역,원본행,세부사업명,주요내용,주요내용_정제,자동검출사유,사람검토결과,조치내용,TFIDF_영향
2018,서울,181.0,"성평등, 가정친화 서울형 강소기업 선정, 지원(신규)",성평등·가정친화 기업「서울형 강 소기업」선정·지원：100개 기업,성평등 가정친화 기업「서울형 강소기업」선정 지원：100개 기업,고유명사 불일치,의미보존 확인,"단어 내부 공백 제거와 구분 기호 정규화",예측 입력 유지
2018,부산,756.0,아동 실종·유괴 및 성폭력 예방 인형극,아동 실종·유괴 및 성폭력 예방 인형극,아동 실종 유괴 및 성폭력 예방 인형극,고유명사 불일치,의미보존 확인,"나열 구분 기호 제거",예측 입력 유지
2018,대구,1470.0,대구청년센터 운영,주요사업 - 제3기 청년정책연구플랫폼 ‘청년 N’ 운영 - 청년커뮤니티활성화 ‘다모디라’ 및 대구 청년학교 - 대구청년포털 ‘젊프 운영 - 청년의 ‘속 고민’을 들어줄 청년상담소 운영 - 청년사업장-청년잇기사업,주요사업 - 제3기 청년정책연구플랫폼 ‘청년 N’ 운영 - 청년커뮤니티활성화 ‘다모디라’ 및 대구 청년학교 - 대구청년포털 ‘젊프’ 운영 - 청년의 ‘속 고민’을 들어줄 청년상담소 운영 - 청년사업장-청년잇기사업,고유명사 불일치,의미보존 확인,"누락된 닫는 따옴표 복원",예측 입력 유지
2018,광주,2554.0,학교밖청소년사업 지원,학교·가정으로부터 소외된 위기·학교 밖 청소년에게 급식제공통해 생계형 범죄예방 및 건강한 성장 여건 조성,학교 가정으로부터 소외된 위기 학교 밖 청소년에게 급식제공통해 생계형 범죄예방 및 건강한 성장 여건 조성,고유명사 불일치,의미보존 확인,"나열 구분 기호 제거",예측 입력 유지
2018,울산,3509.0,맞춤형 방과후 학교 운영,"돌봄교실 전담인력 인건비 및 운영비 -오후돌봄 240실. 저녁돌봄 39실, 방 과후학교 연계형돌봄교실 36실 운영","돌봄교실 전담인력 인건비 및 운영비 -오후돌봄 240실. 저녁돌봄 39실, 방과 후학교 연계형돌봄교실 36실 운영",고유명사 불일치,의미보존 확인,"OCR성 단어 내부 공백 위치 정리",예측 입력 유지
2018,세종,3755.0,학생/원아보호인력 (배움터· 안전 지킴이 운영),유치원 안심지키미 37명 배치·운영 초·중·고등학교 배움터지키미 132명 배치·운영,유치원 안심지키미 37명 배치 운영 초 중 고등학교 배움터지키미 132명 배치 운영,고유명사 불일치,의미보존 확인,"나열·연결 구분 기호 제거",예측 입력 유지
2018,경기,3953.0,치매에 대한 대응체계 강화,"사업내용 : 치매 예방 및 교육, 조기검 진, 치료비 지원 등「치매통합관리 서 비스」제공 (기대효과)치매 중증화 억제 및 사회적 비용 경감, 치매환자·가족의 삶의 질 향상","사업내용 : 치매 예방 및 교육, 조기검진, 치료비 지원 등「치매통합관리 서비스」제공 (기대효과)치매 중증화 억제 및 사회적 비용 경감, 치매환자 가족의 삶의 질 향상",고유명사 불일치,의미보존 확인,"단어 내부 공백 제거와 연결 기호 정규화",예측 입력 유지
2018,경기,4108.0,중소벤처육성지원센터 지원(항공대),중소벤터육성지원센터 운영비 지원,중소벤처육성지원센터 운영비 지원,고유명사 불일치,의미보존 확인,"사업명 문맥에 따라 오탈자 `중소벤터`를 `중소벤처`로 교정",예측 입력 유지
2018,경기,4199.0,출산장려금 상향 지급(조례개정중),"둘째아 이상 출산시 축하금 지급 (둘째 5십만원,셋째 1백만원, 넷째3백 만원, 다섯째아이상 5백만원)","둘째아 이상 출산시 축하금 지급 (둘째 5십만원, 셋째 1백만원, 넷째 3백만원, 다섯째아이상 5백만원)",금액·퍼센트·범위 불일치,의미보존 확인,"금액 앞 공백과 쉼표 뒤 공백 정규화",예측 입력 유지
2018,경기,4587.0,어린이집지원 보육환경 개선,어린이집 아동 간식비 : 482백만원 어린이집 전기가스 안전점검비 : 8.5백 만원 어린이집 난방비 :146백만원,어린이집 아동 간식비 : 482백만원 어린이집 전기가스 안전점검비 : 8.5백만원 어린이집 난방비 : 146백만원,금액·퍼센트·범위 불일치,의미보존 확인,"금액 단위 내부와 콜론 뒤 공백 정규화",예측 입력 유지
