지역,대분류,중분류,원본_소계값,원본_소계출처,leaf_합계,차이,절대차이,오차율(%),절대오차율(%),QA_병합상태,결과,허용기준결과,판정불가_사유
강원,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),640662.0,별도소계행,640538,-124.0,124.0,-0.02,0.02,양쪽존재,불일치,허용,
강원,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),753171.0,별도소계행,753171,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
강원,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),398.0,별도소계행,398,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
강원,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),116209.0,별도소계행,116210,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
강원,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),98743.0,별도소계행,98743,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
강원,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),1122.0,별도소계행,1122,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경기,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),4279539.0,별도소계행,4279539,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경기,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),3013895.0,별도소계행,3013895,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경기,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
경기,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),806708.0,별도소계행,806715,7.0,7.0,0.0,0.0,양쪽존재,불일치,허용,
경기,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),520135.0,별도소계행,520136,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
경기,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),21346.0,별도소계행,21346,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경남,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),1281969.0,별도소계행,1282321,352.0,352.0,0.03,0.03,양쪽존재,불일치,허용,
경남,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),1269795.0,별도소계행,1269795,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경남,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
경남,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),231780.0,별도소계행,231781,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
경남,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),40357.0,별도소계행,40358,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
경남,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),6806.0,별도소계행,6806,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경북,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),794352.0,별도소계행,794352,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경북,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),1249773.0,별도소계행,1249772,-1.0,1.0,-0.0,0.0,양쪽존재,불일치,허용,
경북,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),,중분류제목행,39,,,,,양쪽존재,판정불가,판정불가,원본 소계값 결측
경북,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),117356.0,별도소계행,117359,3.0,3.0,0.0,0.0,양쪽존재,불일치,허용,
경북,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),68206.0,별도소계행,68206,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
경북,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),2533.0,별도소계행,2533,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
광주,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),567062.0,별도소계행,567062,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
광주,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),400246.0,별도소계행,400246,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
광주,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),52669.0,별도소계행,52668,-1.0,1.0,-0.0,0.0,양쪽존재,불일치,허용,
광주,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),67761.0,별도소계행,67762,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
광주,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),291.0,별도소계행,291,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대구,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),629388.0,별도소계행,629388,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대구,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),791279.0,별도소계행,791279,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대구,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),226290.0,별도소계행,226290,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대구,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),118552.0,별도소계행,118553,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
대구,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),388.0,별도소계행,388,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대전,Ⅰ. 공통사업,1. 함께 돌보고 함께 일하는 사회(공통사업),206832.0,별도소계행,206831,-1.0,1.0,-0.0,0.0,양쪽존재,불일치,허용,
대전,Ⅰ. 공통사업,2. 함께 만들어가는 행복한 노후(공통사업),416986.0,별도소계행,416986,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대전,Ⅰ. 공통사업,3. 인구변화 적극대비(공통사업),79.0,별도소계행,79,0.0,0.0,0.0,0.0,양쪽존재,일치,허용,
대전,Ⅱ. 자체사업,1. 함께 돌보고 함께 일하는 사회(자체사업),24851.0,별도소계행,24852,1.0,1.0,0.0,0.0,양쪽존재,불일치,허용,
대전,Ⅱ. 자체사업,2. 함께 만들어가는 행복한 노후(자체사업),35908.0,별도소계행,35910,2.0,2.0,0.01,0.01,양쪽존재,불일치,허용,
대전,Ⅱ. 자체사업,3. 인구변화 적극대비(자체사업),429.0,별도소계행,430,1.0,1.0,0.23,0.23,양쪽존재,불일치,허용,
