지역,원본행,세부사업명,사업행구분,판정,판정근거
서울,,(단위 : 백만원),헤더반복,제외,단위표기 머리글
인천,1114.0,"총계
(공통사업+자체사업)",헤더반복,제외,지역 전체 총계
세종,2255.0,총계,헤더반복,제외,지역 전체 총계
경기,2386.0,합    계,헤더반복,제외,지역 전체 총계
경기,2446.0,1. 함께 돌보고 함께 일하는 사회(도 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경기,2526.0,1. 함께 돌보고 함께 일하는 사회(시 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경기,3195.0,2. 함께 만들어가는 행복한 노후(도비 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경기,3218.0,2. 함께 만들어가는 행복한 노후(시비 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경기,3408.0,3. 인구구조 변화 적극 대비(도비 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경기,3425.0,3. 인구구조 변화 적극 대비 (시비 자체사업),헤더반복,제외,경기 도·시/도비·시비 보조 소계
경남,7494.0,3. 인구구조 변화 적극 대비 (자체사업),헤더반복,제외,뒤따르는 노후사업 및 원본행 7651의 실제 3번 소계와 중복되는 원본 오기 머리글
