연도,지역,원본행,세부사업명,주요내용,주요내용_정제,문자유사도,검토결과,검토근거
2021,서울,322,다문화가족에 대한 생애주기별 맞춤형 서비스 제공,다+온센터(거점형 다문화교육지원센터)에서 학부모 연수 추진,다+온센터(거점형 다문화교육지원센터)에서 학부모 연수 추진,1.0,의미보존 오류 수정,고유 사업명 `다+온센터`의 `+` 표기 복구
2021,인천,1747,"저소득층 아동,청소년 구강보건사업","저소득,장애 아동 청소년 구강보건서비스 제공","저소득, 장애 아동 청소년 구강보건서비스 제공",1.0,의미보존 오류 수정,`장애` 대상이 삭제되고 `저소득`이 `저소득층`으로 바뀐 의미변경 복구
2021,인천,1828,다문화가족 생애주기별 맞춤형 서비스,"지원대상 : 유,초,중,고 재(원)학 중인 다문화 학(원)생과 학부모 지원내용 : 학생맞춤형 교육지원 및 다문화 이해제고","지원대상 : 유,초,중,고 재(원)학 중인 다문화 학(원)생과 학부모 지원내용 : 학생맞춤형 교육지원 및 다문화 이해제고",1.0,의미보존 오류 수정,`재원·원생` 의미가 삭제된 대상 범위 축소 복구
2021,전북,7630,노인일자리사업 수행기관 인프라 확충(시니어클럽 운영지원),"내용: 노인 적합 일자리 개발･보급과 수행 전담기관 지원 시 니어클럽 인건비, 운영비, 사업비 지원","내용: 노인 적합 일자리 개발･보급과 수행 전담기관 지원 시니어클럽 인건비, 운영비, 사업비 지원",1.0,의미보존 오류 수정,`시 니어클럽` 교정 과정에서 추가된 중복 `시` 제거
2021,부산,651,어린이집 급식비 지원,관내 어린이집 어린이집 급식비 지원,관내 어린이집 급식비 지원,0.846154,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,부산,650,어린이집 냉･난방비 지원,관내 어린이집 어린이집 냉･난방비 지원,관내 어린이집 냉･난방비 지원,0.866667,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,인천,1812,액티브 경로당 운영 지원,"지원대상 : 인천시 등록 경로당 지원내용 : 경로당운영비, 냉난방비, 양곡비, 여가문화보급사업 등 지원, 여가문화보급사업 등 지원","지원대상 : 인천시 등록 경로당 지원내용 : 경로당운영비, 냉난방비, 양곡비, 여가문화보급사업 등 지원",0.882353,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경남,9738,출생아 건강보험료 지원,지원내용 : ’17~’21년 건강보험료 납부,지원내용 : '17~'21년 건강보험료 납부,0.9,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,경기,4804,오산시 얼리버드(진로･진학) 프로그램 운영,지원내용 : 산･관･학 클러스터 체제의 전문적 진로 이론･체험 프로그램 운영,지원내용 : 산·관·학 클러스터 체제의 전문적 진로 이론·체험 프로그램 운영,0.909091,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,광주,2265,아동수당,만7세 미민 아동 수당 지급,만7세 미만 아동 수당 지급,0.909091,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
2021,충남,7216,(재)예산사랑장학회 장학생 선발 및 지원,지원내용 : 관내 중．고．대학생에게 생활지원 지급,지원내용 : 관내 중·고·대학생에게 생활지원 지급,0.909091,의미보존 확인,오탈자·공백·구두점·중복 표현 정리이며 대상·행위·수량 의미 유지
