지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과,절대차이,원인분류
강원,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",474383.0,474383.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1006706.0,1006706.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),31533.0,31533.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅰ. 공통사업,"4. 인구구조 변화에 대한
적응(공통)",105606.0,105606.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",166727.0,166727.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",143175.0,143175.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",30753.0,30753.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
강원,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9458.0,9458.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅰ. 공통사업,"1. 함께 일하고 함께
돌보는 사회(공통)",4095291.0,4095291.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",4032987.0,4032987.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",96870.0,96870.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅰ. 공통사업,"4.인구구조 변화에 대한
적응(공통)",81318.0,81318.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께
돌보는 사회(자체)",607857.0,607857.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",701400.5,701400.5,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),410390.0,410390.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경기,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",39700.45,39700.45,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경남,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회(공통)",1532401.0,1532400.8,-0.19999999995343387,-0.0,양쪽존재,불일치,허용,0.19999999995343387,허용범위 내 차이
경남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1338090.0,1338090.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),79767.0,79767.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),29433.0,29433.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경남,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",125753.7,125753.7,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인
고령사회 구축(자체)",33648.0,33647.822,-0.17799999999988358,-0.0,양쪽존재,불일치,허용,0.17799999999988358,허용범위 내 차이
경남,Ⅱ. 지자체 자체사업,"3. 모두의 역량이 고루
발휘되는 사회(자체)",107131.0,107131.5,0.5,0.0,양쪽존재,불일치,허용,0.5,허용범위 내 차이
경남,Ⅱ. 지자체 자체사업,"4.인구구조 변화에 대한
적응(자체)",9364.32,9364.32,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경북,Ⅰ. 공통사업,"1. 함께 일하고 함께 돌보는
사회 조성(공통)",737388.0,737388.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1752918.0,1752918.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경북,Ⅰ. 공통사업,"3. 모두의 역량이 고루
발휘되는 사회(공통)",17223.0,17223.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),147931.0,147931.0,0.0,0.0,양쪽존재,일치,허용,0.0,일치
경북,Ⅱ. 지자체 자체사업,"1. 함께 일하고 함께 돌보는
사회(자체)",476154.0,476154.3,0.29999999998835847,0.0,양쪽존재,불일치,허용,0.29999999998835847,허용범위 내 차이
