연도,지역,원본행,세부사업명,주요내용,복구전_주요내용_정제,복구후_주요내용_정제,검토결과,판단근거,기존_분류텍스트,복구후_분류텍스트,TFIDF_영향
2023,충북,4925,초등돌봄교실운영,,초등돌봄교실운영,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,초등돌봄교실운영 초등돌봄교실운영,초등돌봄교실운영,예측 입력 변경·후속 재예측 필요
2023,충북,4944,고졸취업 활성화 지원,,고졸취업 활성화 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,고졸취업 활성화 지원 고졸취업 활성화 지원,고졸취업 활성화 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5031,어린이집 간식비 지원,,어린이집 간식비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,어린이집 간식비 지원 어린이집 간식비 지원,어린이집 간식비 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5032,어린이집 특별활동 강사비 지원,,어린이집 특별활동 강사비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,어린이집 특별활동 강사비 지원 어린이집 특별활동 강사비 지원,어린이집 특별활동 강사비 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5034,출산축하금 지원,,출산축하금 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,출산축하금 지원 출산축하금 지원,출산축하금 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5035,넷째아 이상 출산장려금 지원,,넷째아 이상 출산장려금 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,넷째아 이상 출산장려금 지원 넷째아 이상 출산장려금 지원,넷째아 이상 출산장려금 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5036,청소년상담복지센터 운영사업,,청소년상담복지센터 운영사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,청소년상담복지센터 운영사업 청소년상담복지센터 운영사업,청소년상담복지센터 운영사업,예측 입력 변경·후속 재예측 필요
2023,충북,5037,임산부.영유아.출산관 리 지원,,임산부.영유아.출산관 리 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,임산부.영유아.출산관 리 지원 임산부.영유아.출산관 리 지원,임산부.영유아.출산관 리 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5038,산모신생아 건강관리 지원,,산모신생아 건강관리 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,산모신생아 건강관리 지원 산모신생아 건강관리 지원,산모신생아 건강관리 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5039,보은군 행복가족센터 건립,,보은군 행복가족센터 건립,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,보은군 행복가족센터 건립 보은군 행복가족센터 건립,보은군 행복가족센터 건립,예측 입력 변경·후속 재예측 필요
2023,충북,5040,새 생명 탄생 축하광고,,새 생명 탄생 축하광고,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,새 생명 탄생 축하광고 새 생명 탄생 축하광고,새 생명 탄생 축하광고,예측 입력 변경·후속 재예측 필요
2023,충북,5041,초.중.고등학교 입학축하금,,초.중.고등학교 입학축하금,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,초.중.고등학교 입학축하금 초.중.고등학교 입학축하금,초.중.고등학교 입학축하금,예측 입력 변경·후속 재예측 필요
2023,충북,5042,영유아 양육 바우처지원,,영유아 양육 바우처지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,영유아 양육 바우처지원 영유아 양육 바우처지원,영유아 양육 바우처지원,예측 입력 변경·후속 재예측 필요
2023,충북,5043,청소년 꿈키움 바우처 지원,,청소년 꿈키움 바우처 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,청소년 꿈키움 바우처 지원 청소년 꿈키움 바우처 지원,청소년 꿈키움 바우처 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5044,어린이 놀이시설 운영,,어린이 놀이시설 운영,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,어린이 놀이시설 운영 어린이 놀이시설 운영,어린이 놀이시설 운영,예측 입력 변경·후속 재예측 필요
2023,충북,5194,장수노인 수당지원,,장수노인 수당지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,장수노인 수당지원 장수노인 수당지원,장수노인 수당지원,예측 입력 변경·후속 재예측 필요
2023,충북,5195,효도수당 지원사업,,효도수당 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,효도수당 지원사업 효도수당 지원사업,효도수당 지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5196,경로당 무료급식 사업,,경로당 무료급식 사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,경로당 무료급식 사업 경로당 무료급식 사업,경로당 무료급식 사업,예측 입력 변경·후속 재예측 필요
2023,충북,5197,저소득 재가노인 식사배달 사업,,저소득 재가노인 식사배달 사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,저소득 재가노인 식사배달 사업 저소득 재가노인 식사배달 사업,저소득 재가노인 식사배달 사업,예측 입력 변경·후속 재예측 필요
2023,충북,5198,경로당 운영비 지원사업,,경로당 운영비 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,경로당 운영비 지원사업 경로당 운영비 지원사업,경로당 운영비 지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5199,A.I 기반 실버케어서비스 운영지원,,A.I 기반 실버케어서비스 운영지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,A.I 기반 실버케어서비스 운영지원 A.I 기반 실버케어서비스 운영지원,A.I 기반 실버케어서비스 운영지원,예측 입력 변경·후속 재예측 필요
2023,충북,5327,학교급식 우수농산물 지원,,학교급식 우수농산물 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,학교급식 우수농산물 지원 학교급식 우수농산물 지원,학교급식 우수농산물 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5328,고등학교 학교급식 (조.석식) 지원,,고등학교 학교급식(조.석식) 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,고등학교 학교급식 (조.석식) 지원 고등학교 학교급식(조.석식) 지원,고등학교 학교급식 (조.석식) 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5329,중.고생 교통비 지원,,중.고생 교통비 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,중.고생 교통비 지원 중.고생 교통비 지원,중.고생 교통비 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5330,보은군민 장학회,,보은군민 장학회,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,보은군민 장학회 보은군민 장학회,보은군민 장학회,예측 입력 변경·후속 재예측 필요
2023,충북,5331,결초보은 아카데미 운영,,"세부사업명(참고용): 결초보은 아카데미 운영
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,결초보은 아카데미 운영 세부사업명(참고용): 결초보은 아카데미 운영 원문:,결초보은 아카데미 운영,예측 입력 변경·후속 재예측 필요
2023,충북,5332,노인복지대학 운영 지원,,노인복지대학 운영 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,노인복지대학 운영 지원 노인복지대학 운영 지원,노인복지대학 운영 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5333,노인회관 취미교실 운영 지원,,노인회관 취미교실 운영 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,노인회관 취미교실 운영 지원 노인회관 취미교실 운영 지원,노인회관 취미교실 운영 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5334,문화학교 운영,,"세부사업명(참고용): 문화학교 운영
원문: 
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,문화학교 운영 세부사업명(참고용): 문화학교 운영 원문:,문화학교 운영,예측 입력 변경·후속 재예측 필요
2023,충북,5335,학생 아르바이트 활동,,학생 아르바이트 활동,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,학생 아르바이트 활동 학생 아르바이트 활동,학생 아르바이트 활동,예측 입력 변경·후속 재예측 필요
2023,충북,5338,보은군 청소년수련관 건립사업,,보은군 청소년수련관 건립사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,보은군 청소년수련관 건립사업 보은군 청소년수련관 건립사업,보은군 청소년수련관 건립사업,예측 입력 변경·후속 재예측 필요
2023,충북,5340,청년 정착 지원사업,,청년 정착 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,청년 정착 지원사업 청년 정착 지원사업,청년 정착 지원사업,예측 입력 변경·후속 재예측 필요
2023,충북,5406,결혼이주여성 지원,,결혼이주여성 지원,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,결혼이주여성 지원 결혼이주여성 지원,결혼이주여성 지원,예측 입력 변경·후속 재예측 필요
2023,충북,5407,결초보은 문화누리관 운영,,"세부사업명(참고용): 결초보은 문화누리관 운영
원문:
",,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,결초보은 문화누리관 운영 세부사업명(참고용): 결초보은 문화누리관 운영 원문:,결초보은 문화누리관 운영,예측 입력 변경·후속 재예측 필요
2023,충북,5409,농가 도우미 지원사업,,농가 도우미 지원사업,,빈 원문 환각 복구,원문 주요내용이 빈 값이므로 정제문도 빈 값을 유지해야 함,농가 도우미 지원사업 농가 도우미 지원사업,농가 도우미 지원사업,예측 입력 변경·후속 재예측 필요
