연도,지역,원본행,세부사업명,주요내용,주요내용_정제,자동검출사유,길이비,숫자보존,수량보존,사람검토결과,조치내용
2023,서울,180,민간복지 거점기관 활성화 사업,민간복기거점기관을 활성화하여 지역내 복지자원 네크워크 구축,"민간복지 거점기관 활성화 사업
원문: 민간복지 거점기관을 활성화하여 지역내 복지자원 네트워크 구축",정제문 원문 라벨 추가 | 극단적 길이비,1.5926,True,True,,
2023,울산,2553,(남구) 「울산 안심 살피미 앱」 설치 · 운영,"보호자가 없는 고독사 위험군 및 노인 장애인 아 동 등 안전확인이 필요한 일반구민 , 「울산안심살피 미 앱」을 활용하여 일정시간(최소12시간) 휴대폰을 사용하지 않을 경우 문자발송","보호자가 없는 고독사 위험군 및 노인 장애인 아동 등 안전확인이 필요한 일반구민, 「울산안심살피미 앱」을 활용하여 일정시간(최소12시간) 휴대폰을 사용하지 않을 경우 문자발송",고유명사 불일치,1.0,True,True,,
2023,세종,2741,출산축하금 지원,출산축하금 120만운 지역화폐 지급,출산축하금 120만 원 지역화폐 지급,금액·퍼센트·범위 불일치,1.0,True,False,,
2023,세종,2750,치매전담형 요양시설 설치운영,치며 여르신 돌봄 지원,"치매전담형 요양시설 설치운영
치며 여르신 돌봄 지원",극단적 길이비,2.4444,True,True,,
2023,경기,3663,효문화 지원사업,효 인성 문화 정착으로 고령사회 문제해결과 지역 사회 발전에 이바지,"효문화 지원사업
원문: 효 인성 문화 정착으로 고령사회 문제해결과 지역 사회 발전에 이바지",정제문 원문 라벨 추가,1.3571,True,True,,
2023,경기,3680,경로당 운영비 지원,"노인들의 자율적인 친목도모. 취미활동, 정보교환 및 여가활동 등을 할 수 있는 건전한 노인여가복지 시설인 경로당의 원활한 운영지원",노인복지시설의 원활한 운영지원,극단적 길이비,0.25,True,True,,
2023,충북,4925,초등돌봄교실운영,,초등돌봄교실운영,결측 원문 변경,,True,True,,
2023,충북,4944,고졸취업 활성화 지원,,고졸취업 활성화 지원,결측 원문 변경,,True,True,,
2023,충북,5031,어린이집 간식비 지원,,어린이집 간식비 지원,결측 원문 변경,,True,True,,
2023,충북,5032,어린이집 특별활동 강사비 지원,,어린이집 특별활동 강사비 지원,결측 원문 변경,,True,True,,
2023,충북,5034,출산축하금 지원,,출산축하금 지원,결측 원문 변경,,True,True,,
2023,충북,5035,넷째아 이상 출산장려금 지원,,넷째아 이상 출산장려금 지원,결측 원문 변경,,True,True,,
2023,충북,5036,청소년상담복지센터 운영사업,,청소년상담복지센터 운영사업,결측 원문 변경,,True,True,,
2023,충북,5037,임산부.영유아.출산관 리 지원,,임산부.영유아.출산관 리 지원,결측 원문 변경,,True,True,,
2023,충북,5038,산모신생아 건강관리 지원,,산모신생아 건강관리 지원,결측 원문 변경,,True,True,,
2023,충북,5039,보은군 행복가족센터 건립,,보은군 행복가족센터 건립,결측 원문 변경,,True,True,,
2023,충북,5040,새 생명 탄생 축하광고,,새 생명 탄생 축하광고,결측 원문 변경,,True,True,,
2023,충북,5041,초.중.고등학교 입학축하금,,초.중.고등학교 입학축하금,결측 원문 변경,,True,True,,
2023,충북,5042,영유아 양육 바우처지원,,영유아 양육 바우처지원,결측 원문 변경,,True,True,,
2023,충북,5043,청소년 꿈키움 바우처 지원,,청소년 꿈키움 바우처 지원,결측 원문 변경,,True,True,,
2023,충북,5044,어린이 놀이시설 운영,,어린이 놀이시설 운영,결측 원문 변경,,True,True,,
2023,충북,5194,장수노인 수당지원,,장수노인 수당지원,결측 원문 변경,,True,True,,
2023,충북,5195,효도수당 지원사업,,효도수당 지원사업,결측 원문 변경,,True,True,,
2023,충북,5196,경로당 무료급식 사업,,경로당 무료급식 사업,결측 원문 변경,,True,True,,
2023,충북,5197,저소득 재가노인 식사배달 사업,,저소득 재가노인 식사배달 사업,결측 원문 변경,,True,True,,
2023,충북,5198,경로당 운영비 지원사업,,경로당 운영비 지원사업,결측 원문 변경,,True,True,,
2023,충북,5199,A.I 기반 실버케어서비스 운영지원,,A.I 기반 실버케어서비스 운영지원,결측 원문 변경,,True,True,,
2023,충북,5327,학교급식 우수농산물 지원,,학교급식 우수농산물 지원,결측 원문 변경,,True,True,,
2023,충북,5328,고등학교 학교급식 (조.석식) 지원,,고등학교 학교급식(조.석식) 지원,결측 원문 변경,,True,True,,
2023,충북,5329,중.고생 교통비 지원,,중.고생 교통비 지원,결측 원문 변경,,True,True,,
2023,충북,5330,보은군민 장학회,,보은군민 장학회,결측 원문 변경,,True,True,,
2023,충북,5331,결초보은 아카데미 운영,,"세부사업명(참고용): 결초보은 아카데미 운영
원문: 
",결측 원문 변경,,True,True,,
2023,충북,5332,노인복지대학 운영 지원,,노인복지대학 운영 지원,결측 원문 변경,,True,True,,
2023,충북,5333,노인회관 취미교실 운영 지원,,노인회관 취미교실 운영 지원,결측 원문 변경,,True,True,,
2023,충북,5334,문화학교 운영,,"세부사업명(참고용): 문화학교 운영
원문: 
",결측 원문 변경,,True,True,,
2023,충북,5335,학생 아르바이트 활동,,학생 아르바이트 활동,결측 원문 변경,,True,True,,
2023,충북,5338,보은군 청소년수련관 건립사업,,보은군 청소년수련관 건립사업,결측 원문 변경,,True,True,,
2023,충북,5340,청년 정착 지원사업,,청년 정착 지원사업,결측 원문 변경,,True,True,,
2023,충북,5406,결혼이주여성 지원,,결혼이주여성 지원,결측 원문 변경,,True,True,,
2023,충북,5407,결초보은 문화누리관 운영,,"세부사업명(참고용): 결초보은 문화누리관 운영
원문:
",결측 원문 변경,,True,True,,
2023,충북,5409,농가 도우미 지원사업,,농가 도우미 지원사업,결측 원문 변경,,True,True,,
2023,충북,5410,귀농.귀촌인 지원사업,,귀농.귀촌인 지원사업,결측 원문 변경,,True,True,,
2023,충북,5411,"맞춤형 주거지원, 행복주택",,"맞춤형 주거지원, 행복주택",결측 원문 변경,,True,True,,
2023,충북,5412,인구유입 지원사업,,인구유입 지원사업,결측 원문 변경,,True,True,,
2023,충북,5413,신규 거주자 정착지원사업,,신규 거주자 정착지원사업,결측 원문 변경,,True,True,,
2023,충북,5414,찾아가는 인구 순회교육,,찾아가는 인구 순회교육,결측 원문 변경,,True,True,,
2023,충북,5415,온-누림 플랫폼 건립사업,,"세부사업명(참고용): 온-누림 플랫폼 건립사업
원문: 
",결측 원문 변경,,True,True,,
2023,충북,5416,농업경영 융.복합지원센터 건립사업,,농업경영 융.복합지원센터 건립사업,결측 원문 변경,,True,True,,
