지역,대분류,중분류,원본_소계값,leaf_합계,차이,오차율(%),QA_병합상태,결과,허용기준결과
강원,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),510333.0,510333.0,0.0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",1276386.0,1276386.0,0.0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),15674.0,15674.0,0.0,0.0,양쪽존재,일치,허용
강원,Ⅰ. 공통사업,"4.인구구조
변화에 대한
적응(공통)",52066.0,52066.0,0.0,0.0,양쪽존재,일치,허용
강원,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),392424.0,392424.0,0.0,0.0,양쪽존재,일치,허용
강원,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),190841.0,190841.0,0.0,0.0,양쪽존재,일치,허용
강원,"Ⅱ. 지자체
자체사업","3. 모두의 역량이 고루 발휘되는
사회(자체)",29306.0,29306.0,0.0,0.0,양쪽존재,일치,허용
강원,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),72977.0,72977.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),5033020.0,5033020.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",5501601.0,5501601.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),689468.0,689468.0,0.0,0.0,양쪽존재,일치,허용
경기,Ⅰ. 공통사업,"4.인구구조
변화에 대한
적응(공통)",150946.0,150946.0,0.0,0.0,양쪽존재,일치,허용
경기,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),1019222.0,1019224.0,2.0,0.0,양쪽존재,불일치,허용
경기,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),918224.0,918224.0,0.0,0.0,양쪽존재,일치,허용
경기,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),425962.0,425965.0,3.0,0.0,양쪽존재,불일치,허용
경기,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),82839.0,82839.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1370527.0,1370527.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",2106578.0,2106578.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),74205.0,74205.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),397.0,397.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,1. 함께 일하고 함께 돌보는 사회(자체),334832.0,334832.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,"2. 건강하고 능동적인 고령사회
구축(자체)",42299.0,42299.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,3. 모두의 역량이 고루 발휘되는 사회(자체),68802.0,68802.0,0.0,0.0,양쪽존재,일치,허용
경남,Ⅱ. 지자체 자체사업,4.인구구조 변화에 대한 적응(자체),43501.0,43501.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),1324882.0,1324882.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",2195785.0,2195785.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),2378.0,2378.0,0.0,0.0,양쪽존재,일치,허용
경북,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),40.0,40.0,0.0,0.0,양쪽존재,일치,허용
경북,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),306567.0,306567.0,0.0,0.0,양쪽존재,일치,허용
경북,"Ⅱ. 지자체
자체사업",2. 건강하고 능동적인 고령사회 구축(자체),97136.0,97136.0,0.0,0.0,양쪽존재,일치,허용
경북,"Ⅱ. 지자체
자체사업",3. 모두의 역량이 고루 발휘되는 사회(자체),98535.0,98535.0,0.0,0.0,양쪽존재,일치,허용
경북,"Ⅱ. 지자체
자체사업",4.인구구조 변화에 대한 적응(자체),37383.0,37383.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,1. 함께 일하고 함께 돌보는 사회(공통),235373.0,235373.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,"2. 건강하고 능동적인
고령사회(공통)",761177.0,761177.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,3. 모두의 역량이 고루 발휘되는 사회(공통),5367.0,5367.0,0.0,0.0,양쪽존재,일치,허용
광주,Ⅰ. 공통사업,4.인구구조 변화에 대한 적응(공통),0.0,,,,원본소계만,불일치,판정불가
광주,"Ⅱ. 지자체
자체사업",1. 함께 일하고 함께 돌보는 사회(자체),73659.0,73659.0,0.0,0.0,양쪽존재,일치,허용
광주,"Ⅱ. 지자체
자체사업","2. 건강하고 능동적인 고령사회
구축(자체)",113686.0,113686.0,0.0,0.0,양쪽존재,일치,허용
