모형,종속변수,설명변수,누락주의관측치_제외,계수,군집표준오차,t값,p값,95%신뢰구간_하한,95%신뢰구간_상한,관측치,지역수,연도수,잔차자유도,추론자유도,지역고정효과,연도고정효과,지역군집표준오차,제외시도
제외 없음,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04537416240810109,0.007126500003819143,6.36696307918119,9.342455935188527e-06,0.0302666572851046,0.060481667531097585,85,17,5,63.0,16.0,True,True,True,제외 없음
강원,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04584239011505818,0.007311101797619665,6.270243717572564,1.5005936120290764e-05,0.030259145510980485,0.06142563471913588,80,16,5,59.0,15.0,True,True,True,강원
경기,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.044827124108893376,0.007430287406929229,6.03302694147324,2.2919447105024846e-05,0.028989841392015544,0.060664406825771205,80,16,5,59.0,15.0,True,True,True,경기
경남,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.050287942444440445,0.005657557007787013,8.888632032381565,2.299470018807921e-07,0.03822914513121429,0.0623467397576666,80,16,5,59.0,15.0,True,True,True,경남
경북,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04539976935744129,0.0072832533562349625,6.233446392274132,1.60167924726581e-05,0.02987588230109757,0.06092365641378501,80,16,5,59.0,15.0,True,True,True,경북
광주,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04349133793363033,0.009819803897945005,4.428941594519192,0.00048781901901795384,0.022560921377869334,0.06442175448939133,80,16,5,59.0,15.0,True,True,True,광주
대구,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04527892081889816,0.009054002958937457,5.000983655986337,0.0001580679548437107,0.025980770326574046,0.06457707131122227,80,16,5,59.0,15.0,True,True,True,대구
대전,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.044106569600940476,0.006557870703475603,6.725745534684674,6.799780791809513e-06,0.030128799070177632,0.05808434013170332,80,16,5,59.0,15.0,True,True,True,대전
부산,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.045936644355990014,0.006687137317147583,6.869403479751544,5.328872971707576e-06,0.03168334856025998,0.06018994015172005,80,16,5,59.0,15.0,True,True,True,부산
서울,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04521048288054541,0.006726968296896367,6.720781321565653,6.857641817095976e-06,0.03087228936113063,0.05954867639996019,80,16,5,59.0,15.0,True,True,True,서울
세종,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04491650359348143,0.009771420854389605,4.596721834297377,0.00034924520810062406,0.024089213053919385,0.06574379413304347,80,16,5,59.0,15.0,True,True,True,세종
울산,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04610365010220693,0.007781286429463129,5.924939342631018,2.78696559109173e-05,0.029518230678257294,0.06268906952615658,80,16,5,59.0,15.0,True,True,True,울산
인천,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.0457961871742007,0.00847652925489814,5.402705021956656,7.331119281890867e-05,0.027728892745923907,0.06386348160247748,80,16,5,59.0,15.0,True,True,True,인천
전남,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04341700241208418,0.007069143337301477,6.141762918144177,1.8856926282311704e-05,0.02834948005829603,0.058484524765872334,80,16,5,59.0,15.0,True,True,True,전남
전북,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.045604248814164104,0.006851753155695691,6.655851105239312,7.663745836620988e-06,0.031000082664168763,0.06020841496415945,80,16,5,59.0,15.0,True,True,True,전북
제주,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.042500216334260654,0.007927749144837466,5.360943637064589,7.933064012572618e-05,0.025602619022184935,0.059397813646336374,80,16,5,59.0,15.0,True,True,True,제주
충남,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.04756579312393627,0.007430994286494916,6.400999824529849,1.1921010135276156e-05,0.03172700372892939,0.06340458251894315,80,16,5,59.0,15.0,True,True,True,충남
충북,합계출산율_t+2,log1p_3개년평균_돌봄예산,False,0.044396975586771664,0.007156579256541251,6.20365875864394,1.6887058669726998e-05,0.029143087982654296,0.05965086319088903,80,16,5,59.0,15.0,True,True,True,충북
